strain	median
AB1	-0.00021795
BRC20067	-0.00022592
CB4852	-4.5645e-05
CB4854	-0.0003413
CB4856	-0.00047532
CB4932	-0.00022643
CX11254	-0.00031957
CX11262	-0.00019762
CX11264	-0.00030415
CX11271	-0.00032117
CX11276	-0.00018888
CX11285	-0.00034145
CX11292	-0.00027502
CX11307	-0.00022538
CX11314	-0.00033236
CX11315	-0.00028613
DL200	-0.00034936
DL226	-0.0003786
DL238	-0.00024417
ECA246	-0.00024395
ECA248	-0.00032949
ECA250	-0.00050023
ECA251	-0.00035794
ECA252	-0.00024102
ECA259	-0.0005264
ECA348	-0.00025303
ECA349	-0.00022296
ECA36	-0.00050686
ECA363	-0.0005442
ECA372	-0.00027912
ECA396	-0.00037357
ED3005	-0.00014098
ED3011	-0.00034851
ED3012	-0.00036438
ED3017	-0.00016873
ED3040	-0.00028098
ED3046	-0.00010107
ED3048	-0.00028789
ED3049	-4.8621e-06
ED3052	-0.00031211
ED3073	-0.00017539
ED3077	-0.00041069
EG4347	-0.00020615
EG4349	-0.00015998
EG4724	-0.00013419
EG4725	-0.00023703
EG4946	-0.00024818
GXW1	-0.00034318
JT11398	-0.00020038
JU1088	-0.00024283
JU1172	-0.00024363
JU1200	-0.00022758
JU1212	-0.00015631
JU1213	-0.00027044
JU1242	-0.00032374
JU1246	-0.00028072
JU1395	-0.00020981
JU1400	-0.00015838
JU1409	-0.00024682
JU1440	-0.00032787
JU1491	-0.00020265
JU1530	-0.00024224
JU1543	-0.00031242
JU1568	0
JU1580	-0.00017492
JU1581	-0.0005125
JU1586	-0.00017041
JU1652	-0.00030375
JU1793	-0.00024703
JU1808	-0.00035747
JU1896	-0.00026106
JU2001	-0.00014257
JU2007	-0.00026618
JU2131	-0.00014785
JU2141	-0.00026223
JU2234	-0.00043864
JU2464	-0.00027659
JU2466	-0.00028887
JU2513	-0.00029226
JU2519	-0.00023355
JU2522	-0.00022
JU2526	-0.00035086
JU2534	-0.00034651
JU2565	-0.00024191
JU2566	-0.0003017
JU2578	-0.00024538
JU258	-0.00044113
JU2587	-3.7531e-05
JU2593	-0.00019382
JU2600	-0.00028247
JU2800	-0.00033138
JU2862	-0.00040024
JU2866	-0.00026657
JU2878	-0.00032653
JU2879	-0.00029063
JU2906	-5.5111e-05
JU310	-0.00013944
JU311	-0.00017788
JU3125	-0.00037555
JU3127	-0.0002279
JU3134	-0.00016438
JU3135	-0.00040869
JU3137	-0.00015555
JU3140	-0.00023115
JU323	-0.00023947
JU346	-0.00010917
JU360	-0.00041682
JU367	-0.00015349
JU393	-9.8419e-05
JU394	-7.2292e-05
JU397	-0.00040876
JU406	-0.00024935
JU440	-0.00022313
JU561	-0.00029166
JU642	-0.00020832
JU751	-0.00027768
JU774	-0.00019043
JU775	-0.00020152
JU778	-0.00026033
JU782	-0.00023193
JU792	-0.00025367
JU830	-6.7379e-05
JU847	-0.00027387
KR314	-0.0001173
LKC34	-0.00027668
LSJ1	-0.00020621
MY1	-0.00020974
MY10	-3.8413e-05
MY16	-0.00024561
MY18	-0.00040227
MY2212	-0.00027993
MY23	-0.00037373
MY2453	-0.00024415
MY2530	-0.00027592
MY2535	-0.00012505
MY2573	-0.0002401
MY2693	-0.00030736
MY2741	-0.00015903
MY679	-0.00025839
MY920	-0.00015822
N2	-0.00017019
NIC1	-0.00020326
NIC1107	0
NIC166	-0.00032742
NIC195	-0.00036413
NIC199	-0.00032313
NIC2	-0.00018797
NIC207	-0.00028684
NIC231	-0.00019369
NIC236	-0.00020224
NIC242	-0.00028448
NIC251	-0.00023103
NIC252	-0.00024622
NIC255	-0.00023544
NIC256	-0.00022036
NIC258	-0.00011531
NIC259	-0.00038431
NIC260	-0.00013602
NIC261	-0.00016466
NIC262	-0.00022026
NIC265	-0.00015661
NIC266	-0.0001969
NIC267	-0.00034909
NIC268	-0.00066469
NIC269	-0.00023588
NIC271	-0.00015833
NIC272	-0.0003212
NIC274	-0.00029753
NIC275	-0.00024626
NIC276	-0.00033444
NIC277	-0.00035531
NIC3	-0.00024834
NIC513	-0.00048503
NIC514	-0.00040984
NIC522	-0.00021083
NIC523	-0.00027393
PB303	-0.00032654
PS2025	-0.00024622
PX179	-0.00029761
QG2075	-2.5519e-05
QG536	-0.00036948
QG556	-0.00029347
QG557	-0.00020662
QW947	-8.418e-05
QX1212	-0.00020505
QX1233	-0.00027263
QX1791	-0.00023084
QX1792	-0.0002932
QX1793	-0.00031136
QX1794	-0.00031722
RC301	-0.00028941
WN2001	-0.00022103
WN2002	-0.00027083
WN2033	-8.5965e-05
XZ1513	-0.00032112
XZ1514	-0.00039395
XZ1516	-0.00035615
