strain	median
AB1	-0.0038946
BRC20067	-0.0010312
CB4852	-0.0014775
CB4854	-0.0012398
CB4856	-0.00060323
CB4932	-0.00046726
CX11254	-0.0031574
CX11262	-0.00088424
CX11264	-0.0017954
CX11271	-0.00094153
CX11276	-5.3377e-05
CX11285	-0.0017354
CX11292	0
CX11307	-0.0014822
CX11314	-0.00026815
CX11315	-0.0034963
DL200	-0.0056787
DL226	-0.0064802
DL238	-0.0042513
ECA246	-0.0012405
ECA248	-0.00039004
ECA250	-0.0017682
ECA251	-0.00087369
ECA252	-0.0040737
ECA259	-0.0063308
ECA348	-0.0089366
ECA349	-0.0024117
ECA36	-0.00076106
ECA363	0
ECA372	-1.309e-16
ECA396	-0.0010018
ED3005	-0.00088106
ED3011	-0.0050785
ED3012	-0.00091938
ED3017	-1.4145e-05
ED3040	0
ED3046	-0.0017324
ED3048	-0.002368
ED3049	-7.3319e-17
ED3052	-0.00095047
ED3073	-0.01097
ED3077	-0.0076555
EG4347	-0.0029936
EG4349	-0.0023348
EG4724	-0.0014716
EG4725	-0.0020481
EG4946	-0.00020306
GXW1	-0.00427
JT11398	0
JU1088	-0.0055966
JU1172	-2.6266e-05
JU1200	-0.00035812
JU1212	-2.8889e-32
JU1213	-0.0016173
JU1242	-0.0030918
JU1246	0
JU1395	-0.00018058
JU1400	-0.00080988
JU1409	-3.2972e-05
JU1440	-0.0059494
JU1491	-0.003596
JU1530	-0.00040117
JU1543	-0.0027232
JU1568	0
JU1580	-0.0022609
JU1581	-0.00054332
JU1586	-1.6545e-06
JU1652	-0.0022123
JU1793	-0.0026652
JU1808	-0.0053763
JU1896	-0.00045415
JU2001	-0.0015754
JU2007	-0.0022451
JU2131	-6.1719e-07
JU2141	-0.001882
JU2234	-0.0013749
JU2464	-0.00015063
JU2466	-0.0033216
JU2513	-8.1121e-05
JU2519	-0.01054
JU2522	-0.0011579
JU2526	-0.001745
JU2534	-0.0049245
JU2565	-0.00021463
JU2566	-0.0010594
JU2578	0
JU258	-0.005697
JU2587	-8.2123e-05
JU2593	-0.0022413
JU2600	-0.0030557
JU2800	-0.0027872
JU2862	-0.00043772
JU2866	-0.0013261
JU2878	-0.0036781
JU2879	-0.0016107
JU2906	0
JU310	0
JU311	-0.0034932
JU3125	-0.0059003
JU3127	0
JU3134	-0.0028085
JU3135	-0.0021895
JU3137	0
JU3140	-0.005072
JU323	-0.0025091
JU346	-0.00086271
JU360	-0.00016426
JU367	0
JU393	-0.00012765
JU394	-1.5036e-05
JU397	-0.00039758
JU406	-3.3473e-06
JU440	-0.0016493
JU561	-0.0017841
JU642	-0.0027434
JU751	-0.0032973
JU774	-0.0004345
JU775	-0.0026319
JU778	-1.3834e-05
JU782	-0.0097154
JU792	-0.004467
JU830	0
JU847	-0.0019167
KR314	-0.0009947
LKC34	-0.0012235
LSJ1	-0.0011999
MY1	-0.0012503
MY10	1.3312e-05
MY16	-0.0019768
MY18	-0.00039163
MY2212	-6.6208e-06
MY23	-0.0029073
MY2453	-0.0037035
MY2530	-0.0022021
MY2535	-4.5633e-19
MY2573	-0.0040721
MY2693	-0.00065372
MY2741	0
MY679	-2.8575e-06
MY920	1.7644e-05
N2	-0.0040071
NIC1	0
NIC1107	0
NIC166	-0.00044009
NIC195	-0.0030575
NIC199	-1.5439e-05
NIC2	-8.6837e-18
NIC207	-0.0016714
NIC231	-0.000922
NIC236	-4.0056e-05
NIC242	-0.0006004
NIC251	0
NIC252	-0.0040445
NIC255	-0.001206
NIC256	-0.00015384
NIC258	-0.0020698
NIC259	-0.00012286
NIC260	-0.010431
NIC261	0
NIC262	-0.0049187
NIC265	-0.0001869
NIC266	-0.0017286
NIC267	-0.0022153
NIC268	-0.00070847
NIC269	-0.0033571
NIC271	-0.003182
NIC272	-0.0030013
NIC274	-0.004032
NIC275	-0.0017476
NIC276	-0.0011952
NIC277	-0.0034704
NIC3	-0.0044328
NIC513	-0.0011406
NIC514	-0.0016862
NIC522	-0.0012612
NIC523	-0.00095435
PB303	-0.0037991
PS2025	-0.004471
PX179	-0.0037048
QG2075	0
QG536	0
QG556	-0.0033272
QG557	-0.0039977
QW947	0
QX1212	-0.0031259
QX1233	-0.0056044
QX1791	-2.0747e-16
QX1792	-0.00061604
QX1793	-0.002044
QX1794	-0.0057691
RC301	-0.0020793
WN2001	-3.7501e-05
WN2002	-0.002378
WN2033	-3.5214e-05
XZ1513	-0.0051557
XZ1514	-0.0082948
XZ1516	-0.0016703
