strain	median
AB1	-0.00239
BRC20067	-0.001828
CB4852	-0.00075577
CB4854	-0.0028983
CB4856	-0.0017377
CB4932	-0.0033298
CX11254	-0.00042416
CX11262	-0.0016146
CX11264	-0.0021609
CX11271	-0.0019478
CX11276	-0.0010026
CX11285	-0.0034224
CX11292	-0.0021877
CX11307	-0.00076388
CX11314	-0.0015582
CX11315	-0.0015669
DL200	-0.0030406
DL226	-0.0023174
DL238	-0.0029089
ECA246	-0.0018829
ECA248	-0.0045395
ECA250	-0.0043645
ECA251	-0.0041666
ECA252	-0.0027104
ECA259	-0.001819
ECA348	-0.0032279
ECA349	-0.001901
ECA36	-0.0017959
ECA363	-0.0015575
ECA372	-0.0021745
ECA396	-0.0027777
ED3005	-0.0039769
ED3011	-0.0013509
ED3012	-0.0015793
ED3017	-0.0024751
ED3040	-0.0031063
ED3046	-0.0028249
ED3048	-0.0020738
ED3049	-0.00047833
ED3052	-0.0020589
ED3073	-0.0023169
ED3077	-0.0036624
EG4347	-0.002524
EG4349	-0.002253
EG4724	-0.0026609
EG4725	-0.0015343
EG4946	-0.0021259
GXW1	-0.005058
JT11398	-0.0026511
JU1088	-0.0019334
JU1172	-0.0012883
JU1200	-0.0010005
JU1212	-0.00073613
JU1213	-0.0017242
JU1242	-0.0020579
JU1246	-0.0019596
JU1395	-0.001916
JU1400	-0.00070675
JU1409	-0.001403
JU1440	-0.0024197
JU1491	-0.0015629
JU1530	-0.0017939
JU1543	-0.0035116
JU1568	-0.0030657
JU1580	-0.0026194
JU1581	-0.0028715
JU1586	-0.0025404
JU1652	-0.0010444
JU1793	-0.00098992
JU1808	-0.003981
JU1896	-0.0013601
JU2001	-0.0030016
JU2007	-0.003753
JU2131	-0.0018497
JU2141	-0.0012365
JU2234	-0.0020254
JU2464	-0.0037051
JU2466	-0.0022269
JU2513	-0.0020685
JU2519	-0.0029406
JU2522	-0.0010364
JU2526	-0.002512
JU2534	-0.0020256
JU2565	-0.0020519
JU2566	-0.00059063
JU2578	-0.0026804
JU258	-0.0015285
JU2587	-0.0018461
JU2593	-0.00073086
JU2600	-0.0015981
JU2800	-0.0032345
JU2862	-0.0024434
JU2866	0.00030756
JU2878	-0.0014923
JU2879	-0.0013848
JU2906	-0.0015338
JU310	-0.0020113
JU311	-0.0013827
JU3125	-0.0015297
JU3127	-0.0016127
JU3134	-0.0018438
JU3135	-0.0034648
JU3137	-0.0014244
JU3140	-0.0030272
JU323	-0.0026135
JU346	-0.0010383
JU360	-0.0010271
JU367	-0.0017743
JU393	-0.0021172
JU394	-0.0026755
JU397	-0.0025278
JU406	-0.0032128
JU440	-0.0019538
JU561	-0.0031765
JU642	-0.0010724
JU751	-0.0030955
JU774	-0.00041147
JU775	-0.0023097
JU778	-0.0045904
JU782	-0.0035432
JU792	-0.0015125
JU830	-0.0058087
JU847	1.1533e-05
KR314	-0.00050099
LKC34	-0.00272
LSJ1	-0.0012617
MY1	-0.0015773
MY10	0.0014035
MY16	-0.0025889
MY18	-0.00085885
MY2212	-0.0018418
MY23	-0.0017568
MY2453	-0.0014948
MY2530	-0.0025455
MY2535	-0.0011323
MY2573	-0.0011559
MY2693	-0.0022902
MY2741	-0.0013021
MY679	-0.0016533
MY920	-0.00022024
N2	-0.0018512
NIC1	-0.0029018
NIC1107	-0.00015157
NIC166	-0.0019982
NIC195	-0.0011842
NIC199	0.00024561
NIC2	-0.0022428
NIC207	-0.00099893
NIC231	-0.0024417
NIC236	-0.0018339
NIC242	-0.0029987
NIC251	-0.0045563
NIC252	-0.004173
NIC255	-0.0011563
NIC256	-0.0032005
NIC258	-0.0007304
NIC259	-0.0030663
NIC260	-0.0018779
NIC261	-0.0028463
NIC262	-0.0015274
NIC265	-0.0037182
NIC266	-0.0015158
NIC267	-0.0025805
NIC268	-0.0028831
NIC269	-0.0021538
NIC271	-0.0014529
NIC272	-0.0044938
NIC274	-0.0029552
NIC275	-0.0013693
NIC276	-0.0040109
NIC277	-0.0029839
NIC3	-0.0023185
NIC513	-0.0021908
NIC514	-0.0017749
NIC522	-0.0027864
NIC523	-0.0021138
PB303	-0.00089363
PS2025	-0.00138
PX179	-0.0012395
QG2075	-0.0014551
QG536	-0.0033795
QG556	-0.00080403
QG557	0.00032116
QW947	-0.0020119
QX1212	-0.0016514
QX1233	-0.00088774
QX1791	-0.00091088
QX1792	-0.0025964
QX1793	-0.0024793
QX1794	-0.0032167
RC301	-0.0021508
WN2001	-0.0018469
WN2002	-0.001397
WN2033	-0.00094553
XZ1513	0.0011973
XZ1514	-0.0048086
XZ1516	-0.0015887
