strain	median
AB1	-0.0011954
BRC20067	-0.00091362
CB4852	-0.00037542
CB4854	-0.0014487
CB4856	-0.0008679
CB4932	-0.001663
CX11254	-0.00021512
CX11262	-0.00080829
CX11264	-0.0010815
CX11271	-0.00097459
CX11276	-0.00050049
CX11285	-0.0017115
CX11292	-0.0010919
CX11307	-0.000385
CX11314	-0.00077922
CX11315	-0.00078498
DL200	-0.0015215
DL226	-0.0011554
DL238	-0.0014492
ECA246	-0.0009415
ECA248	-0.0022692
ECA250	-0.0021804
ECA251	-0.0020709
ECA252	-0.0013574
ECA259	-0.00090976
ECA348	-0.0016172
ECA349	-0.00095061
ECA36	-0.00089425
ECA363	-0.00077792
ECA372	-0.001088
ECA396	-0.0013889
ED3005	-0.0019881
ED3011	-0.00067925
ED3012	-0.00079024
ED3017	-0.0012374
ED3040	-0.0015534
ED3046	-0.0014121
ED3048	-0.0010359
ED3049	-0.00024
ED3052	-0.0010317
ED3073	-0.0011585
ED3077	-0.0018327
EG4347	-0.0012639
EG4349	-0.0011258
EG4724	-0.0013325
EG4725	-0.00076441
EG4946	-0.0010617
GXW1	-0.0025266
JT11398	-0.0013276
JU1088	-0.00096201
JU1172	-0.000642
JU1200	-0.0005004
JU1212	-0.00037304
JU1213	-0.0008616
JU1242	-0.0010299
JU1246	-0.00098156
JU1395	-0.00095563
JU1400	-0.00035341
JU1409	-0.00070218
JU1440	-0.0012104
JU1491	-0.00078003
JU1530	-0.00089727
JU1543	-0.0017498
JU1568	-0.0015322
JU1580	-0.0013129
JU1581	-0.0014388
JU1586	-0.0012705
JU1652	-0.00052315
JU1793	-0.00049479
JU1808	-0.0019931
JU1896	-0.00067974
JU2001	-0.0015009
JU2007	-0.0018774
JU2131	-0.00092058
JU2141	-0.00061797
JU2234	-0.0010129
JU2464	-0.00185
JU2466	-0.0011152
JU2513	-0.0010327
JU2519	-0.0014712
JU2522	-0.00051812
JU2526	-0.0012569
JU2534	-0.0010124
JU2565	-0.0010264
JU2566	-0.00029495
JU2578	-0.0013427
JU258	-0.00076131
JU2587	-0.00092423
JU2593	-0.00036472
JU2600	-0.00079944
JU2800	-0.0016166
JU2862	-0.0012199
JU2866	0.00015253
JU2878	-0.0007476
JU2879	-0.00069269
JU2906	-0.00076603
JU310	-0.001008
JU311	-0.00068768
JU3125	-0.0007596
JU3127	-0.00080556
JU3134	-0.00092251
JU3135	-0.0017309
JU3137	-0.00071072
JU3140	-0.0015128
JU323	-0.0013054
JU346	-0.00051736
JU360	-0.00051375
JU367	-0.00088684
JU393	-0.0010591
JU394	-0.001338
JU397	-0.0012652
JU406	-0.0016057
JU440	-0.00097804
JU561	-0.0015861
JU642	-0.00053799
JU751	-0.0015487
JU774	-0.00020514
JU775	-0.001155
JU778	-0.0022938
JU782	-0.0017731
JU792	-0.00075509
JU830	-0.002906
JU847	5.5691e-06
KR314	-0.00025106
LKC34	-0.0013578
LSJ1	-0.00063507
MY1	-0.0007909
MY10	0.00070107
MY16	-0.0012931
MY18	-0.00042811
MY2212	-0.00092274
MY23	-0.00087847
MY2453	-0.00074861
MY2530	-0.0012742
MY2535	-0.00056736
MY2573	-0.00057997
MY2693	-0.0011452
MY2741	-0.00065035
MY679	-0.00082597
MY920	-0.00011122
N2	-0.00092465
NIC1	-0.0014516
NIC1107	-7.9027e-05
NIC166	-0.00099989
NIC195	-0.00059154
NIC199	0.0001211
NIC2	-0.0011202
NIC207	-0.00049934
NIC231	-0.0012191
NIC236	-0.00091792
NIC242	-0.0014967
NIC251	-0.0022815
NIC252	-0.0020848
NIC255	-0.0005782
NIC256	-0.0016001
NIC258	-0.00036682
NIC259	-0.0015332
NIC260	-0.00094125
NIC261	-0.001423
NIC262	-0.00076455
NIC265	-0.001858
NIC266	-0.00075651
NIC267	-0.0012904
NIC268	-0.0014423
NIC269	-0.0010778
NIC271	-0.00072653
NIC272	-0.0022489
NIC274	-0.0014766
NIC275	-0.00068475
NIC276	-0.002007
NIC277	-0.0014911
NIC3	-0.0011531
NIC513	-0.0010945
NIC514	-0.00088704
NIC522	-0.0013928
NIC523	-0.0010551
PB303	-0.00044929
PS2025	-0.00068703
PX179	-0.00061828
QG2075	-0.00072752
QG536	-0.0016935
QG556	-0.0004036
QG557	0.00016134
QW947	-0.0010057
QX1212	-0.00082704
QX1233	-0.00044209
QX1791	-0.00045618
QX1792	-0.0012978
QX1793	-0.0012357
QX1794	-0.0016054
RC301	-0.0010741
WN2001	-0.00092205
WN2002	-0.00069768
WN2033	-0.00047299
XZ1513	0.00059424
XZ1514	-0.0024071
XZ1516	-0.00079367
