strain	median
AB1	-0.02916
BRC20067	-0.074463
CB4852	0.056567
CB4854	-0.09841
CB4856	-0.14942
CB4932	-0.063774
CX11254	-0.062937
CX11262	-0.076686
CX11264	-0.054965
CX11271	-0.15508
CX11276	-0.047995
CX11285	-0.17069
CX11292	-0.11607
CX11307	-0.040765
CX11314	-0.076847
CX11315	-0.00323
DL200	-0.16106
DL226	-0.086159
DL238	-0.085819
ECA246	-0.059563
ECA248	-0.072612
ECA250	-0.16824
ECA251	-0.10954
ECA252	-0.079531
ECA259	-0.10932
ECA348	-0.0021578
ECA349	-0.034887
ECA36	-0.28124
ECA363	-0.30213
ECA372	-0.013947
ECA396	-0.19036
ED3005	-0.0070051
ED3011	-0.10621
ED3012	-0.11782
ED3017	-0.033911
ED3040	-0.038417
ED3046	0.030448
ED3048	-0.091982
ED3049	-0.028676
ED3052	-0.1093
ED3073	-0.0034828
ED3077	-0.21975
EG4347	-0.051762
EG4349	-0.030369
EG4724	-0.026542
EG4725	-0.081033
EG4946	-0.025185
GXW1	-0.12835
JT11398	-0.033317
JU1088	-0.04736
JU1172	-0.082252
JU1200	-0.069372
JU1212	-0.042095
JU1213	-0.10741
JU1242	-0.10455
JU1246	-0.10668
JU1395	-0.066503
JU1400	-0.019698
JU1409	-0.076646
JU1440	-0.16163
JU1491	-0.010512
JU1530	-0.012751
JU1543	-0.12897
JU1568	0.011844
JU1580	-0.016853
JU1581	-0.22211
JU1586	-0.083516
JU1652	-0.068837
JU1793	-0.087352
JU1808	-0.1724
JU1896	-0.04297
JU2001	-0.12974
JU2007	-0.045521
JU2131	0.016827
JU2141	-0.016017
JU2234	-0.086952
JU2464	-0.030622
JU2466	-0.10312
JU2513	-0.072096
JU2519	-0.077357
JU2522	0.0071916
JU2526	-0.060268
JU2534	-0.10421
JU2565	-0.03063
JU2566	-0.038347
JU2578	-0.14196
JU258	-0.17925
JU2587	0.046688
JU2593	0.029954
JU2600	-0.054459
JU2800	-0.14947
JU2862	-0.14519
JU2866	0.019221
JU2878	-0.12868
JU2879	-0.053934
JU2906	-0.044435
JU310	-0.092355
JU311	-0.051825
JU3125	-0.068787
JU3127	-0.049293
JU3134	0.039343
JU3135	-0.1257
JU3137	-0.016297
JU3140	-0.058165
JU323	-0.062173
JU346	-0.016027
JU360	-0.10528
JU367	-0.007871
JU393	-0.13564
JU394	-0.069407
JU397	-0.10629
JU406	-0.090989
JU440	-0.075624
JU561	-0.11894
JU642	-0.076991
JU751	-0.16653
JU774	-0.10429
JU775	-0.040516
JU778	-0.10648
JU782	-0.15027
JU792	-0.018532
JU830	-0.091417
JU847	-0.025143
KR314	-0.047327
LKC34	-0.11711
LSJ1	-0.020383
MY1	-0.022552
MY10	-0.014994
MY16	-0.088776
MY18	-0.12009
MY2212	-0.069015
MY23	-0.10334
MY2453	-0.0043407
MY2530	-0.08536
MY2535	-0.053328
MY2573	-0.0065522
MY2693	-0.096803
MY2741	-0.063924
MY679	-0.013093
MY920	-0.012218
N2	-0.070173
NIC1	-0.099417
NIC1107	-0.086742
NIC166	-0.066296
NIC195	-0.11307
NIC199	-0.08755
NIC2	0.013554
NIC207	-0.053388
NIC231	-0.033877
NIC236	-0.057695
NIC242	-0.072668
NIC251	-0.19901
NIC252	-0.10463
NIC255	-0.044262
NIC256	-0.077559
NIC258	-0.070861
NIC259	-0.11967
NIC260	0.034773
NIC261	-0.12412
NIC262	-0.051848
NIC265	-0.033705
NIC266	-0.066145
NIC267	-0.24196
NIC268	-0.27027
NIC269	-0.10484
NIC271	-0.077071
NIC272	-0.10599
NIC274	-0.044068
NIC275	-0.029121
NIC276	-0.075955
NIC277	-0.12988
NIC3	-0.08539
NIC513	-0.15488
NIC514	-0.094958
NIC522	-0.040604
NIC523	-0.094226
PB303	-0.036125
PS2025	-0.11042
PX179	-0.023505
QG2075	-0.058096
QG536	-0.14201
QG556	-0.071872
QG557	-0.061901
QW947	-0.10384
QX1212	0.0013383
QX1233	-0.035895
QX1791	-0.10987
QX1792	0.011376
QX1793	-0.012769
QX1794	-0.13535
RC301	-0.088082
WN2001	-0.030551
WN2002	-0.016764
WN2033	-0.032108
XZ1513	0.032088
XZ1514	-0.1477
XZ1516	-0.080092
