strain	median
AB1	-0.15086
BRC20067	-0.35399
CB4852	-0.21826
CB4854	-0.49202
CB4856	-0.52194
CB4932	-0.26765
CX11254	-0.086855
CX11262	-0.075475
CX11264	-0.036057
CX11271	-0.45147
CX11276	-0.17949
CX11285	-0.41206
CX11292	-0.65619
CX11307	-0.41286
CX11314	-0.24061
CX11315	-0.15208
DL200	-0.13048
DL226	-0.43149
DL238	-0.24809
ECA246	-0.049688
ECA248	-0.71396
ECA250	-0.55574
ECA251	-0.52692
ECA252	-0.054543
ECA259	-0.29123
ECA348	0.031509
ECA349	-0.28142
ECA36	-1.143
ECA363	-0.38488
ECA372	-0.51238
ECA396	-0.28956
ED3005	-0.22908
ED3011	-0.50402
ED3012	-0.46552
ED3017	-0.2979
ED3040	-0.85253
ED3046	-0.087665
ED3048	-0.76037
ED3049	-0.32806
ED3052	-0.57915
ED3073	-0.078773
ED3077	-0.47645
EG4347	-0.31901
EG4349	-0.18202
EG4724	-0.29388
EG4725	-0.16296
EG4946	-0.43082
GXW1	-0.64242
JT11398	-0.29071
JU1088	-0.30741
JU1172	-0.61187
JU1200	-0.28941
JU1212	-0.45405
JU1213	-0.75447
JU1242	-0.56699
JU1246	-1.3012
JU1395	-0.55952
JU1400	-0.12888
JU1409	-0.52474
JU1440	-0.15644
JU1491	-0.21135
JU1530	-0.11462
JU1543	-0.15398
JU1568	-0.0039222
JU1580	-0.26458
JU1581	-0.67049
JU1586	-0.55891
JU1652	-0.17994
JU1793	-0.13658
JU1808	-0.2359
JU1896	-0.31875
JU2001	-0.20255
JU2007	-0.3455
JU2131	-0.2436
JU2141	-0.094714
JU2234	0.03517
JU2464	-0.23443
JU2466	-0.16959
JU2513	-0.87824
JU2519	-0.25907
JU2522	-0.2558
JU2526	-0.66239
JU2534	-0.078801
JU2565	-0.13692
JU2566	-0.14871
JU2578	-1.143
JU258	-0.41131
JU2587	-0.42827
JU2593	-0.33943
JU2600	-0.13261
JU2800	-0.62515
JU2862	-0.57857
JU2866	-0.1165
JU2878	-1.8827
JU2879	-0.16017
JU2906	-0.069475
JU310	-0.11142
JU311	-0.17586
JU3125	-0.14984
JU3127	-0.34874
JU3134	-0.42941
JU3135	-0.31636
JU3137	-0.18624
JU3140	-0.13747
JU323	-0.23758
JU346	-0.21451
JU360	-0.34772
JU367	-0.15229
JU393	-0.37368
JU394	-0.58036
JU397	-0.17404
JU406	-0.27743
JU440	-0.44191
JU561	-0.45365
JU642	-0.32071
JU751	0.017099
JU774	-0.63086
JU775	-0.20862
JU778	-0.66697
JU782	-0.1662
JU792	-0.14712
JU830	-0.1566
JU847	-0.18607
KR314	-0.012122
LKC34	-0.58273
LSJ1	-0.06991
MY1	-0.266
MY10	-0.099451
MY16	-0.063638
MY18	-0.8037
MY2212	-1.0214
MY23	-0.49084
MY2453	-0.051437
MY2530	-0.62764
MY2535	-0.42898
MY2573	-0.29935
MY2693	-0.21164
MY2741	-0.59904
MY679	-0.29
MY920	-0.65725
N2	-0.016085
NIC1	-0.25623
NIC1107	-0.051909
NIC166	-0.38667
NIC195	-0.56398
NIC199	-0.4425
NIC2	-0.49881
NIC207	-0.41718
NIC231	-0.9149
NIC236	-0.39875
NIC242	-0.26814
NIC251	-0.35106
NIC252	-0.19583
NIC255	-0.41797
NIC256	-0.40911
NIC258	-0.095377
NIC259	-0.59403
NIC260	-0.17927
NIC261	-0.51982
NIC262	-0.12347
NIC265	-0.23281
NIC266	-0.25441
NIC267	-0.37818
NIC268	-0.88109
NIC269	-0.23195
NIC271	-0.34598
NIC272	-0.49583
NIC274	-0.30721
NIC275	-0.20824
NIC276	-0.64144
NIC277	-0.76739
NIC3	-0.074132
NIC513	-0.88553
NIC514	-0.53278
NIC522	-0.24782
NIC523	-0.38362
PB303	-0.25578
PS2025	-0.44473
PX179	-0.41608
QG2075	-0.33944
QG536	-0.66487
QG556	-0.37632
QG557	-0.45257
QW947	-0.6996
QX1212	-0.073578
QX1233	-0.31976
QX1791	-0.1135
QX1792	-0.54632
QX1793	-0.2488
QX1794	-0.32344
RC301	-0.42582
WN2001	-0.27435
WN2002	-0.21576
WN2033	-0.36558
XZ1513	-0.12713
XZ1514	-0.0011606
XZ1516	-0.024227
