strain	median
AB1	-0.0044576
BRC20067	-0.010551
CB4852	-0.0057826
CB4854	-0.0062861
CB4856	-0.0056011
CB4932	-0.0040764
CX11254	-0.0033274
CX11262	-0.0025495
CX11264	-0.0023121
CX11271	-0.0062534
CX11276	-0.0014764
CX11285	-0.0038159
CX11292	-0.0063084
CX11307	-0.0065736
CX11314	-0.004163
CX11315	-0.0049713
DL200	-0.0036095
DL226	-0.0031827
DL238	-0.0062178
ECA246	-0.0032513
ECA248	-0.011182
ECA250	-0.0022477
ECA251	-0.0067398
ECA252	-0.0016003
ECA259	-0.008061
ECA348	-0.001013
ECA349	-0.0044236
ECA36	-0.013526
ECA363	-0.0041221
ECA372	-0.0079571
ECA396	-0.0063134
ED3005	-0.0038106
ED3011	-0.0090875
ED3012	-0.0037633
ED3017	-0.0055911
ED3040	-0.0083655
ED3046	-0.0024836
ED3048	-0.0083727
ED3049	-0.0044401
ED3052	-0.0073588
ED3073	-0.0032225
ED3077	-0.0079386
EG4347	-0.0029917
EG4349	-0.0037164
EG4724	-0.0052133
EG4725	-0.003618
EG4946	-0.0062294
GXW1	-0.0061609
JT11398	-0.0040184
JU1088	-0.0044558
JU1172	-0.0071615
JU1200	-0.0041124
JU1212	-0.0073285
JU1213	-0.0049763
JU1242	-0.0064133
JU1246	-0.0063071
JU1395	-0.0083925
JU1400	-0.0034336
JU1409	-0.0053319
JU1440	-0.0050236
JU1491	-0.0040078
JU1530	-0.003426
JU1543	-0.0043129
JU1568	-0.0001042
JU1580	-0.0036898
JU1581	-0.0090273
JU1586	-0.0051325
JU1652	-0.0050244
JU1793	-0.0063251
JU1808	-0.0063206
JU1896	-0.0063276
JU2001	-0.0048233
JU2007	-0.0070228
JU2131	-0.0028742
JU2141	-0.003662
JU2234	-0.002376
JU2464	-0.0054814
JU2466	-0.0039701
JU2513	-0.0079791
JU2519	-0.0040449
JU2522	-0.0022663
JU2526	-0.0043287
JU2534	-0.0033898
JU2565	-0.0035804
JU2566	-0.0028353
JU2578	-0.01586
JU258	-0.006142
JU2587	-0.0051459
JU2593	-0.0056335
JU2600	-0.0015476
JU2800	-0.0079932
JU2862	-0.0067802
JU2866	-0.0059663
JU2878	-0.026829
JU2879	-0.0040955
JU2906	0.00077692
JU310	-0.0023065
JU311	-0.0040625
JU3125	-0.0061303
JU3127	-0.005454
JU3134	-0.0064305
JU3135	-0.0061331
JU3137	-0.0033868
JU3140	-0.0043467
JU323	-0.0032282
JU346	-0.0042346
JU360	-0.0066073
JU367	-0.0053907
JU393	-0.0069724
JU394	-0.0054486
JU397	-0.0033371
JU406	-0.0051758
JU440	-0.0046924
JU561	-0.0044715
JU642	-0.0041321
JU751	-0.00255
JU774	-0.0098848
JU775	-0.0033752
JU778	-0.0053015
JU782	-0.0032681
JU792	-0.0067374
JU830	-0.0016577
JU847	-0.0047185
KR314	-0.0042282
LKC34	-0.0061986
LSJ1	-0.002454
MY1	-0.0033274
MY10	-0.0047453
MY16	-0.0020869
MY18	-0.0056976
MY2212	-0.0057488
MY23	-0.0048654
MY2453	-0.0048192
MY2530	-0.008184
MY2535	-0.0049333
MY2573	-0.0024084
MY2693	-0.0044866
MY2741	-0.0061389
MY679	-0.0051885
MY920	-0.0061955
N2	-0.00052509
NIC1	-0.0054331
NIC1107	-0.0065441
NIC166	-0.0045915
NIC195	-0.0087997
NIC199	-0.0065579
NIC2	-0.0067887
NIC207	-0.0062994
NIC231	-0.0071599
NIC236	-0.0066735
NIC242	-0.0046797
NIC251	-0.0048971
NIC252	-0.0026433
NIC255	-0.0024828
NIC256	-0.0039504
NIC258	-0.0027166
NIC259	-0.0039106
NIC260	-0.0047564
NIC261	-0.0072012
NIC262	-0.0052118
NIC265	-0.0048978
NIC266	-0.004227
NIC267	-0.0046974
NIC268	-0.0039788
NIC269	-0.0015476
NIC271	-0.0072405
NIC272	-0.0036883
NIC274	-0.0030832
NIC275	-0.0044508
NIC276	-0.0055975
NIC277	-0.010102
NIC3	-0.0050975
NIC513	-0.010794
NIC514	-0.0054684
NIC522	-0.005103
NIC523	-0.0043256
PB303	-0.0067714
PS2025	-0.0069831
PX179	-0.0073629
QG2075	-0.0038527
QG536	-0.0096119
QG556	-0.0040573
QG557	-0.0062997
QW947	-0.010392
QX1212	-0.0034855
QX1233	-0.0014402
QX1791	-0.0041579
QX1792	-0.005441
QX1793	-0.0039347
QX1794	-0.0061424
RC301	-0.0058008
WN2001	-0.00097199
WN2002	-0.0040227
WN2033	-0.0038953
XZ1513	-0.0057166
XZ1514	-0.0011366
XZ1516	-0.0010443
