strain	median
AB1	-5.5248e-05
BRC20067	-0.00017802
CB4852	-0.00013118
CB4854	-0.00010943
CB4856	-0.00013591
CB4932	-0.00014724
CX11254	-0.00011048
CX11262	-0.00014494
CX11264	-0.00010052
CX11271	-0.00012636
CX11276	-8.6572e-05
CX11285	-0.00014815
CX11292	-8.4081e-05
CX11307	-0.00019937
CX11314	-0.00010794
CX11315	-0.00018245
DL200	-0.00010032
DL226	-0.00012593
DL238	-0.00011434
ECA246	-3.6948e-05
ECA248	-0.00020967
ECA250	-0.00012348
ECA251	-0.00013085
ECA252	-8.6271e-05
ECA259	-0.00020345
ECA348	-6.0155e-05
ECA349	-0.00012861
ECA36	-0.00021414
ECA363	-0.00015037
ECA372	-0.00015863
ECA396	-0.00027026
ED3005	-8.3973e-05
ED3011	-0.00023783
ED3012	-0.00016529
ED3017	-0.00017555
ED3040	-0.00013537
ED3046	-7.3108e-05
ED3048	-0.00015794
ED3049	-4.3536e-05
ED3052	-0.00016115
ED3073	-3.7652e-05
ED3077	-0.00016409
EG4347	-3.2325e-05
EG4349	-8.1631e-05
EG4724	-0.0001591
EG4725	-6.7067e-05
EG4946	-9.8373e-05
GXW1	-0.00014808
JT11398	-8.9513e-05
JU1088	-6.4029e-05
JU1172	-0.00013277
JU1200	-0.00012321
JU1212	-0.00018621
JU1213	-0.00014348
JU1242	-0.00012177
JU1246	-0.00011592
JU1395	-0.00011911
JU1400	-7.8296e-05
JU1409	-0.0001411
JU1440	-0.00011153
JU1491	-0.00014252
JU1530	-8.1142e-05
JU1543	-0.00020281
JU1568	9.1967e-05
JU1580	-0.00010813
JU1581	-0.00019028
JU1586	-0.00014464
JU1652	-0.00016955
JU1793	-7.7195e-05
JU1808	-0.00017326
JU1896	-0.00020767
JU2001	-9.0997e-05
JU2007	-0.00015912
JU2131	-7.3224e-05
JU2141	-7.6027e-05
JU2234	-0.00023755
JU2464	-0.00012662
JU2466	-0.00016579
JU2513	-0.00012783
JU2519	-7.0839e-05
JU2522	3.3296e-05
JU2526	-0.00010963
JU2534	-0.00017651
JU2565	-0.00012225
JU2566	-0.00014727
JU2578	-0.00024842
JU258	-0.0001743
JU2587	-0.00012761
JU2593	-0.00010575
JU2600	-8.5921e-05
JU2800	-0.00018762
JU2862	-0.00023164
JU2866	-0.00016875
JU2878	-0.00019745
JU2879	-0.00021148
JU2906	-7.0317e-05
JU310	-8.0104e-05
JU311	-6.4625e-05
JU3125	-0.00017173
JU3127	-0.00011422
JU3134	3.706e-06
JU3135	-0.00014262
JU3137	-7.8816e-05
JU3140	-0.00015322
JU323	-5.0928e-05
JU346	-8.1109e-05
JU360	-0.0002067
JU367	-0.00015056
JU393	-0.00015659
JU394	-0.00012681
JU397	-0.00017371
JU406	-0.00014351
JU440	-0.0001207
JU561	-0.00013981
JU642	-0.00015497
JU751	-0.00022566
JU774	-0.00025345
JU775	-9.0707e-05
JU778	-0.00014671
JU782	-0.0001219
JU792	-0.00011804
JU830	-0.00011321
JU847	-0.00015613
KR314	-0.00012213
LKC34	-0.00011762
LSJ1	-9.0959e-05
MY1	-0.00010455
MY10	-9.6365e-05
MY16	-0.00012969
MY18	-0.00014826
MY2212	-0.00018487
MY23	-0.00018542
MY2453	-0.00013621
MY2530	-0.0001448
MY2535	-0.0001802
MY2573	-2.6233e-05
MY2693	-0.00013652
MY2741	-0.00018902
MY679	-9.6216e-05
MY920	-8.5966e-05
N2	-2.925e-05
NIC1	-0.0001162
NIC1107	-0.0001718
NIC166	-8.0258e-05
NIC195	-0.00022653
NIC199	-0.0002241
NIC2	-0.00010657
NIC207	-0.00016463
NIC231	-0.00022702
NIC236	-0.00014524
NIC242	-5.3465e-05
NIC251	-0.00012415
NIC252	-0.00010269
NIC255	-0.00010701
NIC256	-2.0213e-05
NIC258	-9.1761e-05
NIC259	-8.3355e-05
NIC260	-0.00011299
NIC261	-0.00015451
NIC262	-0.00017351
NIC265	-7.4232e-05
NIC266	-0.00011591
NIC267	-0.0001445
NIC268	-0.00015388
NIC269	-0.0001346
NIC271	-0.00012917
NIC272	-6.0457e-05
NIC274	-4.3942e-05
NIC275	-0.00014842
NIC276	-0.00012648
NIC277	-0.00018626
NIC3	-0.00016045
NIC513	-0.00019862
NIC514	-0.00016585
NIC522	-0.0001066
NIC523	-0.00011726
PB303	-0.00013026
PS2025	-0.00018555
PX179	-0.00018637
QG2075	-2.6868e-05
QG536	-0.00017545
QG556	-7.1333e-05
QG557	-0.00017823
QW947	-0.00018919
QX1212	-0.00010374
QX1233	-6.6952e-05
QX1791	-3.9945e-05
QX1792	-0.00010261
QX1793	-0.0001183
QX1794	-0.00016639
RC301	-0.00010374
WN2001	-0.00010325
WN2002	-0.00013223
WN2033	-7.2375e-05
XZ1513	-0.00017777
XZ1514	-8.3478e-05
XZ1516	-6.9249e-05
