strain	median
AB1	0.17233
BRC20067	0.66444
CB4852	0.52083
CB4854	1.368
CB4856	1.6409
CB4932	0.82167
CX11254	0.23181
CX11262	1.5445
CX11264	0.087785
CX11271	1.4014
CX11276	1.229
CX11285	1.7783
CX11292	1.1377
CX11307	0.57537
CX11314	0.79729
CX11315	1.4283
DL200	1.0622
DL226	0.82379
DL238	0.041066
ECA246	0.44994
ECA248	1.3107
ECA250	0.33013
ECA251	0.97699
ECA252	-0.031972
ECA259	1.9536
ECA348	-1.0457
ECA349	0.44604
ECA36	2.0435
ECA363	1.0617
ECA372	1.241
ECA396	2.7518
ED3005	0.82538
ED3011	0.67443
ED3012	1.0149
ED3017	1.1948
ED3040	1.6833
ED3046	0.46654
ED3048	1.0833
ED3049	1.3519
ED3052	1.2625
ED3073	0.70574
ED3077	1.6212
EG4347	0.91734
EG4349	0.12905
EG4724	1.1894
EG4725	0.79996
EG4946	1.0454
GXW1	1.2089
JT11398	1.1471
JU1088	0.52657
JU1172	1.7886
JU1200	0.98159
JU1212	0.72752
JU1213	1.4884
JU1242	0.46707
JU1246	3.0521
JU1395	1.1075
JU1400	0.19559
JU1409	2.3654
JU1440	1.1728
JU1491	1.0569
JU1530	1.1794
JU1543	0.95926
JU1568	-0.054111
JU1580	1.7109
JU1581	2.0996
JU1586	1.4555
JU1652	2.0424
JU1793	0.30805
JU1808	0.87171
JU1896	1.3984
JU2001	0.94904
JU2007	0.82527
JU2131	0.35227
JU2141	0.58687
JU2234	0.22344
JU2464	0.5297
JU2466	0.30366
JU2513	1.9397
JU2519	0.55957
JU2522	0.57605
JU2526	1.775
JU2534	1.2494
JU2565	0.48371
JU2566	0.90722
JU2578	1.5516
JU258	1.5245
JU2587	0.42879
JU2593	0.18331
JU2600	0.99176
JU2800	1.8065
JU2862	1.9731
JU2866	1.006
JU2878	1.8453
JU2879	1.7336
JU2906	1.8878
JU310	0.89243
JU311	0.88207
JU3125	0.64942
JU3127	0.53745
JU3134	1.1343
JU3135	1.842
JU3137	0.2934
JU3140	1.0609
JU323	0.97403
JU346	0.35329
JU360	2.5839
JU367	0.88498
JU393	0.89828
JU394	0.16116
JU397	0.80889
JU406	0.28857
JU440	1.1261
JU561	0.97588
JU642	1.9165
JU751	1.0007
JU774	1.3421
JU775	0.35354
JU778	1.4777
JU782	0.61171
JU792	0.5396
JU830	0.30242
JU847	1.3088
KR314	0.33547
LKC34	1.2495
LSJ1	0.37141
MY1	0.29425
MY10	1.0288
MY16	1.0128
MY18	3.0531
MY2212	1.5365
MY23	1.7896
MY2453	0.57024
MY2530	0.51082
MY2535	1.4743
MY2573	0.87614
MY2693	0.62125
MY2741	1.2767
MY679	0.19207
MY920	0.93749
N2	-0.20474
NIC1	0.57213
NIC1107	0.81207
NIC166	0.55781
NIC195	1.4362
NIC199	1.4467
NIC2	1.2907
NIC207	1.3312
NIC231	2.1491
NIC236	1.2139
NIC242	1.355
NIC251	1.1008
NIC252	1.3822
NIC255	1.2122
NIC256	1.0718
NIC258	0.12788
NIC259	1.462
NIC260	-0.27093
NIC261	2.0132
NIC262	0.89412
NIC265	0.77999
NIC266	0.50351
NIC267	0.53722
NIC268	1.7912
NIC269	1.2314
NIC271	1.0546
NIC272	0.82929
NIC274	0.61433
NIC275	0.30675
NIC276	1.1019
NIC277	2.0183
NIC3	0.87883
NIC513	1.5037
NIC514	1.2798
NIC522	1.1356
NIC523	1.0718
PB303	0.22104
PS2025	0.45554
PX179	1.7467
QG2075	0.7392
QG536	2.647
QG556	1.1913
QG557	1.9189
QW947	0.79656
QX1212	0.29989
QX1233	1.6023
QX1791	0.8047
QX1792	1.0485
QX1793	0.76973
QX1794	0.75351
RC301	0.74803
WN2001	1.5549
WN2002	1.164
WN2033	1.0345
XZ1513	0.25492
XZ1514	-0.62083
XZ1516	0.48925
