strain	median
AB1	-4.3545
BRC20067	-2.7583
CB4852	-4.4874
CB4854	-5.5624
CB4856	-7.4983
CB4932	-4.318
CX11254	-0.47601
CX11262	-11.7386
CX11264	-1.8468
CX11271	-7.531
CX11276	-4.1908
CX11285	-10.748
CX11292	-5.2127
CX11307	-3.9783
CX11314	-7.9562
CX11315	-6.5106
DL200	-5.0632
DL226	-7.1863
DL238	-3.8731
ECA246	-3.0093
ECA248	-8.4564
ECA250	-2.4674
ECA251	-9.3648
ECA252	0.4544
ECA259	-9.0758
ECA348	3.6104
ECA349	-2.4638
ECA36	-6.5298
ECA363	0.84285
ECA372	-5.5464
ECA396	-15.8442
ED3005	-2.3323
ED3011	-3.5712
ED3012	-8.4679
ED3017	-6.871
ED3040	-6.9183
ED3046	-3.5627
ED3048	-7.0532
ED3049	-8.1755
ED3052	-7.5172
ED3073	-2.3822
ED3077	-5.96
EG4347	-6.6765
EG4349	-5.146
EG4724	-3.1333
EG4725	-6.1471
EG4946	-7.2288
GXW1	-6.8401
JT11398	-7.2299
JU1088	-3.816
JU1172	-11.5088
JU1200	-1.3565
JU1212	-6.6357
JU1213	-8.5713
JU1242	-6.2326
JU1246	-7.9486
JU1395	-0.98845
JU1400	-2.0265
JU1409	-10.2815
JU1440	-6.4285
JU1491	-6.1663
JU1530	-8.7787
JU1543	0.3054
JU1568	-0.3627
JU1580	-5.0083
JU1581	-8.0956
JU1586	-4.3026
JU1652	-6.8167
JU1793	-9.3781
JU1808	-2.5196
JU1896	-8.4394
JU2001	-5.703
JU2007	-11.8266
JU2131	-6.5216
JU2141	-6.1525
JU2234	-3.2426
JU2464	-1.5875
JU2466	-3.8293
JU2513	-11.3039
JU2519	-3.4794
JU2522	-2.8727
JU2526	-9.5592
JU2534	-8.0472
JU2565	0.090771
JU2566	-6.2973
JU2578	-3.2903
JU258	-4.6871
JU2587	-3.6302
JU2593	-7.7071
JU2600	-2.5919
JU2800	-11.2306
JU2862	-6.9622
JU2866	-5.8764
JU2878	-3.8613
JU2879	-7.1237
JU2906	-2.7177
JU310	-3.0076
JU311	-7.4606
JU3125	-1.217
JU3127	-3.5874
JU3134	-8.3501
JU3135	-3.0371
JU3137	-5.1788
JU3140	-1.5538
JU323	-2.8402
JU346	-0.54047
JU360	-10.5875
JU367	-7.8817
JU393	-6.281
JU394	-6.8678
JU397	-3.5254
JU406	-4.4947
JU440	-6.4304
JU561	-4.1282
JU642	-7.004
JU751	3.0123
JU774	-7.292
JU775	-9.7773
JU778	-4.6276
JU782	-6.6514
JU792	-3.0141
JU830	-1.9835
JU847	-6.0434
KR314	-4.2813
LKC34	-7.656
LSJ1	-2.6268
MY1	-2.1773
MY10	-8.099
MY16	-2.7509
MY18	-12.104
MY2212	-11.7093
MY23	-9.0089
MY2453	-4.7405
MY2530	-4.519
MY2535	-7.0076
MY2573	-6.4385
MY2693	-4.2
MY2741	-8.3283
MY679	-3.5921
MY920	-4.6443
N2	-0.37232
NIC1	-5.3897
NIC1107	-3.0077
NIC166	-5.4501
NIC195	-5.1554
NIC199	-8.7214
NIC2	-3.1015
NIC207	-4.4412
NIC231	-0.51645
NIC236	-7.3862
NIC242	-6.1323
NIC251	-0.67308
NIC252	-6.3817
NIC255	-2.2942
NIC256	-4.7386
NIC258	0.31612
NIC259	-8.9003
NIC260	-1.1107
NIC261	-10.7783
NIC262	-7.3914
NIC265	-6.8122
NIC266	-7.7716
NIC267	-10.5786
NIC268	-6.259
NIC269	-5.3134
NIC271	-11.0824
NIC272	-3.8826
NIC274	-3.2494
NIC275	-3.1638
NIC276	-8.4041
NIC277	-10.3802
NIC3	-3.5357
NIC513	-7.2573
NIC514	-4.0577
NIC522	-10.1774
NIC523	-4.8213
PB303	-1.2843
PS2025	-6.6282
PX179	-6.643
QG2075	-8.2537
QG536	-9.5578
QG556	-6.1401
QG557	-5.7702
QW947	-4.9459
QX1212	-2.4704
QX1233	0.75286
QX1791	-4.9047
QX1792	-2.2875
QX1793	-9.5459
QX1794	-3.3248
RC301	-3.6267
WN2001	-9.6196
WN2002	-6.3635
WN2033	-2.6359
XZ1513	-3.526
XZ1514	2.6934
XZ1516	-5.3359
