strain	median
AB1	-0.28077
BRC20067	-0.55618
CB4852	-0.55641
CB4854	-0.52819
CB4856	-0.8572
CB4932	-0.35504
CX11254	-0.59005
CX11262	-1.1108
CX11264	-0.50051
CX11271	-0.44557
CX11276	-0.92436
CX11285	-1.4272
CX11292	-0.51734
CX11307	-0.37877
CX11314	-0.26378
CX11315	-0.79518
DL200	-0.32695
DL226	-0.82814
DL238	0.036953
ECA246	-0.3418
ECA248	-1.0148
ECA250	-0.20319
ECA251	-0.71653
ECA252	0.067953
ECA259	-0.9739
ECA348	0.30679
ECA349	-0.62309
ECA36	-1.289
ECA363	-0.11342
ECA372	-0.82611
ECA396	-2.2196
ED3005	-0.3704
ED3011	-0.8376
ED3012	-0.37665
ED3017	-0.83503
ED3040	-0.76188
ED3046	-0.29431
ED3048	-0.7824
ED3049	-0.52753
ED3052	-0.71965
ED3073	-0.30814
ED3077	-0.84753
EG4347	-0.63915
EG4349	-0.31237
EG4724	-0.21508
EG4725	-0.50528
EG4946	-0.35429
GXW1	-0.74427
JT11398	-0.25006
JU1088	-0.62211
JU1172	-1.1541
JU1200	-0.36717
JU1212	-0.64373
JU1213	-1.2009
JU1242	-0.27699
JU1246	-0.58758
JU1395	-0.14538
JU1400	-0.324
JU1409	-1.5759
JU1440	-0.57953
JU1491	-0.44071
JU1530	-0.57449
JU1543	-0.13028
JU1568	0.15667
JU1580	-0.61044
JU1581	-1.3096
JU1586	-0.61663
JU1652	-0.71841
JU1793	-0.81834
JU1808	-0.67341
JU1896	-0.57685
JU2001	-0.48769
JU2007	-0.44127
JU2131	-0.31316
JU2141	-0.89307
JU2234	-0.60554
JU2464	-0.32753
JU2466	-0.38286
JU2513	-0.98167
JU2519	-0.33182
JU2522	-0.57841
JU2526	-1.1497
JU2534	-0.4481
JU2565	-0.37178
JU2566	-0.46525
JU2578	-0.56752
JU258	-0.63025
JU2587	-0.26855
JU2593	-0.222
JU2600	-0.81785
JU2800	-0.7645
JU2862	-1.3394
JU2866	-1.0521
JU2878	-0.73811
JU2879	-0.6939
JU2906	0.0057969
JU310	-0.0932
JU311	-0.61737
JU3125	-0.31152
JU3127	-0.39961
JU3134	-0.87213
JU3135	-0.8342
JU3137	-0.67406
JU3140	-0.82142
JU323	-0.57961
JU346	-0.078915
JU360	-1.7159
JU367	-0.63605
JU393	-0.66807
JU394	-0.3863
JU397	-0.76124
JU406	-0.37778
JU440	-0.65967
JU561	-0.382
JU642	-0.82743
JU751	-1.2238
JU774	-0.6986
JU775	-0.49876
JU778	-0.45478
JU782	-0.34037
JU792	-0.78864
JU830	-0.37441
JU847	-0.9157
KR314	-0.0043516
LKC34	-0.54012
LSJ1	-0.3774
MY1	-0.1627
MY10	-0.402
MY16	-0.35929
MY18	-1.1228
MY2212	-0.65875
MY23	-1.0196
MY2453	-0.38671
MY2530	-0.45057
MY2535	-0.41984
MY2573	-0.63995
MY2693	-0.21868
MY2741	-0.56885
MY679	-0.19987
MY920	-0.99004
N2	0.15944
NIC1	-0.60796
NIC1107	-0.63976
NIC166	-0.7064
NIC195	-1.0358
NIC199	-0.71676
NIC2	-0.8708
NIC207	-0.80247
NIC231	-0.75632
NIC236	-0.7998
NIC242	-0.63478
NIC251	-0.63276
NIC252	-1.4092
NIC255	-0.81964
NIC256	-0.80075
NIC258	-0.029502
NIC259	-0.97463
NIC260	-0.22035
NIC261	-0.64452
NIC262	-0.95209
NIC265	-0.23743
NIC266	-0.42865
NIC267	-0.33479
NIC268	-1.2533
NIC269	-0.67232
NIC271	-0.62308
NIC272	-0.28748
NIC274	-0.5275
NIC275	-0.37633
NIC276	-0.67198
NIC277	-0.99376
NIC3	-0.50686
NIC513	-0.66956
NIC514	-0.48536
NIC522	-0.42892
NIC523	-0.061433
PB303	-0.40046
PS2025	-0.80802
PX179	-0.59886
QG2075	-0.62719
QG536	-0.99359
QG556	-0.42983
QG557	-0.85002
QW947	-0.78112
QX1212	-0.19311
QX1233	-0.16302
QX1791	-0.49509
QX1792	-0.80101
QX1793	-0.47519
QX1794	-0.2837
RC301	-0.54202
WN2001	-0.81647
WN2002	-0.83653
WN2033	-0.69772
XZ1513	-0.28712
XZ1514	0.069636
XZ1516	-0.11305
