strain	median
AB1	24.6832
BRC20067	11.5087
CB4852	30.5846
CB4854	15.4777
CB4856	14.2324
CB4932	21.5404
CX11254	34.4695
CX11262	1.4043
CX11264	15.5683
CX11271	26.3659
CX11276	11.881
CX11285	3.3452
CX11292	19.5287
CX11307	17.4291
CX11314	18.8981
CX11315	41.5786
DL200	7.0939
DL226	10.6334
DL238	13.733
ECA246	20.8478
ECA248	31.268
ECA250	14.4746
ECA251	32.6456
ECA252	19.2941
ECA259	12.2871
ECA348	13.7985
ECA349	30.0699
ECA36	22.2039
ECA363	13.1811
ECA372	26.552
ECA396	6.4033
ED3005	50.2869
ED3011	17.2257
ED3012	9.2813
ED3017	14.2778
ED3040	24.4611
ED3046	40.9045
ED3048	19.1347
ED3049	31.8955
ED3052	27.5289
ED3073	12.6308
ED3077	20.3667
EG4347	32.5442
EG4349	30.3476
EG4724	-0.49715
EG4725	16.2935
EG4946	24.6913
GXW1	36.4509
JT11398	13.2347
JU1088	22.7472
JU1172	26.1323
JU1200	11.4968
JU1212	24.388
JU1213	21.1892
JU1242	15.7614
JU1246	9.4735
JU1395	33.1293
JU1400	32.4129
JU1409	11.9937
JU1440	10.3766
JU1491	32.3584
JU1530	34.9721
JU1543	-9.5249
JU1568	12.134
JU1580	27.1
JU1581	18.2554
JU1586	23.7857
JU1652	26.5616
JU1793	18.1042
JU1808	-6.5757
JU1896	14.7201
JU2001	30.6624
JU2007	11.1165
JU2131	37.6052
JU2141	25.5705
JU2234	2.8343
JU2464	20.3256
JU2466	46.1778
JU2513	23.7691
JU2519	22.1986
JU2522	15.9905
JU2526	14.1357
JU2534	16.5246
JU2565	11.1673
JU2566	30.6467
JU2578	6.8997
JU258	18.7853
JU2587	38.9398
JU2593	31.7774
JU2600	6.2089
JU2800	5.6613
JU2862	4.2742
JU2866	17.5895
JU2878	16.3239
JU2879	-5.1884
JU2906	-12.1802
JU310	12.7219
JU311	14.1634
JU3125	-6.8802
JU3127	16.6053
JU3134	39.5362
JU3135	15.1212
JU3137	6.4902
JU3140	21.5574
JU323	32.9175
JU346	31.4505
JU360	16.6955
JU367	43.6366
JU393	22.8282
JU394	27.8337
JU397	5.2657
JU406	22.4559
JU440	15.6641
JU561	14.9877
JU642	16.5682
JU751	12.4305
JU774	18.9195
JU775	40.2613
JU778	22.3828
JU782	34.0101
JU792	28.9802
JU830	28.1992
JU847	16.1736
KR314	22.9548
LKC34	20.7808
LSJ1	18.2282
MY1	45.2663
MY10	33.6716
MY16	8.6412
MY18	-0.94431
MY2212	50.7378
MY23	11.8172
MY2453	23.1324
MY2530	32.2182
MY2535	15.752
MY2573	34.4824
MY2693	15.18
MY2741	14.5994
MY679	17.0681
MY920	32.5588
N2	11.6693
NIC1	20.8506
NIC1107	13.8917
NIC166	24.5329
NIC195	14.1985
NIC199	19.1525
NIC2	23.1366
NIC207	19.0023
NIC231	25.8844
NIC236	20.7663
NIC242	19.0964
NIC251	0.0854
NIC252	6.5558
NIC255	17.6247
NIC256	21.6487
NIC258	13.5458
NIC259	15.5452
NIC260	10.9096
NIC261	30.7752
NIC262	-2.0704
NIC265	54.3151
NIC266	47.7132
NIC267	20.9912
NIC268	9.2851
NIC269	-2.0167
NIC271	39.2558
NIC272	20.9779
NIC274	17.7697
NIC275	24.7751
NIC276	21.4956
NIC277	20.3124
NIC3	19.3366
NIC513	17.3481
NIC514	15.4001
NIC522	34.4148
NIC523	27.2784
PB303	7.722
PS2025	33.5415
PX179	25.3394
QG2075	18.1585
QG536	11.9555
QG556	15.8959
QG557	9.1295
QW947	13.2158
QX1212	27.6445
QX1233	24.0411
QX1791	27.8233
QX1792	0.14743
QX1793	41.1963
QX1794	27.7453
RC301	12.4366
WN2001	11.5575
WN2002	17.0886
WN2033	2.1188
XZ1513	8.8898
XZ1514	4.3467
XZ1516	9.947
