strain	median
AB1	-22.7277
BRC20067	-41.8235
CB4852	-4.5301
CB4854	-35.2323
CB4856	-44.9723
CB4932	-41.6186
CX11254	-2.953
CX11262	-46.7705
CX11264	-57.8989
CX11271	-39.5066
CX11276	5.5802
CX11285	-15.6341
CX11292	-26.0663
CX11307	-19.6098
CX11314	-13.1901
CX11315	-49.5582
DL200	-41.8205
DL226	-31.6882
DL238	-10.3476
ECA246	-15.1349
ECA248	-13.3807
ECA250	26.7864
ECA251	-33.5183
ECA252	-0.4116
ECA259	-59.5338
ECA348	-23.3936
ECA349	-40.4191
ECA36	-11.4181
ECA363	-16.6342
ECA372	-52.9045
ECA396	-37.9967
ED3005	-6.9286
ED3011	-14.9964
ED3012	-61.3653
ED3017	0.94982
ED3040	-45.0883
ED3046	-20.534
ED3048	-14.1626
ED3049	-42.5942
ED3052	-8.7221
ED3073	-27.0614
ED3077	-51.191
EG4347	-52.1689
EG4349	-23.2781
EG4724	-5.6879
EG4725	-28.5303
EG4946	-0.79707
GXW1	-37.3427
JT11398	-41.538
JU1088	4.7045
JU1172	-39.9942
JU1200	0.35669
JU1212	-41.1638
JU1213	-41.7537
JU1242	-7.5814
JU1246	-60.0579
JU1395	-7.8669
JU1400	-5.8976
JU1409	-36.2905
JU1440	26.6853
JU1491	-44.3826
JU1530	-29.6212
JU1543	-37.6903
JU1568	-10.7577
JU1580	-31.6097
JU1581	-0.68517
JU1586	-8.0877
JU1652	6.7943
JU1793	-22.1986
JU1808	-74.5366
JU1896	-3.8484
JU2001	-22.6597
JU2007	-2.3782
JU2131	-3.199
JU2141	-42.907
JU2234	-44.1518
JU2464	-48.7859
JU2466	-55.0037
JU2513	-59.1912
JU2519	2.7705
JU2522	-0.48679
JU2526	-56.8007
JU2534	-17.4638
JU2565	-36.9253
JU2566	-23.7168
JU2578	-34.6161
JU258	-10.1477
JU2587	-25.0455
JU2593	-31.995
JU2600	-11.5435
JU2800	-2.2555
JU2862	30.8939
JU2866	-3.7253
JU2878	-40.1983
JU2879	22.1283
JU2906	-33.723
JU310	-38.5609
JU311	-10.5052
JU3125	-69.2942
JU3127	-22.1325
JU3134	29.9772
JU3135	55.7833
JU3137	-52.7953
JU3140	-31.7655
JU323	10.9524
JU346	-31.446
JU360	-34.8089
JU367	-42.5155
JU393	-37.0277
JU394	-2.4928
JU397	-52.6567
JU406	-31.5533
JU440	-52.2992
JU561	-41.8284
JU642	-42.1958
JU751	-41.948
JU774	-52.3577
JU775	-41.0032
JU778	-45.118
JU782	9.1132
JU792	-46.5711
JU830	-58.5241
JU847	-40.2193
KR314	-24.697
LKC34	-33.7825
LSJ1	-22.7108
MY1	-25.4
MY10	-19.076
MY16	-17.9216
MY18	-2.3527
MY2212	-60.1351
MY23	-23.2045
MY2453	-52.8407
MY2530	25.9974
MY2535	-54.571
MY2573	-31.8914
MY2693	-70.3425
MY2741	-52.4847
MY679	-9.0859
MY920	-36.5929
N2	-11.9426
NIC1	-3.9435
NIC1107	-54.0316
NIC166	-21.9304
NIC195	-12.5978
NIC199	5.5987
NIC2	-51.3456
NIC207	-2.722
NIC231	-32.2062
NIC236	-18.1173
NIC242	-30.7489
NIC251	-18.6513
NIC252	-31.184
NIC255	-9.2696
NIC256	-10.8171
NIC258	-14.378
NIC259	9.6225
NIC260	-23.3226
NIC261	-29.9893
NIC262	-43.6641
NIC265	-58.3676
NIC266	-38.7904
NIC267	5.141
NIC268	-55.1807
NIC269	12.1979
NIC271	-50.0088
NIC272	2.5543
NIC274	-22.5697
NIC275	-9.8499
NIC276	-33.5188
NIC277	-20.4521
NIC3	-43.7909
NIC513	-34.436
NIC514	-21.4704
NIC522	-35.8183
NIC523	-1.7084
PB303	1.9362
PS2025	-18.8923
PX179	-28.1733
QG2075	-56.0628
QG536	-3.1271
QG556	-50.7592
QG557	-39.4831
QW947	-7.0672
QX1212	-30.7549
QX1233	-40.4253
QX1791	-38.3324
QX1792	-11.3635
QX1793	-39.7331
QX1794	-63.0386
RC301	-12.066
WN2001	-56.5706
WN2002	-10.5014
WN2033	-9.9356
XZ1513	-106.6045
XZ1514	-2.7036
XZ1516	-10.6812
