strain	median
AB1	-78.76
BRC20067	-30.88
CB4852	-38.44
CB4854	-34.02
CB4856	-36.67
CB4932	-31.26
CX11254	-45.52
CX11262	-29.04
CX11264	-49.28
CX11271	-42.72
CX11276	-42.24
CX11285	-29.69
CX11292	-33.64
CX11307	-55.24
CX11314	-34.22
CX11315	-51.8
DL200	-32
DL226	-46.4
DL238	-37.85
ECA246	-90.02
ECA248	-70.42
ECA250	-46.32
ECA251	-28.36
ECA252	-28.52
ECA259	-30.48
ECA348	-59.74
ECA349	-38.32
ECA36	-34.76
ECA363	-38.62
ECA372	-60.82
ECA396	-41.28
ED3005	-38.4
ED3011	-37.76
ED3012	-42.74
ED3017	-31.82
ED3040	-24.33
ED3046	-43.16
ED3048	-33.03
ED3049	-41.64
ED3052	-46.68
ED3073	-44.42
ED3077	-38.92
EG4347	-56.12
EG4349	-43.16
EG4724	-36.02
EG4725	-40.04
EG4946	-31.5
GXW1	-33.5
JT11398	-30.1
JU1088	-38.14
JU1172	-33.8
JU1200	-41.52
JU1212	-33.24
JU1213	-36.78
JU1242	-42.96
JU1246	-43.64
JU1395	-41.66
JU1400	-47.6
JU1409	-30.12
JU1440	-30.8
JU1491	-51.96
JU1530	-52.76
JU1543	-32
JU1568	-38.72
JU1580	-47.24
JU1581	-26.2
JU1586	-22.9
JU1652	-50.7
JU1793	-63.52
JU1808	-32.54
JU1896	-46.9
JU2001	-36.18
JU2007	-26.8
JU2131	-27.76
JU2141	-48.4
JU2234	-42.3
JU2464	-32.56
JU2466	-52.36
JU2513	-33.44
JU2519	-54.88
JU2522	-28.48
JU2526	-38.72
JU2534	-45.3
JU2565	-38.84
JU2566	-48.2
JU2578	-28.12
JU258	-39.7
JU2587	-43.2
JU2593	-49.08
JU2600	-32.22
JU2800	-21.28
JU2862	-30.76
JU2866	-58.06
JU2878	-46.55
JU2879	-47.54
JU2906	-53.36
JU310	-35.44
JU311	-48.77
JU3125	-47.54
JU3127	-32.68
JU3134	-41.68
JU3135	-35.4
JU3137	-57.64
JU3140	-38.88
JU323	-28.36
JU346	-49.04
JU360	-35.96
JU367	-33.52
JU393	-40.92
JU394	-48.6
JU397	-48.68
JU406	-38.42
JU440	-28.84
JU561	-44.52
JU642	-40.28
JU751	-34.6
JU774	-39.52
JU775	-44.14
JU778	-47.1
JU782	-42.52
JU792	-44.52
JU830	-25.24
JU847	-51.64
KR314	-46.18
LKC34	-37.44
LSJ1	-47.24
MY1	-31.9
MY10	-65.28
MY16	-35.88
MY18	-26.44
MY2212	-38.82
MY23	-30.92
MY2453	-44.24
MY2530	-38.8
MY2535	-48.56
MY2573	-40.64
MY2693	-34.28
MY2741	-27.08
MY679	-46.88
MY920	-47.6
N2	-63.46
NIC1	-25.6
NIC1107	-43.72
NIC166	-33.6
NIC195	-58.62
NIC199	-36.2
NIC2	-36
NIC207	-43.24
NIC231	-36.22
NIC236	-46.32
NIC242	-37.84
NIC251	-25.4
NIC252	-26.51
NIC255	-31.16
NIC256	-31.18
NIC258	-65.42
NIC259	-34.24
NIC260	-42.08
NIC261	-48.12
NIC262	-49.56
NIC265	-40.28
NIC266	-39.74
NIC267	-40.84
NIC268	-26.88
NIC269	-58.42
NIC271	-48.18
NIC272	-39.54
NIC274	-49.66
NIC275	-37.82
NIC276	-33.3
NIC277	-28.19
NIC3	-52.3
NIC513	-37.4
NIC514	-37.04
NIC522	-41.5
NIC523	-29.88
PB303	-33.06
PS2025	-68.5
PX179	-52.12
QG2075	-39.91
QG536	-43.84
QG556	-45.34
QG557	-56.52
QW947	-50.8
QX1212	-48.64
QX1233	-42.76
QX1791	-39.88
QX1792	-39.46
QX1793	-26.96
QX1794	-31.02
RC301	-28.26
WN2001	-37.96
WN2002	-29.52
WN2033	-35.94
XZ1513	-67.34
XZ1514	-41.8
XZ1516	-39.48
