strain	median
AB1	-0.0090673
BRC20067	-0.039987
CB4852	-0.019551
CB4854	-0.03205
CB4856	-0.038181
CB4932	-0.038166
CX11254	-0.0035257
CX11262	-0.041138
CX11264	-0.025054
CX11271	-0.090967
CX11276	-0.029223
CX11285	-0.037279
CX11292	-0.016143
CX11307	-0.018281
CX11314	-0.028551
CX11315	-0.069196
DL200	-0.018852
DL226	-0.011563
DL238	-0.037359
ECA246	-0.099306
ECA248	0.031613
ECA250	-0.023526
ECA251	-0.0086548
ECA252	-0.0035081
ECA259	-0.060287
ECA348	0.0095741
ECA349	0.0024817
ECA36	-0.20595
ECA363	-0.054368
ECA372	-0.030816
ECA396	-0.040428
ED3005	-0.020873
ED3011	-0.022417
ED3012	-0.075082
ED3017	-0.041321
ED3040	-0.062921
ED3046	0.0002027
ED3048	-0.071548
ED3049	-0.015983
ED3052	-0.04678
ED3073	-0.0034985
ED3077	-0.066612
EG4347	-0.042701
EG4349	-0.0042646
EG4724	-0.018021
EG4725	-0.0091671
EG4946	-0.030359
GXW1	-0.022725
JT11398	-0.021636
JU1088	-0.035521
JU1172	-0.03678
JU1200	-0.044813
JU1212	-0.010686
JU1213	-0.050546
JU1242	-0.025451
JU1246	-0.022919
JU1395	-0.006498
JU1400	-0.00038726
JU1409	-0.066425
JU1440	-0.0071772
JU1491	-0.0040467
JU1530	-0.0053536
JU1543	-0.024704
JU1568	-0.037762
JU1580	-0.018387
JU1581	-0.059574
JU1586	-0.043174
JU1652	-0.018472
JU1793	-0.012356
JU1808	-0.034931
JU1896	-0.01137
JU2001	-0.011176
JU2007	-0.029992
JU2131	0.011166
JU2141	0.0011897
JU2234	-0.020264
JU2464	-0.011396
JU2466	0.0063856
JU2513	-0.025332
JU2519	-0.012593
JU2522	-0.017279
JU2526	-0.04734
JU2534	-0.02167
JU2565	0.0036716
JU2566	-0.02004
JU2578	0.008997
JU258	-0.03346
JU2587	-0.029257
JU2593	-0.014475
JU2600	-0.037309
JU2800	-0.0099012
JU2862	-0.037412
JU2866	-0.018204
JU2878	-0.045038
JU2879	-0.054715
JU2906	0.0066351
JU310	-0.032621
JU311	-0.055453
JU3125	-0.080221
JU3127	0.0058768
JU3134	-0.035156
JU3135	-0.020969
JU3137	-0.031264
JU3140	-0.009035
JU323	-0.025505
JU346	-0.011812
JU360	-0.026068
JU367	-0.040671
JU393	-0.027135
JU394	-0.0069092
JU397	-0.041931
JU406	-0.0078693
JU440	-0.040076
JU561	-0.058928
JU642	-0.057222
JU751	-0.018681
JU774	-0.053644
JU775	-0.0097664
JU778	-0.0588
JU782	-0.017135
JU792	-0.017431
JU830	-0.011826
JU847	-0.012245
KR314	-0.015926
LKC34	-0.012341
LSJ1	-0.038815
MY1	-0.010853
MY10	-0.011345
MY16	-0.020225
MY18	-0.031012
MY2212	0.0052899
MY23	-0.023204
MY2453	-0.019199
MY2530	-0.021632
MY2535	-0.014024
MY2573	-0.0064965
MY2693	-0.0031137
MY2741	-0.024948
MY679	-0.021817
MY920	-0.0018737
N2	-0.0057185
NIC1	-0.022963
NIC1107	-0.0094922
NIC166	-0.025513
NIC195	-0.054592
NIC199	-0.014496
NIC2	-0.049432
NIC207	-0.028136
NIC231	-0.015415
NIC236	-0.049246
NIC242	-0.023709
NIC251	-0.025298
NIC252	-0.043978
NIC255	-0.044227
NIC256	-0.021781
NIC258	-0.0033477
NIC259	-0.041567
NIC260	-0.021992
NIC261	-0.027069
NIC262	-0.0063679
NIC265	-0.02655
NIC266	0.0017392
NIC267	-0.018461
NIC268	-0.11045
NIC269	-0.016308
NIC271	-0.018331
NIC272	-0.019856
NIC274	-0.044481
NIC275	-0.019474
NIC276	-0.073836
NIC277	-0.035463
NIC3	-0.024028
NIC513	-0.037708
NIC514	-0.062597
NIC522	-0.014443
NIC523	-0.034791
PB303	-0.039713
PS2025	-0.013873
PX179	-0.0058557
QG2075	-0.032896
QG536	-0.057002
QG556	0.00081532
QG557	-0.026596
QW947	-0.02005
QX1212	-0.014337
QX1233	-0.047145
QX1791	-0.038442
QX1792	-0.010778
QX1793	0.018848
QX1794	0.0045712
RC301	-0.037749
WN2001	-0.085718
WN2002	-0.0201
WN2033	-0.053862
XZ1513	-0.0019645
XZ1514	0.028742
XZ1516	-0.022668
