strain	median
AB1	-0.0015148
BRC20067	-0.0016929
CB4852	-0.00052976
CB4854	-0.0018559
CB4856	-0.0010037
CB4932	-0.0020525
CX11254	-0.00039284
CX11262	-0.00085538
CX11264	-0.0014462
CX11271	-0.0011772
CX11276	-0.0015916
CX11285	-0.0013125
CX11292	-0.0013002
CX11307	-0.00063462
CX11314	-0.00029883
CX11315	-0.00090755
DL200	-0.0020045
DL226	-0.0020133
DL238	-0.001447
ECA246	-0.00081718
ECA248	-0.0033918
ECA250	-0.0017596
ECA251	-0.0023278
ECA252	-0.0020403
ECA259	-0.0014343
ECA348	-0.00054773
ECA349	-0.0010533
ECA36	-0.0010944
ECA363	-0.00080889
ECA372	-0.0009653
ECA396	-0.001846
ED3005	-0.0033548
ED3011	-0.0010558
ED3012	-0.0012638
ED3017	-0.0016381
ED3040	-0.0025051
ED3046	-0.00188
ED3048	-0.0014276
ED3049	-2.7559e-05
ED3052	-0.0013108
ED3073	-0.0010023
ED3077	-0.0029597
EG4347	-0.0018441
EG4349	-0.0021707
EG4724	-0.0011542
EG4725	-0.0018576
EG4946	-0.0018936
GXW1	-0.0030297
JT11398	-0.0014717
JU1088	-0.001369
JU1172	-0.0014084
JU1200	-0.00073652
JU1212	-0.00057741
JU1213	-0.0017925
JU1242	-0.0012744
JU1246	-0.0020154
JU1395	-0.0013636
JU1400	-0.0016977
JU1409	-0.00096951
JU1440	-0.0018335
JU1491	-0.0015562
JU1530	-0.0012437
JU1543	-0.0027707
JU1568	-0.0023463
JU1580	-0.00055816
JU1581	-0.0016653
JU1586	-0.0015374
JU1652	-0.00066465
JU1793	-0.0014025
JU1808	-0.0028676
JU1896	-0.00099833
JU2001	-0.0014786
JU2007	-0.0019649
JU2131	-0.0013299
JU2141	-0.00093355
JU2234	-0.00078449
JU2464	-0.0022485
JU2466	-0.0015201
JU2513	-0.0012575
JU2519	-0.0021421
JU2522	-0.0012263
JU2526	-0.0013088
JU2534	-0.0017402
JU2565	-0.00096025
JU2566	-0.0010366
JU2578	-0.0025158
JU258	-0.0010316
JU2587	-0.0027972
JU2593	-0.001376
JU2600	-0.0013869
JU2800	-0.001689
JU2862	-0.000906
JU2866	-0.00056253
JU2878	-0.0010806
JU2879	-0.00099744
JU2906	-0.00016296
JU310	-0.0014044
JU311	-0.0014453
JU3125	-0.0014459
JU3127	0.00014414
JU3134	-0.0011235
JU3135	-0.0023483
JU3137	-0.001543
JU3140	-0.0018006
JU323	-0.001315
JU346	-0.0011574
JU360	-0.0012887
JU367	-0.0016966
JU393	-0.0024598
JU394	-0.0016679
JU397	-0.0014299
JU406	-0.0014709
JU440	-0.00084755
JU561	-0.0019959
JU642	-0.0010636
JU751	-0.0022403
JU774	-0.0016156
JU775	-0.0022364
JU778	-0.0027723
JU782	-0.0029246
JU792	-0.0012379
JU830	-0.0037389
JU847	-0.00093378
KR314	-0.0026497
LKC34	-0.001751
LSJ1	-0.00072129
MY1	-0.0019249
MY10	-0.00013699
MY16	-0.0018812
MY18	-0.00017678
MY2212	-0.0007297
MY23	-0.0012125
MY2453	-0.0019672
MY2530	-0.0016028
MY2535	-0.00082036
MY2573	-0.00071134
MY2693	-0.0013894
MY2741	-0.00112
MY679	-0.0010367
MY920	-0.00025034
N2	-0.002636
NIC1	-0.003062
NIC1107	-0.00073029
NIC166	-0.0012811
NIC195	-0.0011244
NIC199	-0.00091762
NIC2	-0.0015387
NIC207	-0.00086437
NIC231	-0.0016106
NIC236	-0.0018072
NIC242	-0.0013734
NIC251	-0.002736
NIC252	-0.0014205
NIC255	-0.00091222
NIC256	-0.0021219
NIC258	-0.00021751
NIC259	-0.0019252
NIC260	-0.0013906
NIC261	-0.0012327
NIC262	-0.0010076
NIC265	-0.0026319
NIC266	-0.00050256
NIC267	-0.0023045
NIC268	-0.0014644
NIC269	-0.00097168
NIC271	-0.0017886
NIC272	-0.0029144
NIC274	-0.0012026
NIC275	-0.00078711
NIC276	-0.0015457
NIC277	-0.0021291
NIC3	-0.001673
NIC513	-0.0010914
NIC514	-0.00071997
NIC522	-0.0023047
NIC523	-0.0014687
PB303	-0.0011542
PS2025	-0.00050596
PX179	-0.00043798
QG2075	-0.0017114
QG536	-0.0019401
QG556	-0.0002829
QG557	-3.0548e-05
QW947	-0.0011765
QX1212	-0.00061203
QX1233	-0.00087423
QX1791	-0.0011325
QX1792	-0.00209
QX1793	-0.00095456
QX1794	-0.00050532
RC301	-0.001466
WN2001	-0.0021613
WN2002	-0.0020669
WN2033	-0.0010945
XZ1513	0.00065933
XZ1514	0.00049727
XZ1516	-0.00066256
