strain	median
AB1	0.00023545
BRC20067	0.0013471
CB4852	-0.0035084
CB4854	0.0023002
CB4856	0.0018366
CB4932	0.00098584
CX11254	-0.00024821
CX11262	0.00024807
CX11264	0.00075915
CX11271	0.0014675
CX11276	0.00096032
CX11285	0.0015308
CX11292	0.0016486
CX11307	0.00095388
CX11314	0.0021659
CX11315	0.00057326
DL200	-9.7314e-06
DL226	0.00097516
DL238	0.0015939
ECA246	0.0013052
ECA248	-0.0026557
ECA250	0.001741
ECA251	-0.00026445
ECA252	-0.00099639
ECA259	0.0014551
ECA348	0.00016929
ECA349	0.00016866
ECA36	0.001739
ECA363	0.0027955
ECA372	0.0012772
ECA396	0.003571
ED3005	-4.5779e-05
ED3011	0.0013595
ED3012	0.0012369
ED3017	0.0010005
ED3040	0.0012214
ED3046	0.00034387
ED3048	0.0011949
ED3049	0.0011523
ED3052	0.001204
ED3073	0.0015407
ED3077	0.0028334
EG4347	0.0019435
EG4349	2.6233e-05
EG4724	0.0015382
EG4725	0.00086693
EG4946	0.0013079
GXW1	0.0022156
JT11398	0.00088374
JU1088	0.0014283
JU1172	0.00024188
JU1200	0.0019117
JU1212	0.0015842
JU1213	0.0017608
JU1242	0.0021038
JU1246	0.0013989
JU1395	-9.2064e-05
JU1400	-0.00038654
JU1409	0.001373
JU1440	0.0022966
JU1491	0.00025628
JU1530	0.00033554
JU1543	0.0012451
JU1568	-0.00049095
JU1580	0.0019671
JU1581	0.0017163
JU1586	0.00039349
JU1652	0.0019528
JU1793	0.00032359
JU1808	0.0012651
JU1896	0.00074096
JU2001	0.0024296
JU2007	0.0012269
JU2131	0.0013328
JU2141	-0.00028397
JU2234	0.0010037
JU2464	2.0294e-05
JU2466	0.0020352
JU2513	0.00092627
JU2519	0.0017287
JU2522	0.0020231
JU2526	0.0017563
JU2534	0.00062131
JU2565	5.4664e-05
JU2566	1.0945e-05
JU2578	0.0014544
JU258	0.0020635
JU2587	-0.00048521
JU2593	0.00021457
JU2600	0.0013502
JU2800	0.0021669
JU2862	0.0023023
JU2866	0.00082636
JU2878	0.0012003
JU2879	0.0010544
JU2906	0.0011971
JU310	0.0013041
JU311	-0.00041406
JU3125	0.0013852
JU3127	0.00086678
JU3134	0.00087148
JU3135	0.0027913
JU3137	0.0019725
JU3140	0.00038275
JU323	0.0021271
JU346	0.00010834
JU360	0.0015295
JU367	0.00092451
JU393	0.0014358
JU394	-0.00029688
JU397	0.0016646
JU406	-3.6724e-05
JU440	0.0010175
JU561	0.0012839
JU642	0.0016726
JU751	-0.00060022
JU774	0.00030909
JU775	-0.00015771
JU778	0.00074524
JU782	0.00068481
JU792	0.0014001
JU830	0.0020272
JU847	0.0018542
KR314	0.00073734
LKC34	0.001167
LSJ1	-0.00055582
MY1	-0.00048441
MY10	0.0010163
MY16	0.00098379
MY18	0.0023294
MY2212	0.00054202
MY23	0.0017461
MY2453	-0.00083554
MY2530	0.0014357
MY2535	0.00099458
MY2573	0.00065547
MY2693	0.0010434
MY2741	0.001373
MY679	0.0008678
MY920	0.00026092
N2	-0.007331
NIC1	0.0015011
NIC1107	0.0001397
NIC166	0.0012511
NIC195	0.0015385
NIC199	0.0014122
NIC2	0.0014539
NIC207	0.0013326
NIC231	0.00073232
NIC236	0.00071854
NIC242	0.00079965
NIC251	0.0019963
NIC252	-0.00018677
NIC255	0.0017086
NIC256	0.001761
NIC258	0.0027407
NIC259	0.0015521
NIC260	-0.00050569
NIC261	0.0010275
NIC262	0.00013139
NIC265	-0.0003627
NIC266	-0.00039317
NIC267	0.0027963
NIC268	0.0022179
NIC269	0.0010943
NIC271	-0.0006261
NIC272	0.0021311
NIC274	0.0019731
NIC275	0.0014461
NIC276	0.0013634
NIC277	0.0018734
NIC3	0.00016655
NIC513	0.0026083
NIC514	0.0017092
NIC522	-0.0001202
NIC523	0.00016924
PB303	0.0011853
PS2025	0.00075755
PX179	0.00084689
QG2075	0.00011678
QG536	0.0012082
QG556	0.0008089
QG557	0.0023339
QW947	0.00096923
QX1212	0.00099829
QX1233	0.0021381
QX1791	0.001564
QX1792	0.0013026
QX1793	0.00097444
QX1794	0.0013296
RC301	0.0024899
WN2001	0.0014477
WN2002	0.0018558
WN2033	0.0013412
XZ1513	-0.00037685
XZ1514	0.0016403
XZ1516	0.00095683
