strain	median
AB1	11.9954
BRC20067	10.3314
CB4852	24.8472
CB4854	18.651
CB4856	17.9478
CB4932	14.5828
CX11254	37.4956
CX11262	5.6537
CX11264	10.112
CX11271	16.3711
CX11276	8.5023
CX11285	16.1568
CX11292	15.9468
CX11307	24.9558
CX11314	21.2064
CX11315	29.6319
DL200	3.107
DL226	14.9401
DL238	16.2157
ECA246	8.3088
ECA248	24.952
ECA250	30.6377
ECA251	21.6378
ECA252	23.389
ECA259	2.1075
ECA348	9.0415
ECA349	20.5128
ECA36	4.0855
ECA363	21.0242
ECA372	26.3226
ECA396	17.4034
ED3005	35.8459
ED3011	19.2177
ED3012	16.1834
ED3017	12.5407
ED3040	20.8217
ED3046	26.0964
ED3048	22.3489
ED3049	18.7711
ED3052	27.1886
ED3073	21.3927
ED3077	13.4755
EG4347	20.6774
EG4349	17.9494
EG4724	7.2694
EG4725	18.6232
EG4946	25.6068
GXW1	26.7647
JT11398	14.0692
JU1088	15.6798
JU1172	20.3921
JU1200	16.2779
JU1212	22.9342
JU1213	24.9677
JU1242	19.635
JU1246	18.5731
JU1395	36.5924
JU1400	25.6525
JU1409	21.5528
JU1440	5.9483
JU1491	32.2478
JU1530	29.4051
JU1543	4.0394
JU1568	8.6843
JU1580	21.9879
JU1581	10.1097
JU1586	28.5423
JU1652	17.3213
JU1793	11.0839
JU1808	-1.6613
JU1896	22.69
JU2001	26.2517
JU2007	21.3421
JU2131	22.9342
JU2141	22.6481
JU2234	16.5034
JU2464	15.3626
JU2466	30.4143
JU2513	23.945
JU2519	7.9718
JU2522	18.9881
JU2526	18.8907
JU2534	17.3301
JU2565	12.5042
JU2566	31.2387
JU2578	13.3085
JU258	19.1669
JU2587	17.9766
JU2593	37.3835
JU2600	21.2405
JU2800	19.6131
JU2862	9.5079
JU2866	4.364
JU2878	18.58
JU2879	17.3057
JU2906	-11.56
JU310	11.781
JU311	15.5106
JU3125	-8.786
JU3127	17.859
JU3134	27.0063
JU3135	19.6744
JU3137	17.5125
JU3140	13.6321
JU323	27.3204
JU346	23.7915
JU360	25.0463
JU367	26.2399
JU393	23.6571
JU394	16.9203
JU397	3.5107
JU406	19.0927
JU440	18.671
JU561	17.7297
JU642	23.0705
JU751	-4.6294
JU774	22.2005
JU775	24.7246
JU778	16.5136
JU782	29.5588
JU792	16.3128
JU830	16.8788
JU847	18.1591
KR314	21.6312
LKC34	21.093
LSJ1	18.3286
MY1	27.3934
MY10	20.9537
MY16	19.4275
MY18	0.10359
MY2212	38.1831
MY23	17.7702
MY2453	20.6254
MY2530	22.3457
MY2535	20.2214
MY2573	16.2273
MY2693	19.1005
MY2741	23.8163
MY679	32.1233
MY920	27.6787
N2	14.2905
NIC1	17.9107
NIC1107	11.1758
NIC166	23.7498
NIC195	9.5186
NIC199	19.8967
NIC2	19.4019
NIC207	17.9449
NIC231	11.6487
NIC236	19.9643
NIC242	18.9726
NIC251	0.24911
NIC252	8.8747
NIC255	16.2305
NIC256	21.927
NIC258	3.7779
NIC259	21.5403
NIC260	13.1477
NIC261	26.4356
NIC262	7.5786
NIC265	31.0583
NIC266	33.0418
NIC267	16.1028
NIC268	6.6671
NIC269	4.4381
NIC271	28.7744
NIC272	23.2265
NIC274	26.6431
NIC275	23.8013
NIC276	19.4295
NIC277	21.0133
NIC3	24.3433
NIC513	18.5333
NIC514	19.7541
NIC522	29.2102
NIC523	24.4726
PB303	11.7753
PS2025	17.7206
PX179	25.1474
QG2075	16.7206
QG536	15.4659
QG556	28.5089
QG557	20.5167
QW947	15.2342
QX1212	16.0559
QX1233	18.4204
QX1791	21.0836
QX1792	7.7897
QX1793	27.9099
QX1794	23.5911
RC301	16.6466
WN2001	20.9238
WN2002	16.6766
WN2033	10.1561
XZ1513	5.9322
XZ1514	14.8069
XZ1516	16.8339
