strain	median
AB1	843.5205
BRC20067	623.828
CB4852	657.6107
CB4854	238.873
CB4856	325.7133
CB4932	845.8162
CX11254	900.429
CX11262	-537.4459
CX11264	309.4937
CX11271	839.8628
CX11276	410.5587
CX11285	46.0228
CX11292	758.7649
CX11307	202.7216
CX11314	605.8672
CX11315	735.9305
DL200	313.2015
DL226	276.9224
DL238	-125.1127
ECA246	459.2487
ECA248	1084.7778
ECA250	911.2001
ECA251	1444.4285
ECA252	205.9729
ECA259	318.4611
ECA348	72.0342
ECA349	1345.3878
ECA36	71.3395
ECA363	104.0432
ECA372	1052.6935
ECA396	406.2367
ED3005	599.5836
ED3011	1062.8002
ED3012	893.02
ED3017	384.2727
ED3040	241.0876
ED3046	1278.7794
ED3048	791.3081
ED3049	886.3098
ED3052	875.4257
ED3073	-136.5153
ED3077	464.2491
EG4347	880.319
EG4349	948.5413
EG4724	651.667
EG4725	663.1257
EG4946	326.335
GXW1	1486.3459
JT11398	697.7685
JU1088	857.8003
JU1172	584.6205
JU1200	168.343
JU1212	734.9359
JU1213	552.7281
JU1242	586.7268
JU1246	1074.7506
JU1395	1151.4875
JU1400	552.7766
JU1409	473.4238
JU1440	517.4568
JU1491	1063.551
JU1530	1316.4915
JU1543	-1476.498
JU1568	861.3154
JU1580	1118.2817
JU1581	504.9902
JU1586	610.8798
JU1652	396.2509
JU1793	408.9088
JU1808	582.4917
JU1896	1038.5464
JU2001	547.6814
JU2007	700.5735
JU2131	1018.7016
JU2141	460.6554
JU2234	486.5878
JU2464	1144.0537
JU2466	584.3494
JU2513	999.6554
JU2519	404.1447
JU2522	-348.9349
JU2526	369.3003
JU2534	798.467
JU2565	665.5842
JU2566	172.2751
JU2578	937.9796
JU258	357.0648
JU2587	1586.5913
JU2593	1171.2753
JU2600	398.2496
JU2800	155.7798
JU2862	446.5524
JU2866	598.7247
JU2878	344.2289
JU2879	-420.7117
JU2906	-461.3308
JU310	751.283
JU311	-18.6901
JU3125	-413.5715
JU3127	1005.8495
JU3134	911.23
JU3135	-58.3931
JU3137	211.5203
JU3140	475.2529
JU323	76.6669
JU346	1129.1828
JU360	510.2433
JU367	1202.2295
JU393	675.4811
JU394	1445.9361
JU397	-345.1572
JU406	1253.0001
JU440	75.3245
JU561	868.678
JU642	423.1206
JU751	996.4474
JU774	402.2867
JU775	1111.34
JU778	463.2975
JU782	1136.7812
JU792	982.5919
JU830	981.8279
JU847	62.0839
KR314	441.929
LKC34	1029.6726
LSJ1	-101.0137
MY1	752.8604
MY10	1083.3713
MY16	659.4962
MY18	-13.0432
MY2212	851.5347
MY23	252.9958
MY2453	1078.9041
MY2530	690.7832
MY2535	1026.6273
MY2573	1112.8723
MY2693	804.7349
MY2741	756.8987
MY679	533.1417
MY920	1466.7533
N2	828.3448
NIC1	310.2769
NIC1107	472.9578
NIC166	358.5535
NIC195	373.2961
NIC199	353.2042
NIC2	845.7345
NIC207	501.5635
NIC231	1055.7076
NIC236	547.3777
NIC242	102.6063
NIC251	-15.5658
NIC252	373.6799
NIC255	500.9946
NIC256	465.5788
NIC258	518.1355
NIC259	359.2814
NIC260	245.0883
NIC261	815.1594
NIC262	-533.1267
NIC265	894.27
NIC266	597.6962
NIC267	1147.6439
NIC268	-38.6893
NIC269	-68.7748
NIC271	1385.7112
NIC272	1104.7917
NIC274	641.5406
NIC275	840.9562
NIC276	559.7528
NIC277	471.8781
NIC3	1058.8855
NIC513	348.7322
NIC514	211.6042
NIC522	1182.9393
NIC523	178.3416
PB303	305.483
PS2025	77.9025
PX179	858.2375
QG2075	1240.9224
QG536	410.8124
QG556	778.6062
QG557	-221.7935
QW947	209.5645
QX1212	1298.0027
QX1233	280.4248
QX1791	790.4786
QX1792	396.2184
QX1793	970.5309
QX1794	546.6862
RC301	-299.6617
WN2001	824.0198
WN2002	698.7489
WN2033	403.1473
XZ1513	868.3699
XZ1514	-238.8005
XZ1516	-331.4863
