strain	median
AB1	614.1302
BRC20067	563.0939
CB4852	444.9965
CB4854	160.9983
CB4856	309.0959
CB4932	583.1871
CX11254	153.2231
CX11262	-402.6777
CX11264	227.9482
CX11271	706.1899
CX11276	482.9305
CX11285	56.7252
CX11292	692.842
CX11307	92.0802
CX11314	574.4913
CX11315	420.739
DL200	-369.6586
DL226	85.0159
DL238	53.3694
ECA246	471.2399
ECA248	1088.8174
ECA250	1062.3706
ECA251	1490.112
ECA252	87.3347
ECA259	295.4031
ECA348	-191.8921
ECA349	1417.5806
ECA36	126.1514
ECA363	333.5896
ECA372	1006.6797
ECA396	515.2289
ED3005	539.5901
ED3011	976.3534
ED3012	843.5674
ED3017	347.3218
ED3040	189.5702
ED3046	1354.3502
ED3048	735.0446
ED3049	806.6376
ED3052	777.9603
ED3073	130.9315
ED3077	300.3525
EG4347	786.8486
EG4349	831.1245
EG4724	627.248
EG4725	563.1481
EG4946	398.5057
GXW1	1503.0958
JT11398	611.2462
JU1088	810.5784
JU1172	421.0112
JU1200	215.7954
JU1212	566.9828
JU1213	575.3098
JU1242	699.4531
JU1246	1003.7269
JU1395	987.0939
JU1400	440.2911
JU1409	440.1879
JU1440	414.9792
JU1491	962.7473
JU1530	1217.3215
JU1543	49.2991
JU1568	879.5585
JU1580	1091.7294
JU1581	404.7776
JU1586	547.2009
JU1652	227.6716
JU1793	122.3181
JU1808	561.5361
JU1896	929.6881
JU2001	499.5895
JU2007	630.9788
JU2131	947.0667
JU2141	335.6555
JU2234	546.3071
JU2464	1132.9
JU2466	533.02
JU2513	887.078
JU2519	264.2015
JU2522	-300.4019
JU2526	488.0826
JU2534	770.754
JU2565	191.9006
JU2566	205.4343
JU2578	1030.3634
JU258	129.1901
JU2587	1529.484
JU2593	1060.4885
JU2600	441.6805
JU2800	281.6003
JU2862	580.4436
JU2866	218.8472
JU2878	468.7379
JU2879	-325.1853
JU2906	-223.5244
JU310	880.4761
JU311	156.3938
JU3125	-676.937
JU3127	783.5865
JU3134	876.5569
JU3135	62.7454
JU3137	163.8689
JU3140	214.5886
JU323	137.0217
JU346	991.4663
JU360	508.5771
JU367	1133.9622
JU393	687.3129
JU394	1336.0109
JU397	62.4297
JU406	1350.0508
JU440	116.9663
JU561	832.8091
JU642	510.4952
JU751	-42.2195
JU774	329.2683
JU775	1009.1222
JU778	393.3505
JU782	1011.3502
JU792	863.1047
JU830	994.2216
JU847	142.636
KR314	336.4224
LKC34	1010.4014
LSJ1	-241.1047
MY1	588.7114
MY10	1059.7286
MY16	534.1555
MY18	200.1741
MY2212	918.9224
MY23	223.3635
MY2453	838.9084
MY2530	648.1904
MY2535	1011.8807
MY2573	809.421
MY2693	831.354
MY2741	560.1892
MY679	431.6299
MY920	1469.5583
N2	398.0305
NIC1	58.0371
NIC1107	347.6902
NIC166	379.5847
NIC195	360.3398
NIC199	367.073
NIC2	844.8505
NIC207	531.0122
NIC231	1028.0441
NIC236	427.0294
NIC242	191.5876
NIC251	-45.1095
NIC252	329.7441
NIC255	553.6783
NIC256	298.8501
NIC258	-219.1167
NIC259	378.4038
NIC260	316.0856
NIC261	761.1343
NIC262	-469.2379
NIC265	980.2031
NIC266	487.7183
NIC267	644.1391
NIC268	14.5056
NIC269	-46.3091
NIC271	1094.2621
NIC272	1021.3359
NIC274	312.6644
NIC275	744.8989
NIC276	388.2499
NIC277	191.2693
NIC3	834.5093
NIC513	207.1251
NIC514	220.4851
NIC522	920.817
NIC523	104.8564
PB303	291.1416
PS2025	-270.7205
PX179	608.9229
QG2075	950.4965
QG536	401.7577
QG556	696.5388
QG557	-148.5237
QW947	196.2106
QX1212	1085.0181
QX1233	338.2513
QX1791	837.5442
QX1792	394.8909
QX1793	850.5981
QX1794	516.5509
RC301	-381.3499
WN2001	717.9153
WN2002	739.099
WN2033	646.6816
XZ1513	436.0176
XZ1514	-394.8037
XZ1516	-202.2882
