strain	median
AB1	-0.00022508
BRC20067	-0.0011368
CB4852	-0.00057893
CB4854	-0.00068308
CB4856	-0.00039745
CB4932	-0.00065182
CX11254	-0.00042503
CX11262	-0.00072808
CX11264	-0.00060086
CX11271	-0.0004376
CX11276	-0.00079622
CX11285	-0.00041407
CX11292	-0.00031037
CX11307	-0.00027634
CX11314	-0.00043804
CX11315	-0.00036584
DL200	-0.00065574
DL226	-0.00061249
DL238	-0.00071347
ECA246	-0.0011766
ECA248	-0.00094087
ECA250	-0.00042667
ECA251	-0.00068309
ECA252	-0.00057212
ECA259	-0.00096911
ECA348	-0.00069465
ECA349	-0.00066214
ECA36	-0.0013228
ECA363	-0.00053145
ECA372	-0.00084108
ECA396	-0.00086543
ED3005	-0.00026872
ED3011	-0.0015504
ED3012	-0.00047396
ED3017	-0.00097055
ED3040	-0.00050256
ED3046	-0.0005861
ED3048	-0.00071563
ED3049	-0.00027254
ED3052	-0.00038791
ED3073	-0.00023928
ED3077	-0.00057082
EG4347	-0.00036729
EG4349	-0.00028455
EG4724	-0.00040371
EG4725	-0.00034473
EG4946	-0.00069966
GXW1	-0.00051541
JT11398	-0.00040231
JU1088	-0.00035148
JU1172	-0.00046453
JU1200	-0.00062978
JU1212	-0.00042739
JU1213	-0.00044999
JU1242	-0.00070962
JU1246	-0.00027281
JU1395	-0.00074996
JU1400	-0.00044955
JU1409	-0.00050558
JU1440	-0.00039985
JU1491	-0.00045015
JU1530	-0.00038259
JU1543	-0.0004724
JU1568	0.00027616
JU1580	-0.00054047
JU1581	-0.00074776
JU1586	-0.00039439
JU1652	-0.00072446
JU1793	-0.00077214
JU1808	-0.00043498
JU1896	-0.00055848
JU2001	-0.00045009
JU2007	-0.00057645
JU2131	-4.5846e-05
JU2141	-0.00070197
JU2234	-0.0010968
JU2464	-0.00064712
JU2466	-0.00048418
JU2513	-0.00045855
JU2519	-0.00072049
JU2522	-0.00021182
JU2526	-0.00038759
JU2534	-0.00072217
JU2565	-0.00032025
JU2566	-0.00068474
JU2578	-0.000715
JU258	-0.00068569
JU2587	-0.00015161
JU2593	-0.00043771
JU2600	-0.00044068
JU2800	-0.00061536
JU2862	-0.00146
JU2866	-0.001291
JU2878	-0.0010777
JU2879	-0.00098469
JU2906	-0.00155
JU310	-0.0004268
JU311	-0.00082348
JU3125	-0.00071433
JU3127	-0.00051535
JU3134	-0.00018072
JU3135	-0.00071732
JU3137	-0.0004916
JU3140	-0.0010893
JU323	-0.00036017
JU346	-0.00035935
JU360	-0.00088481
JU367	-8.898e-05
JU393	-0.00059561
JU394	-0.0003234
JU397	-0.0010182
JU406	-0.00043041
JU440	-0.00071451
JU561	-0.00044286
JU642	-0.00085517
JU751	-0.001081
JU774	-0.0011369
JU775	-0.00011455
JU778	-0.0011304
JU782	-0.00042843
JU792	-0.00093802
JU830	-0.00032993
JU847	-0.00077318
KR314	-0.00064948
LKC34	-0.00056192
LSJ1	-0.00037116
MY1	-0.00044477
MY10	-0.00031354
MY16	-0.00033159
MY18	-0.00051133
MY2212	-0.00027991
MY23	-0.00053682
MY2453	-0.00078903
MY2530	-0.00080793
MY2535	-0.0005849
MY2573	-0.00029695
MY2693	-0.00080303
MY2741	-0.00066468
MY679	-0.00061956
MY920	-0.00056177
N2	-9.6533e-05
NIC1	-0.00051483
NIC1107	-0.0010331
NIC166	-0.00041882
NIC195	-0.0010613
NIC199	-0.00073331
NIC2	-0.00061533
NIC207	-0.00049658
NIC231	-0.0007256
NIC236	-0.00095769
NIC242	-0.00070495
NIC251	-0.00056696
NIC252	-0.00053529
NIC255	-0.0001129
NIC256	-0.00031724
NIC258	-0.00030386
NIC259	-0.0003495
NIC260	-0.0011664
NIC261	-0.00067941
NIC262	-0.00055826
NIC265	-0.00012692
NIC266	-0.00027811
NIC267	-0.00021516
NIC268	-0.00044998
NIC269	-0.00093218
NIC271	-0.00058408
NIC272	-0.0010836
NIC274	9.6543e-05
NIC275	-0.00077427
NIC276	-0.0004513
NIC277	-0.00099592
NIC3	-0.00061015
NIC513	-0.00083459
NIC514	-0.00034018
NIC522	-0.00051082
NIC523	-0.0003792
PB303	-0.001476
PS2025	-0.00024746
PX179	-0.00043007
QG2075	-0.00036627
QG536	-0.0005613
QG556	-5.5224e-05
QG557	-0.00044722
QW947	-0.00079499
QX1212	-0.00059931
QX1233	3.4527e-05
QX1791	-0.00054449
QX1792	-0.00055938
QX1793	-0.00019616
QX1794	-0.00038593
RC301	-0.00035407
WN2001	0.00011082
WN2002	-0.00057643
WN2033	-0.00022654
XZ1513	-0.0012966
XZ1514	-3.0397e-05
XZ1516	-0.00061114
