strain	median
AB1	-0.0053562
BRC20067	-0.015899
CB4852	-0.01098
CB4854	-0.0095316
CB4856	-0.0089118
CB4932	-0.0091015
CX11254	-0.0089189
CX11262	-0.0050646
CX11264	-0.0034497
CX11271	-0.0080185
CX11276	-0.0027835
CX11285	-0.0045087
CX11292	-0.0089745
CX11307	-0.010173
CX11314	-0.0062447
CX11315	-0.0053446
DL200	-0.0056161
DL226	-0.0088057
DL238	-0.0096956
ECA246	-0.01141
ECA248	-0.016264
ECA250	-0.0042688
ECA251	-0.012217
ECA252	-0.0016181
ECA259	-0.015022
ECA348	0.00035684
ECA349	-0.0062911
ECA36	-0.020742
ECA363	-0.0031964
ECA372	-0.011213
ECA396	-0.0058082
ED3005	-0.0062262
ED3011	-0.015578
ED3012	-0.0067388
ED3017	-0.013418
ED3040	-0.01039
ED3046	-0.0053523
ED3048	-0.012551
ED3049	-0.0069279
ED3052	-0.010034
ED3073	-0.0087498
ED3077	-0.015308
EG4347	-0.0059528
EG4349	-0.0068929
EG4724	-0.0069281
EG4725	-0.0065903
EG4946	-0.011428
GXW1	-0.0074049
JT11398	-0.0063935
JU1088	-0.0081165
JU1172	-0.0081486
JU1200	-0.0064098
JU1212	-0.0091529
JU1213	-0.011602
JU1242	-0.013208
JU1246	-0.013834
JU1395	-0.0098747
JU1400	-0.00076416
JU1409	-0.0084265
JU1440	-0.0094249
JU1491	-0.0063111
JU1530	-0.0056151
JU1543	-0.0065877
JU1568	0.00044029
JU1580	-0.0069561
JU1581	-0.010351
JU1586	-0.0096253
JU1652	-0.007273
JU1793	-0.0058934
JU1808	-0.0068361
JU1896	-0.008105
JU2001	-0.0066921
JU2007	-0.008431
JU2131	-0.0046357
JU2141	-0.0061646
JU2234	-0.0031871
JU2464	-0.011426
JU2466	-0.0033296
JU2513	-0.010777
JU2519	-0.0089414
JU2522	-0.0051976
JU2526	-0.0082326
JU2534	-0.010361
JU2565	-0.0034839
JU2566	-0.0024273
JU2578	-0.017846
JU258	-0.0084421
JU2587	-0.0059896
JU2593	-0.010972
JU2600	-0.0046684
JU2800	-0.016336
JU2862	-0.01075
JU2866	-0.0093417
JU2878	-0.041461
JU2879	-0.0050902
JU2906	-0.00068501
JU310	-0.005436
JU311	-0.0069573
JU3125	-0.012206
JU3127	-0.008238
JU3134	-0.0088259
JU3135	-0.013775
JU3137	-0.0054925
JU3140	-0.0061803
JU323	-0.005743
JU346	-0.0049117
JU360	-0.0092778
JU367	-0.0069688
JU393	-0.0063779
JU394	-0.010651
JU397	-0.0056905
JU406	-0.005562
JU440	-0.0078046
JU561	-0.0054652
JU642	-0.0072734
JU751	-0.0040641
JU774	-0.010377
JU775	-0.0061221
JU778	-0.0091633
JU782	-0.0054868
JU792	-0.0086362
JU830	-0.0011796
JU847	-0.0056791
KR314	-0.0046406
LKC34	-0.010879
LSJ1	-0.0037795
MY1	-0.0098946
MY10	-0.0091548
MY16	-0.004553
MY18	-0.0085733
MY2212	-0.0081975
MY23	-0.0075138
MY2453	-0.0056862
MY2530	-0.013412
MY2535	-0.0067749
MY2573	-0.002875
MY2693	-0.0078814
MY2741	-0.010551
MY679	-0.0088858
MY920	-0.010482
N2	-0.00080192
NIC1	-0.0059617
NIC1107	-0.0096277
NIC166	-0.0077645
NIC195	-0.016695
NIC199	-0.009168
NIC2	-0.011208
NIC207	-0.0084606
NIC231	-0.011431
NIC236	-0.011979
NIC242	-0.0089641
NIC251	-0.006001
NIC252	-0.0035953
NIC255	-0.0028838
NIC256	-0.007948
NIC258	-0.007027
NIC259	-0.007194
NIC260	-0.011394
NIC261	-0.0096346
NIC262	-0.007289
NIC265	-0.0083134
NIC266	-0.008437
NIC267	-0.011242
NIC268	-0.010322
NIC269	-0.0025904
NIC271	-0.0038063
NIC272	-0.004688
NIC274	-0.0053775
NIC275	-0.0081409
NIC276	-0.010116
NIC277	-0.014384
NIC3	-0.0052821
NIC513	-0.016674
NIC514	-0.0068904
NIC522	-0.0081752
NIC523	-0.0032994
PB303	-0.0088653
PS2025	-0.0065869
PX179	-0.0091087
QG2075	-0.005741
QG536	-0.011004
QG556	-0.005147
QG557	-0.009494
QW947	-0.014503
QX1212	-0.0094448
QX1233	-0.0059289
QX1791	-0.0090344
QX1792	-0.011691
QX1793	-0.0054459
QX1794	-0.0056736
RC301	-0.0087337
WN2001	-0.0017314
WN2002	-0.0074895
WN2033	-0.0069831
XZ1513	-0.0091584
XZ1514	-0.00087292
XZ1516	-0.0061657
