strain	median
AB1	0.00054531
BRC20067	0.00063104
CB4852	-0.00027437
CB4854	0.00056722
CB4856	0.00027303
CB4932	0.0011817
CX11254	0.0002416
CX11262	0.00010879
CX11264	0.00032385
CX11271	0.00028052
CX11276	0.00045202
CX11285	0.0003303
CX11292	0.00065241
CX11307	0.00013728
CX11314	0.00040435
CX11315	-0.00011862
DL200	0.00061467
DL226	0.00054372
DL238	0.0003559
ECA246	0.00016165
ECA248	0.00038078
ECA250	0.00034657
ECA251	0.00044202
ECA252	0.0005609
ECA259	0.00017861
ECA348	-0.00026331
ECA349	0.00037059
ECA36	0.00016275
ECA363	0.00069255
ECA372	0.00045071
ECA396	0.0005607
ED3005	0.0016287
ED3011	0.0002169
ED3012	0.00042374
ED3017	0.00046936
ED3040	0.00093123
ED3046	0.0013815
ED3048	0.00047378
ED3049	0.00022554
ED3052	0.0002555
ED3073	0.00065134
ED3077	0.00076552
EG4347	0.00081886
EG4349	0.00073285
EG4724	0.00063764
EG4725	0.00063739
EG4946	0.00064882
GXW1	0.0008863
JT11398	0.00073076
JU1088	0.00041775
JU1172	4.8721e-05
JU1200	0.00041804
JU1212	0.00019471
JU1213	0.0005926
JU1242	0.00033027
JU1246	0.00041657
JU1395	0.00049546
JU1400	0.00040236
JU1409	2.2759e-05
JU1440	0.00070501
JU1491	0.00056081
JU1530	0.00034628
JU1543	0.0004774
JU1568	0.0016462
JU1580	0.00036509
JU1581	0.00017698
JU1586	0.0007199
JU1652	0.00018557
JU1793	0.00032334
JU1808	0.00060513
JU1896	0.00054282
JU2001	0.00019778
JU2007	0.00050686
JU2131	0.00068343
JU2141	0.00034004
JU2234	0.00011156
JU2464	0.001313
JU2466	0.00091017
JU2513	0.00049014
JU2519	0.00097388
JU2522	0.00075929
JU2526	0.00061295
JU2534	0.00045006
JU2565	0.00046569
JU2566	0.00023155
JU2578	0.00086137
JU258	0.00018671
JU2587	0.0013154
JU2593	0.00052322
JU2600	0.00033564
JU2800	0.00055417
JU2862	0.00029944
JU2866	0.00039721
JU2878	0.00059874
JU2879	0.00037745
JU2906	0.00011288
JU310	0.00053453
JU311	0.00026954
JU3125	0.00034939
JU3127	0.00049371
JU3134	0.0006329
JU3135	0.00066494
JU3137	0.00042883
JU3140	5.9255e-05
JU323	0.0004008
JU346	0.00056871
JU360	0.00034717
JU367	0.00064155
JU393	0.001114
JU394	0.0011698
JU397	0.00018595
JU406	8.8664e-05
JU440	-8.8597e-06
JU561	0.00068726
JU642	0.00051596
JU751	0.00023073
JU774	0.00015619
JU775	0.00059594
JU778	0.00061383
JU782	0.00033926
JU792	0.00037542
JU830	0.00095892
JU847	0.00050161
KR314	0.00060492
LKC34	0.00067442
LSJ1	0.00030519
MY1	0.00086622
MY10	0.00049953
MY16	0.00064805
MY18	0.00073628
MY2212	0.00031427
MY23	0.00032591
MY2453	0.00073107
MY2530	0.00065271
MY2535	0.00038197
MY2573	0.00031585
MY2693	0.00024309
MY2741	0.00048422
MY679	0.00034277
MY920	-0.00022462
N2	0.00043128
NIC1	0.0012013
NIC1107	1.3745e-05
NIC166	0.00040435
NIC195	9.3483e-05
NIC199	0.00016363
NIC2	0.00049941
NIC207	0.00033343
NIC231	0.00048354
NIC236	0.00048699
NIC242	0.00061183
NIC251	0.00061967
NIC252	0.00031271
NIC255	0.00071367
NIC256	0.00080357
NIC258	0.00064192
NIC259	0.00051985
NIC260	0.00013523
NIC261	2.3629e-05
NIC262	0.00018909
NIC265	0.00072965
NIC266	-4.3498e-05
NIC267	0.00079466
NIC268	0.00043103
NIC269	2.8687e-05
NIC271	0.00062154
NIC272	0.00088644
NIC274	0.00027623
NIC275	0.00041189
NIC276	0.00039764
NIC277	0.00039271
NIC3	0.00053159
NIC513	0.00043258
NIC514	0.00029315
NIC522	0.00048106
NIC523	0.00056965
PB303	0.00034353
PS2025	0.00020155
PX179	0.00028841
QG2075	0.00055635
QG536	0.0006898
QG556	0.00028788
QG557	0.00043822
QW947	0.00030519
QX1212	0.00038634
QX1233	0.00098921
QX1791	0.00022063
QX1792	0.00058683
QX1793	0.00027433
QX1794	0.00027731
RC301	0.00066201
WN2001	0.00070205
WN2002	0.00084159
WN2033	0.00051424
XZ1513	-3.0496e-06
XZ1514	-0.00015674
XZ1516	0.00040678
