strain	median
AB1	0.012248
BRC20067	0.040619
CB4852	0.04215
CB4854	0.039629
CB4856	0.024684
CB4932	0.020003
CX11254	0.021444
CX11262	0.019707
CX11264	0.0067337
CX11271	0.053339
CX11276	0.0051061
CX11285	0.014925
CX11292	0.052315
CX11307	0.072766
CX11314	0.021362
CX11315	0.028913
DL200	0.032352
DL226	0.05081
DL238	0.03929
ECA246	0.032818
ECA248	0.041848
ECA250	0.015445
ECA251	0.047137
ECA252	0.0056911
ECA259	0.050748
ECA348	0.01254
ECA349	0.01699
ECA36	0.072461
ECA363	0.017179
ECA372	0.062163
ECA396	0.019669
ED3005	0.024632
ED3011	0.049915
ED3012	0.028215
ED3017	0.053309
ED3040	0.040611
ED3046	0.040062
ED3048	0.063189
ED3049	0.03017
ED3052	0.034286
ED3073	0.044002
ED3077	0.061661
EG4347	0.034296
EG4349	0.026338
EG4724	0.037696
EG4725	0.018886
EG4946	0.033386
GXW1	0.018806
JT11398	0.032334
JU1088	0.037459
JU1172	0.024129
JU1200	0.024627
JU1212	0.041873
JU1213	0.031698
JU1242	0.057458
JU1246	0.015517
JU1395	0.026781
JU1400	0.010979
JU1409	0.029777
JU1440	0.029316
JU1491	0.038009
JU1530	0.028081
JU1543	0.0035491
JU1568	0.013699
JU1580	0.040927
JU1581	0.045007
JU1586	0.02278
JU1652	0.016943
JU1793	0.050703
JU1808	0.024408
JU1896	0.0080237
JU2001	0.014452
JU2007	0.035035
JU2131	0.025883
JU2141	0.016092
JU2234	0.0041496
JU2464	0.047321
JU2466	0.01795
JU2513	0.051039
JU2519	0.022819
JU2522	0.01304
JU2526	0.045883
JU2534	0.014766
JU2565	0.014115
JU2566	0.024375
JU2578	0.068727
JU258	0.036621
JU2587	0.035343
JU2593	0.029076
JU2600	0.026607
JU2800	0.056555
JU2862	0.033406
JU2866	0.033632
JU2878	0.13873
JU2879	0.021678
JU2906	0.015086
JU310	0.013987
JU311	0.025044
JU3125	0.035074
JU3127	0.024832
JU3134	0.026909
JU3135	0.042767
JU3137	0.038305
JU3140	0.010698
JU323	0.039651
JU346	0.021316
JU360	0.030026
JU367	0.017755
JU393	0.05956
JU394	0.026767
JU397	0.018487
JU406	0.015193
JU440	0.036336
JU561	0.03774
JU642	0.031274
JU751	0.021582
JU774	0.039261
JU775	0.021154
JU778	0.016597
JU782	0.015027
JU792	0.032646
JU830	0.0050416
JU847	0.014624
KR314	0.021086
LKC34	0.052463
LSJ1	0.02881
MY1	0.031856
MY10	0.032444
MY16	0.011718
MY18	0.022039
MY2212	0.056819
MY23	0.038903
MY2453	0.013567
MY2530	0.046232
MY2535	0.019533
MY2573	0.0081714
MY2693	0.040178
MY2741	0.022734
MY679	0.030378
MY920	0.038207
N2	0.0073491
NIC1	0.035917
NIC1107	0.022763
NIC166	0.022591
NIC195	0.066113
NIC199	0.030486
NIC2	0.067173
NIC207	0.045923
NIC231	0.076583
NIC236	0.029709
NIC242	0.034683
NIC251	0.026171
NIC252	0.010981
NIC255	0.011241
NIC256	0.023842
NIC258	0.026922
NIC259	0.035628
NIC260	0.032076
NIC261	0.035029
NIC262	0.042277
NIC265	0.030178
NIC266	0.020912
NIC267	0.066839
NIC268	0.023996
NIC269	0.027886
NIC271	0.02585
NIC272	0.051256
NIC274	0.0080649
NIC275	0.02237
NIC276	0.027539
NIC277	0.063521
NIC3	0.017788
NIC513	0.049262
NIC514	0.032739
NIC522	0.031828
NIC523	0.023821
PB303	0.027085
PS2025	0.026578
PX179	0.055082
QG2075	0.018376
QG536	0.056299
QG556	0.023228
QG557	0.037796
QW947	0.059839
QX1212	0.014819
QX1233	0.023879
QX1791	0.049808
QX1792	0.01568
QX1793	0.020363
QX1794	0.021228
RC301	0.032734
WN2001	0.012573
WN2002	0.027914
WN2033	0.022505
XZ1513	0.016302
XZ1514	0.0010681
XZ1516	0.015431
