strain	median
AB1	0.00087311
BRC20067	-0.002045
CB4852	-0.0044902
CB4854	-0.0020107
CB4856	-0.0014098
CB4932	-0.0020916
CX11254	-0.0019817
CX11262	-0.000499
CX11264	-0.00062765
CX11271	-0.0010572
CX11276	-0.0012707
CX11285	-0.0010927
CX11292	-0.00044838
CX11307	-0.0024312
CX11314	-0.0015554
CX11315	-0.0017159
DL200	-0.0019325
DL226	-0.0018333
DL238	-0.0023413
ECA246	-0.004972
ECA248	-0.0027557
ECA250	-0.0012997
ECA251	-0.0018739
ECA252	-0.00091554
ECA259	-0.0019786
ECA348	-0.0016514
ECA349	-0.0015722
ECA36	-0.0037524
ECA363	-0.0012839
ECA372	-0.0025099
ECA396	-0.0027423
ED3005	-0.0015757
ED3011	-0.0036067
ED3012	-0.0010145
ED3017	-0.0030504
ED3040	-0.0015755
ED3046	-0.00097299
ED3048	-0.0022634
ED3049	-0.00037401
ED3052	-0.0025014
ED3073	-0.00086861
ED3077	-0.0013912
EG4347	-0.001915
EG4349	-0.0017331
EG4724	-0.001629
EG4725	-0.00078744
EG4946	-0.0023772
GXW1	-0.0016512
JT11398	-0.00085316
JU1088	-0.0018008
JU1172	-0.0010523
JU1200	-0.0017203
JU1212	-0.0011903
JU1213	-0.0018992
JU1242	-0.0013135
JU1246	-0.0010338
JU1395	-0.0015423
JU1400	-0.0004008
JU1409	-0.0015956
JU1440	-0.0013077
JU1491	-0.0020974
JU1530	-0.0011885
JU1543	-0.0018483
JU1568	0.0007113
JU1580	-0.0011528
JU1581	-0.0022286
JU1586	-0.0017127
JU1652	-0.0018172
JU1793	-0.001785
JU1808	-0.0015396
JU1896	-0.0018616
JU2001	-0.0024773
JU2007	-0.0020823
JU2131	-0.0016655
JU2141	-0.0023168
JU2234	-0.0020088
JU2464	-0.002302
JU2466	-0.00074236
JU2513	-0.0014367
JU2519	-0.0018167
JU2522	-0.00071554
JU2526	-0.0016358
JU2534	-0.0020645
JU2565	-0.0012483
JU2566	-0.0024839
JU2578	-0.002287
JU258	-0.0015104
JU2587	-0.0015737
JU2593	-0.0010163
JU2600	-0.0014695
JU2800	-0.00219
JU2862	-0.0030767
JU2866	-0.0045234
JU2878	-0.0022585
JU2879	-0.0028322
JU2906	0.0010458
JU310	-0.0003236
JU311	-0.0021423
JU3125	-0.002936
JU3127	-0.0013911
JU3134	-0.00045987
JU3135	-0.0021895
JU3137	-0.0014954
JU3140	-0.0011254
JU323	-0.00043044
JU346	-0.0010926
JU360	-0.003175
JU367	-0.0017633
JU393	-0.002738
JU394	-0.0012733
JU397	-0.0015417
JU406	-0.0020247
JU440	-0.0018324
JU561	-0.0015328
JU642	-0.0023937
JU751	-0.00054457
JU774	-0.0030855
JU775	-0.0018091
JU778	-0.0015408
JU782	-0.0013743
JU792	-0.005112
JU830	-0.0022416
JU847	-0.002487
KR314	-0.0036962
LKC34	-0.0022108
LSJ1	-0.0014073
MY1	-0.00068946
MY10	-0.0012661
MY16	-0.0013786
MY18	-0.0019261
MY2212	-0.00093031
MY23	-0.0019603
MY2453	-0.0021181
MY2530	-0.0015776
MY2535	-0.0015785
MY2573	-0.0009479
MY2693	-0.0013529
MY2741	-0.001792
MY679	-0.0012558
MY920	-0.001623
N2	-0.00010935
NIC1	-0.0013033
NIC1107	-0.0034808
NIC166	-0.0014092
NIC195	-0.0031124
NIC199	-0.00176
NIC2	-0.0022851
NIC207	-0.0021004
NIC231	-0.0013564
NIC236	-0.0022865
NIC242	-0.001824
NIC251	-0.0017311
NIC252	-0.00068503
NIC255	-0.00080186
NIC256	-0.00090838
NIC258	-0.0012991
NIC259	-0.0011598
NIC260	-0.0024897
NIC261	-0.0016657
NIC262	-0.0019098
NIC265	-0.00076818
NIC266	-0.001478
NIC267	-0.00090139
NIC268	-0.0013998
NIC269	-0.001803
NIC271	-0.0021745
NIC272	-0.0019582
NIC274	-0.0013297
NIC275	-0.0017254
NIC276	-0.0013699
NIC277	-0.0027794
NIC3	-0.00087381
NIC513	-0.0027876
NIC514	-0.00078354
NIC522	-0.0015139
NIC523	-0.00082066
PB303	-0.0035483
PS2025	-0.0013038
PX179	-0.002074
QG2075	-0.0012712
QG536	-0.0018052
QG556	-0.00069624
QG557	-0.0017756
QW947	-0.0026041
QX1212	-0.0022282
QX1233	-0.00058145
QX1791	-0.0023626
QX1792	-0.0017564
QX1793	-0.002139
QX1794	-0.0017739
RC301	-0.0010266
WN2001	-0.00060247
WN2002	-0.0034325
WN2033	-0.0020437
XZ1513	-0.0045025
XZ1514	-0.00015718
XZ1516	-0.0015311
