strain	median
AB1	0.00020395
BRC20067	0.00024915
CB4852	-0.00017532
CB4854	0.00018655
CB4856	0.00011886
CB4932	0.00051056
CX11254	-7.8672e-05
CX11262	5.7945e-05
CX11264	0.00010424
CX11271	0.000139
CX11276	0.00019687
CX11285	0.00020973
CX11292	0.00026441
CX11307	5.4124e-05
CX11314	0.00013957
CX11315	7.2842e-05
DL200	0.00031496
DL226	0.0001494
DL238	9.5021e-05
ECA246	0.0001178
ECA248	4.411e-05
ECA250	0.00014841
ECA251	0.00023211
ECA252	0.00023409
ECA259	9.4325e-05
ECA348	-5.2004e-05
ECA349	0.00010707
ECA36	0.00014372
ECA363	0.00018506
ECA372	0.00020361
ECA396	0.00019906
ED3005	0.00051909
ED3011	7.1558e-05
ED3012	0.00015337
ED3017	0.00017899
ED3040	0.00038866
ED3046	0.0004391
ED3048	0.00021189
ED3049	0.00011622
ED3052	0.00013545
ED3073	0.00022937
ED3077	0.00049974
EG4347	0.00042239
EG4349	0.00025615
EG4724	0.00030326
EG4725	0.00015579
EG4946	0.00018249
GXW1	0.00054289
JT11398	0.00026984
JU1088	0.00014486
JU1172	5.4082e-05
JU1200	0.00010698
JU1212	0.00020747
JU1213	0.00020957
JU1242	0.00016948
JU1246	0.00016642
JU1395	0.00017134
JU1400	0.00011002
JU1409	4.8798e-05
JU1440	0.00036337
JU1491	0.00026913
JU1530	0.00012081
JU1543	0.00022803
JU1568	0.00072936
JU1580	0.00021248
JU1581	9.8426e-05
JU1586	0.00023344
JU1652	8.9122e-05
JU1793	4.8521e-05
JU1808	0.00010131
JU1896	0.00019696
JU2001	0.00020934
JU2007	0.00024522
JU2131	0.00038892
JU2141	2.0696e-06
JU2234	5.5604e-06
JU2464	0.00054693
JU2466	0.00045881
JU2513	0.00015986
JU2519	0.00042313
JU2522	0.00022343
JU2526	0.00035209
JU2534	0.00019844
JU2565	0.00018177
JU2566	4.3657e-05
JU2578	0.00014146
JU258	8.5026e-05
JU2587	0.00068907
JU2593	0.00012202
JU2600	0.00010997
JU2800	0.00016184
JU2862	0.00018575
JU2866	3.1078e-05
JU2878	0.00028328
JU2879	0.00015624
JU2906	9.4724e-05
JU310	0.00026132
JU311	5.3825e-05
JU3125	6.7893e-05
JU3127	0.00010964
JU3134	0.00036668
JU3135	0.00029016
JU3137	0.00023144
JU3140	0.00010791
JU323	0.00010407
JU346	0.00015407
JU360	6.5053e-05
JU367	0.00017763
JU393	0.00047579
JU394	0.0004416
JU397	4.3729e-05
JU406	3.9897e-05
JU440	2.4651e-05
JU561	0.00024602
JU642	0.00014654
JU751	0.00017321
JU774	-7.4722e-06
JU775	0.00021473
JU778	0.00017997
JU782	0.0003283
JU792	0.00016187
JU830	0.00055074
JU847	0.00017733
KR314	0.0003486
LKC34	0.00031272
LSJ1	9.5346e-05
MY1	0.00030667
MY10	0.00018928
MY16	0.00028784
MY18	0.00017993
MY2212	0.00016318
MY23	0.00012938
MY2453	2.6507e-05
MY2530	0.00029277
MY2535	8.2101e-05
MY2573	0.00012679
MY2693	0.0001359
MY2741	0.00016613
MY679	6.5425e-05
MY920	-0.00010473
N2	0.00029115
NIC1	0.00057087
NIC1107	4.0834e-05
NIC166	9.9095e-05
NIC195	0.00014837
NIC199	9.0494e-05
NIC2	0.00019457
NIC207	4.8278e-05
NIC231	0.00020586
NIC236	0.00018758
NIC242	0.00023798
NIC251	0.0003246
NIC252	7.3598e-05
NIC255	0.00036334
NIC256	0.00036148
NIC258	0.00021633
NIC259	0.00021585
NIC260	2.2513e-05
NIC261	0.00011876
NIC262	5.557e-05
NIC265	0.0004476
NIC266	3.9475e-05
NIC267	0.00034549
NIC268	0.00018561
NIC269	8.9703e-05
NIC271	0.00023068
NIC272	0.00044172
NIC274	9.218e-05
NIC275	0.0001693
NIC276	0.00014102
NIC277	0.00018678
NIC3	0.00023457
NIC513	0.00022987
NIC514	0.00010522
NIC522	0.00020862
NIC523	0.00019106
PB303	3.3182e-05
PS2025	8.5842e-05
PX179	0.00014383
QG2075	0.00025635
QG536	0.00020287
QG556	9.9213e-05
QG557	0.00018621
QW947	0.00016643
QX1212	0.00012293
QX1233	0.00031587
QX1791	0.00013726
QX1792	0.00017892
QX1793	0.00016197
QX1794	0.00013785
RC301	0.00027588
WN2001	0.00024614
WN2002	0.00019854
WN2033	0.00028264
XZ1513	-9.5966e-05
XZ1514	2.2074e-05
XZ1516	0.00014212
