strain	median
AB1	-0.00011758
BRC20067	-6.63e-05
CB4852	-7.0394e-05
CB4854	-0.00014836
CB4856	-0.00012781
CB4932	-4.1855e-05
CX11254	-0.00013085
CX11262	-6.7306e-05
CX11264	-0.00019959
CX11271	-0.00011732
CX11276	-9.7848e-05
CX11285	-0.0001676
CX11292	-0.00010113
CX11307	-0.00017031
CX11314	-9.8914e-05
CX11315	-0.00015929
DL200	-0.00018879
DL226	-9.5733e-05
DL238	-9.9977e-05
ECA246	-0.00015553
ECA248	-0.00013522
ECA250	-0.00017057
ECA251	-7.6714e-05
ECA252	-0.00048913
ECA259	-7.4238e-05
ECA348	-0.00034355
ECA349	-0.00010478
ECA36	-0.0001389
ECA363	-0.00013532
ECA372	-0.00012162
ECA396	-0.00011163
ED3005	-8.1759e-05
ED3011	-0.00011619
ED3012	-0.00012229
ED3017	-7.4275e-05
ED3040	-2.8734e-05
ED3046	-9.5698e-05
ED3048	-4.1838e-05
ED3049	-6.217e-05
ED3052	-7.3071e-05
ED3073	-0.00015477
ED3077	-0.00013426
EG4347	-0.00013383
EG4349	-3.0697e-05
EG4724	-0.00010286
EG4725	-8.6085e-05
EG4946	-7.9259e-05
GXW1	-0.00010768
JT11398	-7.0281e-05
JU1088	-2.6021e-05
JU1172	-0.00010597
JU1200	-0.00011378
JU1212	-0.00012882
JU1213	-9.7314e-05
JU1242	-0.00010474
JU1246	-8.078e-05
JU1395	-0.0001158
JU1400	-0.00011877
JU1409	-8.666e-05
JU1440	-0.00013199
JU1491	-0.0001056
JU1530	-6.5194e-05
JU1543	-0.0001334
JU1568	-7.9574e-05
JU1580	-0.00010107
JU1581	-0.00012749
JU1586	-0.00014768
JU1652	-0.00021886
JU1793	-0.00015511
JU1808	-0.00010039
JU1896	-0.00015764
JU2001	-0.00011634
JU2007	-8.7261e-05
JU2131	-0.00013701
JU2141	-0.00014437
JU2234	-0.00015181
JU2464	-0.00012736
JU2466	-8.7186e-05
JU2513	-9.9158e-05
JU2519	-0.00013099
JU2522	-0.00012336
JU2526	-0.0001182
JU2534	-0.00010281
JU2565	-0.00012995
JU2566	-0.00012339
JU2578	-8.7767e-05
JU258	-0.00010775
JU2587	-6.5923e-05
JU2593	-0.00010383
JU2600	-9.9069e-05
JU2800	-6.6791e-05
JU2862	-0.00012028
JU2866	-0.00020482
JU2878	-0.00017631
JU2879	-0.00015969
JU2906	-0.00010741
JU310	-9.4804e-05
JU311	-0.00010429
JU3125	-0.0001323
JU3127	-0.0001074
JU3134	-7.8366e-05
JU3135	-0.00011685
JU3137	-0.0001183
JU3140	-8.1221e-05
JU323	-0.00015565
JU346	-8.448e-05
JU360	-0.00016151
JU367	-0.00011443
JU393	-0.00012837
JU394	-8.042e-05
JU397	-0.00012428
JU406	-9.7049e-05
JU440	-0.00016369
JU561	-0.00010362
JU642	-0.00014543
JU751	-0.00011191
JU774	-8.9897e-05
JU775	-8.091e-05
JU778	-0.00010348
JU782	-0.00014846
JU792	-7.7703e-05
JU830	-4.4711e-05
JU847	-0.00011406
KR314	-0.00011545
LKC34	-7.9658e-05
LSJ1	-0.00019416
MY1	-0.00015488
MY10	-0.00012131
MY16	-0.00012737
MY18	-0.00016642
MY2212	-7.4729e-05
MY23	-0.00010773
MY2453	-7.916e-05
MY2530	-0.00010906
MY2535	-7.3417e-05
MY2573	-9.189e-05
MY2693	-6.8399e-05
MY2741	-8.1793e-05
MY679	-0.00011509
MY920	-9.7661e-05
N2	-0.00031956
NIC1	-0.00010167
NIC1107	-0.00012987
NIC166	-6.6942e-05
NIC195	-2.6578e-06
NIC199	-0.00015375
NIC2	-0.00011023
NIC207	-6.6744e-05
NIC231	-0.00021195
NIC236	-8.3516e-05
NIC242	-0.00010476
NIC251	-0.0001354
NIC252	-7.1601e-05
NIC255	-0.00013188
NIC256	-0.00014315
NIC258	-0.00020322
NIC259	-0.00012017
NIC260	-8.4298e-05
NIC261	-6.6065e-05
NIC262	-0.00016092
NIC265	-0.00013124
NIC266	-7.9969e-05
NIC267	-0.00012972
NIC268	-0.00012819
NIC269	-0.00014357
NIC271	-0.00010237
NIC272	-0.00010659
NIC274	-0.00014547
NIC275	-9.3402e-05
NIC276	-9.9438e-05
NIC277	-0.00013752
NIC3	-0.00017778
NIC513	-0.00014911
NIC514	-0.00013429
NIC522	-5.5238e-05
NIC523	-0.0001062
PB303	-0.00011516
PS2025	-0.00010906
PX179	-0.00012342
QG2075	-0.00012788
QG536	-0.00014523
QG556	-0.00018578
QG557	-0.00013833
QW947	-8.2437e-05
QX1212	-0.00011477
QX1233	-0.00015959
QX1791	-0.00010977
QX1792	-8.9282e-05
QX1793	-8.3604e-05
QX1794	-8.4013e-05
RC301	-0.00015562
WN2001	-8.7744e-05
WN2002	-0.00012659
WN2033	-8.1798e-05
XZ1513	-0.00012284
XZ1514	-9.8489e-05
XZ1516	-0.0001233
