strain	median
AB1	2439
BRC20067	1494
CB4852	2182
CB4854	4118
CB4856	3267
CB4932	715
CX11254	5014
CX11262	3268
CX11264	4718
CX11271	3856
CX11276	2120
CX11285	3646
CX11292	1981
CX11307	3845
CX11314	2317
CX11315	5396
DL200	2445
DL226	3077
DL238	2459
ECA246	4661.5
ECA248	3141
ECA250	1664
ECA251	1795
ECA252	2116
ECA259	3875
ECA348	5632
ECA349	3921
ECA36	3375
ECA363	4443
ECA372	3002.5
ECA396	3252
ED3005	2585
ED3011	3662
ED3012	3309
ED3017	2074
ED3040	1149.5
ED3046	1737
ED3048	1626
ED3049	3092
ED3052	2266
ED3073	3547
ED3077	1952
EG4347	3124
EG4349	1353
EG4724	2767
EG4725	3207.5
EG4946	2062
GXW1	2944
JT11398	1558
JU1088	1848
JU1172	3273
JU1200	3608
JU1212	3349
JU1213	2158
JU1242	2899
JU1246	2858
JU1395	3221
JU1400	3646
JU1409	2072
JU1440	1947
JU1491	2664
JU1530	3305
JU1543	2858
JU1568	2000
JU1580	3852
JU1581	1970
JU1586	3359
JU1652	3749
JU1793	3881.5
JU1808	2363
JU1896	4138
JU2001	3289
JU2007	1509
JU2131	3414
JU2141	5062
JU2234	4214
JU2464	3225
JU2466	3204
JU2513	2700
JU2519	2402
JU2522	3578
JU2526	2713
JU2534	3866
JU2565	4470
JU2566	4974
JU2578	2146
JU258	2663.5
JU2587	1938
JU2593	2506
JU2600	2623
JU2800	2360
JU2862	2743
JU2866	5079
JU2878	2570
JU2879	2582
JU2906	4222
JU310	2386
JU311	2677.5
JU3125	3379
JU3127	4809
JU3134	2831
JU3135	2177
JU3137	3496
JU3140	3812
JU323	3133
JU346	3066
JU360	3054
JU367	2007
JU393	1654
JU394	2065
JU397	4012
JU406	2252
JU440	3590
JU561	2151
JU642	3849
JU751	1707
JU774	3280
JU775	2307.5
JU778	1373
JU782	2640
JU792	2122
JU830	782
JU847	3818
KR314	3104
LKC34	2097
LSJ1	4591
MY1	3533
MY10	3070
MY16	2514
MY18	1743
MY2212	3821
MY23	1741.5
MY2453	2221
MY2530	3629
MY2535	2947
MY2573	3272
MY2693	2268
MY2741	2919
MY679	5153
MY920	5462
N2	2103.5
NIC1	1271
NIC1107	3643
NIC166	2733
NIC195	1787
NIC199	2951
NIC2	2936
NIC207	1321
NIC231	3423
NIC236	2778
NIC242	2945
NIC251	1846
NIC252	2720.5
NIC255	1716
NIC256	2447
NIC258	3397
NIC259	2091
NIC260	2221
NIC261	3071
NIC262	2503
NIC265	2533
NIC266	3779
NIC267	3321.5
NIC268	2342
NIC269	3139
NIC271	2675
NIC272	2691
NIC274	3300
NIC275	3210
NIC276	2766
NIC277	2339.5
NIC3	4270
NIC513	3644
NIC514	3737
NIC522	2078.5
NIC523	3458
PB303	2351
PS2025	3882
PX179	4664
QG2075	3189
QG536	1972
QG556	5950
QG557	4261
QW947	2149
QX1212	3579
QX1233	3555
QX1791	4123
QX1792	2065
QX1793	2863
QX1794	2164
RC301	2779
WN2001	1662
WN2002	2427
WN2033	3298
XZ1513	2966
XZ1514	4896
XZ1516	2989
