strain	median
AB1	-0.00011267
BRC20067	-6.423e-05
CB4852	-6.0824e-05
CB4854	-0.00015702
CB4856	-0.00012407
CB4932	-5.4613e-05
CX11254	-0.00012929
CX11262	-6.4397e-05
CX11264	-0.00017125
CX11271	-0.0001377
CX11276	-9.4676e-05
CX11285	-0.00016252
CX11292	-9.7165e-05
CX11307	-0.00016195
CX11314	-0.00011381
CX11315	-0.00015443
DL200	-0.00015405
DL226	-9.1431e-05
DL238	-8.8113e-05
ECA246	-0.00014124
ECA248	-0.00012295
ECA250	-0.00018163
ECA251	-8.8057e-05
ECA252	-0.00038533
ECA259	-7.3499e-05
ECA348	-0.00028306
ECA349	-0.00010363
ECA36	-0.0001419
ECA363	-0.00012965
ECA372	-9.854e-05
ECA396	-0.00011721
ED3005	-8.5762e-05
ED3011	-0.00012422
ED3012	-0.00013564
ED3017	-8.0667e-05
ED3040	-2.734e-05
ED3046	-9.0281e-05
ED3048	-4.5922e-05
ED3049	-5.1343e-05
ED3052	-8.8254e-05
ED3073	-0.00014498
ED3077	-0.00013138
EG4347	-0.00012441
EG4349	-3.3384e-05
EG4724	-0.00011191
EG4725	-9.1233e-05
EG4946	-8.4293e-05
GXW1	-9.6692e-05
JT11398	-7.7658e-05
JU1088	-3.6298e-05
JU1172	-0.00010777
JU1200	-0.00011837
JU1212	-0.0001433
JU1213	-9.8013e-05
JU1242	-0.00010112
JU1246	-7.5226e-05
JU1395	-0.00010576
JU1400	-0.00011462
JU1409	-9.0326e-05
JU1440	-0.00011569
JU1491	-0.00010399
JU1530	-7.0012e-05
JU1543	-0.00012557
JU1568	-8.5768e-05
JU1580	-9.1224e-05
JU1581	-0.00013525
JU1586	-0.00015545
JU1652	-0.00018544
JU1793	-0.00012044
JU1808	-8.8091e-05
JU1896	-0.00016279
JU2001	-0.00012688
JU2007	-9.3756e-05
JU2131	-0.00011956
JU2141	-0.00013519
JU2234	-0.00012905
JU2464	-0.00012538
JU2466	-8.2294e-05
JU2513	-0.00010544
JU2519	-0.00012126
JU2522	-0.00012614
JU2526	-0.00011629
JU2534	-9.694e-05
JU2565	-0.00011682
JU2566	-0.00012735
JU2578	-9.6677e-05
JU258	-0.00011525
JU2587	-6.1919e-05
JU2593	-9.3757e-05
JU2600	-8.8745e-05
JU2800	-7.2108e-05
JU2862	-0.00011996
JU2866	-0.00018326
JU2878	-0.00019288
JU2879	-0.00015384
JU2906	-0.00011182
JU310	-8.6259e-05
JU311	-0.0001148
JU3125	-0.00011437
JU3127	-0.0001055
JU3134	-7.2888e-05
JU3135	-0.000108
JU3137	-0.00010487
JU3140	-7.1952e-05
JU323	-0.00015314
JU346	-9.6231e-05
JU360	-0.00015922
JU367	-0.00010945
JU393	-0.00012843
JU394	-9.1837e-05
JU397	-0.00011767
JU406	-9.6301e-05
JU440	-0.00016986
JU561	-0.00010362
JU642	-0.00014552
JU751	-0.00010163
JU774	-9.737e-05
JU775	-8.451e-05
JU778	-0.00010079
JU782	-0.0001273
JU792	-9.2125e-05
JU830	-4.8857e-05
JU847	-0.00012019
KR314	-0.00012764
LKC34	-7.8194e-05
LSJ1	-0.00020433
MY1	-0.00013948
MY10	-0.0001043
MY16	-0.00012847
MY18	-0.00017217
MY2212	-7.5245e-05
MY23	-0.00010443
MY2453	-8.3804e-05
MY2530	-9.2805e-05
MY2535	-6.3914e-05
MY2573	-8.8675e-05
MY2693	-7.2284e-05
MY2741	-9.0822e-05
MY679	-0.00011607
MY920	-9.1337e-05
N2	-0.00030355
NIC1	-0.00010082
NIC1107	-0.00010861
NIC166	-7.5909e-05
NIC195	8.9064e-06
NIC199	-0.00015326
NIC2	-0.00012488
NIC207	-6.2151e-05
NIC231	-0.00018891
NIC236	-8.5357e-05
NIC242	-0.0001219
NIC251	-0.0001341
NIC252	-7.1475e-05
NIC255	-0.0001165
NIC256	-0.00014782
NIC258	-0.00019977
NIC259	-0.0001262
NIC260	-0.00010225
NIC261	-5.5301e-05
NIC262	-0.00013128
NIC265	-0.0001163
NIC266	-7.7804e-05
NIC267	-0.00011762
NIC268	-0.00012616
NIC269	-0.00014007
NIC271	-0.00010384
NIC272	-0.00010532
NIC274	-0.00014256
NIC275	-8.4454e-05
NIC276	-9.6635e-05
NIC277	-0.00014757
NIC3	-0.00017414
NIC513	-0.00013969
NIC514	-0.00012162
NIC522	-6.0842e-05
NIC523	-0.00012217
PB303	-0.00010163
PS2025	-9.6702e-05
PX179	-0.00011516
QG2075	-0.00011384
QG536	-0.00015317
QG556	-0.00015369
QG557	-0.00013183
QW947	-8.1428e-05
QX1212	-0.00011395
QX1233	-0.00014634
QX1791	-0.00011124
QX1792	-8.7856e-05
QX1793	-7.7125e-05
QX1794	-7.3464e-05
RC301	-0.0001588
WN2001	-7.9991e-05
WN2002	-0.00013807
WN2033	-7.1651e-05
XZ1513	-0.00010332
XZ1514	-8.8219e-05
XZ1516	-0.00011928
