strain	median
AB1	-7.5601e-05
BRC20067	-6.405e-05
CB4852	-4.6079e-05
CB4854	-0.00011118
CB4856	-8.912e-05
CB4932	-5.0977e-05
CX11254	-0.0001339
CX11262	-5.3997e-05
CX11264	-0.00012291
CX11271	-9.2588e-05
CX11276	-7.1325e-05
CX11285	-9.3591e-05
CX11292	-7.7496e-05
CX11307	-0.00012834
CX11314	-7.584e-05
CX11315	-0.00011459
DL200	-0.00010987
DL226	-7.2829e-05
DL238	-8.1231e-05
ECA246	-6.408e-05
ECA248	-0.00010203
ECA250	-0.00010484
ECA251	-7.2646e-05
ECA252	-0.00030019
ECA259	-5.174e-05
ECA348	-0.00019559
ECA349	-8.4549e-05
ECA36	-8.7096e-05
ECA363	-0.00010989
ECA372	-9.9996e-05
ECA396	-6.8187e-05
ED3005	-6.9754e-05
ED3011	-8.0939e-05
ED3012	-0.00011019
ED3017	-7.3363e-05
ED3040	-3.0213e-05
ED3046	-7.2857e-05
ED3048	-4.6094e-05
ED3049	-3.6865e-05
ED3052	-7.3543e-05
ED3073	-0.00011197
ED3077	-0.00010362
EG4347	-8.2466e-05
EG4349	-2.5437e-05
EG4724	-8.0113e-05
EG4725	-8.4774e-05
EG4946	-6.4724e-05
GXW1	-7.4667e-05
JT11398	-4.4519e-05
JU1088	-2.6586e-05
JU1172	-5.8551e-05
JU1200	-8.9267e-05
JU1212	-0.00010393
JU1213	-3.6847e-05
JU1242	-8.9941e-05
JU1246	-6.9705e-05
JU1395	-9.163e-05
JU1400	-8.2831e-05
JU1409	-3.4601e-05
JU1440	-0.00010028
JU1491	-7.8554e-05
JU1530	-4.0442e-05
JU1543	-0.00011965
JU1568	-6.9601e-05
JU1580	-7.2051e-05
JU1581	-9.3131e-05
JU1586	-8.9386e-05
JU1652	-0.00017086
JU1793	-0.00010212
JU1808	-7.9458e-05
JU1896	-0.00014616
JU2001	-8.4945e-05
JU2007	-5.6529e-05
JU2131	-7.4234e-05
JU2141	-8.6343e-05
JU2234	-7.9896e-05
JU2464	-8.0527e-05
JU2466	-7.6545e-05
JU2513	-6.4928e-05
JU2519	-9.9128e-05
JU2522	-9.2703e-05
JU2526	-8.6013e-05
JU2534	-7.6412e-05
JU2565	-9.4471e-05
JU2566	-7.5323e-05
JU2578	-8.7089e-05
JU258	-7.114e-05
JU2587	-6.8401e-05
JU2593	-8.3174e-05
JU2600	-8.0762e-05
JU2800	-7.1944e-05
JU2862	-7.5407e-05
JU2866	-0.00013137
JU2878	-0.00012234
JU2879	-0.00011839
JU2906	-9.1116e-05
JU310	-6.9011e-05
JU311	-4.918e-05
JU3125	-8.9502e-05
JU3127	-8.9702e-05
JU3134	-5.4152e-05
JU3135	-8.4198e-05
JU3137	-8.3966e-05
JU3140	-6.563e-05
JU323	-0.00010363
JU346	-4.8784e-05
JU360	-0.00012661
JU367	-6.261e-05
JU393	-0.00010631
JU394	-8.1847e-05
JU397	-5.9124e-05
JU406	-5.9389e-05
JU440	-8.7995e-05
JU561	-0.00010722
JU642	-0.00010243
JU751	-4.6147e-05
JU774	-5.8538e-05
JU775	-6.3482e-05
JU778	-6.4277e-05
JU782	-0.00013493
JU792	-6.1435e-05
JU830	-5.6612e-05
JU847	-7.67e-05
KR314	-9.5e-05
LKC34	-6.1088e-05
LSJ1	-0.00015686
MY1	-9.1229e-05
MY10	-0.00010873
MY16	-9.8342e-05
MY18	-0.00012777
MY2212	-6.2155e-05
MY23	-8.5006e-05
MY2453	-4.2106e-05
MY2530	-7.8889e-05
MY2535	-5.3447e-05
MY2573	-8.3345e-05
MY2693	-5.4054e-05
MY2741	-7.3346e-05
MY679	-0.00010022
MY920	-8.7865e-05
N2	-0.00025937
NIC1	-8.2287e-05
NIC1107	-9.8085e-05
NIC166	-5.3451e-05
NIC195	5.7219e-06
NIC199	-0.00011652
NIC2	-8.1486e-05
NIC207	-4.5893e-05
NIC231	-0.00016577
NIC236	-5.8206e-05
NIC242	-8.8031e-05
NIC251	-8.8603e-05
NIC252	-5.3849e-05
NIC255	-7.9434e-05
NIC256	-0.00010468
NIC258	-0.00016665
NIC259	-8.0615e-05
NIC260	-5.3489e-05
NIC261	-4.6696e-05
NIC262	-0.00010667
NIC265	-9.4824e-05
NIC266	-7.4696e-05
NIC267	-0.00011597
NIC268	-0.00010996
NIC269	-7.6777e-05
NIC271	-9.2211e-05
NIC272	-7.3231e-05
NIC274	-7.9753e-05
NIC275	-8.1983e-05
NIC276	-7.8315e-05
NIC277	-8.0509e-05
NIC3	-0.00013782
NIC513	-9.3759e-05
NIC514	-8.1716e-05
NIC522	-4.5406e-05
NIC523	-8.8738e-05
PB303	-5.1402e-05
PS2025	-6.9288e-05
PX179	-8.926e-05
QG2075	-8.7348e-05
QG536	-0.00011489
QG556	-0.00012831
QG557	-7.6891e-05
QW947	-7.6424e-05
QX1212	-8.0472e-05
QX1233	-0.00013192
QX1791	-8.6655e-05
QX1792	-5.0797e-05
QX1793	-6.6469e-05
QX1794	-5.6513e-05
RC301	-0.00011357
WN2001	-7.0342e-05
WN2002	-7.8218e-05
WN2033	-7.063e-05
XZ1513	-6.8759e-05
XZ1514	-5.0107e-05
XZ1516	-0.00011479
