strain	median
AB1	132250000
BRC20067	83937500
CB4852	120125000
CB4854	167125000
CB4856	144656250
CB4932	51500000
CX11254	233000000
CX11262	134250000
CX11264	151312500
CX11271	118437500
CX11276	104187500
CX11285	139968750
CX11292	90750000
CX11307	168187500
CX11314	100750000
CX11315	197187500
DL200	135437500
DL226	162187500
DL238	107625000
ECA246	103031250
ECA248	166125000
ECA250	124937500
ECA251	85250000
ECA252	122000000
ECA259	177750000
ECA348	243000000
ECA349	150000000
ECA36	128000000
ECA363	169500000
ECA372	179968750
ECA396	114687500
ED3005	130000000
ED3011	150500000
ED3012	117875000
ED3017	92875000
ED3040	59500000
ED3046	91937500
ED3048	70531250
ED3049	104000000
ED3052	129562500
ED3073	142062500
ED3077	75937500
EG4347	118625000
EG4349	78625000
EG4724	120000000
EG4725	134062500
EG4946	115500000
GXW1	126250000
JT11398	63343750
JU1088	74937500
JU1172	139812500
JU1200	117812500
JU1212	160000000
JU1213	81437500
JU1242	129312500
JU1246	144125000
JU1395	160000000
JU1400	160750000
JU1409	114437500
JU1440	93000000
JU1491	122000000
JU1530	154187500
JU1543	152062500
JU1568	71500000
JU1580	130500000
JU1581	98187500
JU1586	130437500
JU1652	202937500
JU1793	178812500
JU1808	132687500
JU1896	159625000
JU2001	116125000
JU2007	87500000
JU2131	153562500
JU2141	203500000
JU2234	185875000
JU2464	128937500
JU2466	111875000
JU2513	121375000
JU2519	98125000
JU2522	162875000
JU2526	158562500
JU2534	149375000
JU2565	191250000
JU2566	182312500
JU2578	107812500
JU258	120750000
JU2587	84812500
JU2593	176250000
JU2600	124562500
JU2800	121187500
JU2862	138062500
JU2866	219062500
JU2878	122906250
JU2879	114062500
JU2906	184437500
JU310	130000000
JU311	114718750
JU3125	190437500
JU3127	197875000
JU3134	120125000
JU3135	124500000
JU3137	148187500
JU3140	176875000
JU323	168687500
JU346	131687500
JU360	154500000
JU367	108625000
JU393	86062500
JU394	114312500
JU397	132937500
JU406	96312500
JU440	164187500
JU561	87125000
JU642	146500000
JU751	147687500
JU774	100750000
JU775	102281250
JU778	90500000
JU782	132375000
JU792	98937500
JU830	60062500
JU847	124562500
KR314	126125000
LKC34	96000000
LSJ1	149000000
MY1	153625000
MY10	136000000
MY16	103000000
MY18	136000000
MY2212	191250000
MY23	95593750
MY2453	122062500
MY2530	156687500
MY2535	111250000
MY2573	168500000
MY2693	119312500
MY2741	138187500
MY679	178500000
MY920	196062500
N2	109406250
NIC1	40437500
NIC1107	177500000
NIC166	122437500
NIC195	77250000
NIC199	118062500
NIC2	131687500
NIC207	74812500
NIC231	189187500
NIC236	110062500
NIC242	133687500
NIC251	82437500
NIC252	92281250
NIC255	82437500
NIC256	103562500
NIC258	147625000
NIC259	120312500
NIC260	128000000
NIC261	128875000
NIC262	128187500
NIC265	109500000
NIC266	149062500
NIC267	160812500
NIC268	114187500
NIC269	170062500
NIC271	165562500
NIC272	136875000
NIC274	182625000
NIC275	112875000
NIC276	96687500
NIC277	110375000
NIC3	166937500
NIC513	145125000
NIC514	185562500
NIC522	103593750
NIC523	136875000
PB303	94562500
PS2025	146187500
PX179	175375000
QG2075	76531250
QG536	100937500
QG556	194812500
QG557	172125000
QW947	90718750
QX1212	152625000
QX1233	133125000
QX1791	141750000
QX1792	120125000
QX1793	168187500
QX1794	100375000
RC301	107125000
WN2001	98062500
WN2002	126375000
WN2033	127812500
XZ1513	167875000
XZ1514	169187500
XZ1516	158375000
