strain	median
AB1	2447
BRC20067	1499
CB4852	2217
CB4854	4175
CB4856	3314
CB4932	683
CX11254	5026
CX11262	3292
CX11264	4764
CX11271	3968
CX11276	2140
CX11285	3685
CX11292	2015
CX11307	3927
CX11314	2318
CX11315	5472
DL200	2472
DL226	3085
DL238	2503.5
ECA246	4710
ECA248	3130
ECA250	1706
ECA251	1814
ECA252	2186
ECA259	3854
ECA348	5651
ECA349	3923
ECA36	3353
ECA363	4537
ECA372	2999.5
ECA396	3323
ED3005	2637
ED3011	3702
ED3012	3404
ED3017	2116
ED3040	1145.5
ED3046	1760
ED3048	1637.5
ED3049	3112
ED3052	2286
ED3073	3586
ED3077	1958
EG4347	3124
EG4349	1334
EG4724	2805
EG4725	3248
EG4946	2094
GXW1	2984
JT11398	1594.5
JU1088	1857
JU1172	3266
JU1200	3567
JU1212	3375
JU1213	2101
JU1242	2928
JU1246	2862
JU1395	3266
JU1400	3653
JU1409	2044
JU1440	1996
JU1491	2662
JU1530	3271
JU1543	2863
JU1568	2001
JU1580	3858
JU1581	2008
JU1586	3366
JU1652	3750
JU1793	3948.5
JU1808	2344
JU1896	4231
JU2001	3338
JU2007	1535
JU2131	3519
JU2141	5033
JU2234	4179
JU2464	3309
JU2466	3251
JU2513	2699
JU2519	2392
JU2522	3591
JU2526	2742
JU2534	3866
JU2565	4464
JU2566	5039
JU2578	2189
JU258	2653
JU2587	1996
JU2593	2471
JU2600	2621
JU2800	2458
JU2862	2778
JU2866	5166
JU2878	2648
JU2879	2578
JU2906	4299
JU310	2381
JU311	2724
JU3125	3370
JU3127	4850
JU3134	2842
JU3135	2185
JU3137	3491
JU3140	3859
JU323	3152
JU346	3079
JU360	3076
JU367	2076
JU393	1637
JU394	2074
JU397	4053
JU406	2242
JU440	3629
JU561	2186
JU642	3916
JU751	1634
JU774	3339
JU775	2336.5
JU778	1334
JU782	2650
JU792	2121
JU830	828
JU847	3829
KR314	3154
LKC34	2129
LSJ1	4683
MY1	3570
MY10	3084
MY16	2551
MY18	1749
MY2212	3860
MY23	1775
MY2453	2248
MY2530	3591
MY2535	2978
MY2573	3256
MY2693	2239
MY2741	2963
MY679	5233
MY920	5566
N2	2125.5
NIC1	1280
NIC1107	3661
NIC166	2762
NIC195	1730
NIC199	3019
NIC2	2950
NIC207	1274
NIC231	3443
NIC236	2817
NIC242	2981
NIC251	1877
NIC252	2714.5
NIC255	1692
NIC256	2478.5
NIC258	3472
NIC259	2121
NIC260	2244
NIC261	3105
NIC262	2404
NIC265	2582
NIC266	3776
NIC267	3344.5
NIC268	2310
NIC269	3103
NIC271	2702
NIC272	2650
NIC274	3316
NIC275	3265
NIC276	2807
NIC277	2359.5
NIC3	4304
NIC513	3709
NIC514	3780
NIC522	2094.5
NIC523	3478
PB303	2382
PS2025	3955
PX179	4681
QG2075	3211.5
QG536	1973
QG556	6016
QG557	4320
QW947	2167
QX1212	3603
QX1233	3605
QX1791	4153
QX1792	2091
QX1793	2900
QX1794	2187
RC301	2821
WN2001	1673
WN2002	2479
WN2033	3302
XZ1513	2915
XZ1514	4966
XZ1516	3049
