strain	median
AB1	130625000
BRC20067	84781250
CB4852	119125000
CB4854	166750000
CB4856	150625000
CB4932	54312500
CX11254	234687500
CX11262	138000000
CX11264	148500000
CX11271	117062500
CX11276	104000000
CX11285	142781250
CX11292	93562500
CX11307	168437500
CX11314	101125000
CX11315	199937500
DL200	136250000
DL226	165000000
DL238	112375000
ECA246	103750000
ECA248	166500000
ECA250	129812500
ECA251	85500000
ECA252	121000000
ECA259	176750000
ECA348	244312500
ECA349	149812500
ECA36	129375000
ECA363	167687500
ECA372	181718750
ECA396	119375000
ED3005	133375000
ED3011	151062500
ED3012	116437500
ED3017	96187500
ED3040	60093750
ED3046	91937500
ED3048	72062500
ED3049	102375000
ED3052	128125000
ED3073	143625000
ED3077	76750000
EG4347	117625000
EG4349	78625000
EG4724	120125000
EG4725	135125000
EG4946	116750000
GXW1	126437500
JT11398	64593750
JU1088	76875000
JU1172	140562500
JU1200	118125000
JU1212	163437500
JU1213	82750000
JU1242	129250000
JU1246	143625000
JU1395	159125000
JU1400	161500000
JU1409	112875000
JU1440	94937500
JU1491	118687500
JU1530	154187500
JU1543	152250000
JU1568	73000000
JU1580	131687500
JU1581	101437500
JU1586	134187500
JU1652	198218750
JU1793	178062500
JU1808	133062500
JU1896	162437500
JU2001	116062500
JU2007	88937500
JU2131	153062500
JU2141	201312500
JU2234	184187500
JU2464	129937500
JU2466	113187500
JU2513	126562500
JU2519	98000000
JU2522	164812500
JU2526	160812500
JU2534	146500000
JU2565	196625000
JU2566	183250000
JU2578	107937500
JU258	119812500
JU2587	83875000
JU2593	176812500
JU2600	124312500
JU2800	122875000
JU2862	136625000
JU2866	220875000
JU2878	125593750
JU2879	113562500
JU2906	187937500
JU310	129250000
JU311	117718750
JU3125	191062500
JU3127	197625000
JU3134	118812500
JU3135	126062500
JU3137	149000000
JU3140	180687500
JU323	170625000
JU346	134812500
JU360	156250000
JU367	105375000
JU393	89500000
JU394	116187500
JU397	135375000
JU406	95562500
JU440	166562500
JU561	87562500
JU642	148062500
JU751	146562500
JU774	104562500
JU775	103656250
JU778	92375000
JU782	133000000
JU792	99312500
JU830	61000000
JU847	125500000
KR314	126625000
LKC34	97625000
LSJ1	152187500
MY1	155437500
MY10	135937500
MY16	103812500
MY18	139000000
MY2212	194250000
MY23	96906250
MY2453	121687500
MY2530	157750000
MY2535	108875000
MY2573	168437500
MY2693	118562500
MY2741	140812500
MY679	177062500
MY920	195375000
N2	111218750
NIC1	39500000
NIC1107	178812500
NIC166	123375000
NIC195	79500000
NIC199	121750000
NIC2	135062500
NIC207	73937500
NIC231	191562500
NIC236	109562500
NIC242	133562500
NIC251	85562500
NIC252	95468750
NIC255	82062500
NIC256	104656250
NIC258	152312500
NIC259	118625000
NIC260	126687500
NIC261	129062500
NIC262	126437500
NIC265	108562500
NIC266	151250000
NIC267	161281250
NIC268	113812500
NIC269	170187500
NIC271	165937500
NIC272	140000000
NIC274	183437500
NIC275	113250000
NIC276	96750000
NIC277	111468750
NIC3	169312500
NIC513	147062500
NIC514	185437500
NIC522	103906250
NIC523	135125000
PB303	94875000
PS2025	150062500
PX179	177687500
QG2075	78843750
QG536	104687500
QG556	196375000
QG557	175000000
QW947	92687500
QX1212	153500000
QX1233	136000000
QX1791	142312500
QX1792	119750000
QX1793	168812500
QX1794	99812500
RC301	109937500
WN2001	99875000
WN2002	127875000
WN2033	129187500
XZ1513	169187500
XZ1514	160687500
XZ1516	160187500
