strain	median
AB1	-7.641e-05
BRC20067	-6.2706e-05
CB4852	-4.3904e-05
CB4854	-0.00010872
CB4856	-9.3756e-05
CB4932	-3.9076e-05
CX11254	-0.00013312
CX11262	-6.3015e-05
CX11264	-0.00012937
CX11271	-8.613e-05
CX11276	-7.8168e-05
CX11285	-9.4119e-05
CX11292	-7.9958e-05
CX11307	-0.00013374
CX11314	-8.1149e-05
CX11315	-0.00011501
DL200	-0.00013104
DL226	-7.5648e-05
DL238	-8.3477e-05
ECA246	-6.6327e-05
ECA248	-0.00010325
ECA250	-0.00010609
ECA251	-6.5071e-05
ECA252	-0.00033041
ECA259	-5.6222e-05
ECA348	-0.00020647
ECA349	-8.4856e-05
ECA36	-8.8147e-05
ECA363	-0.00011688
ECA372	-0.00010552
ECA396	-7.0843e-05
ED3005	-6.4035e-05
ED3011	-8.4341e-05
ED3012	-0.0001094
ED3017	-7.4494e-05
ED3040	-2.6558e-05
ED3046	-6.5028e-05
ED3048	-4.3417e-05
ED3049	-4.0717e-05
ED3052	-6.9997e-05
ED3073	-0.00010864
ED3077	-0.00010735
EG4347	-8.2466e-05
EG4349	-1.7311e-05
EG4724	-7.3217e-05
EG4725	-8.1043e-05
EG4946	-6.7102e-05
GXW1	-7.9438e-05
JT11398	-4.4353e-05
JU1088	-2.1766e-05
JU1172	-5.797e-05
JU1200	-8.3108e-05
JU1212	-0.0001125
JU1213	-3.4785e-05
JU1242	-9.5085e-05
JU1246	-7.3567e-05
JU1395	-9.7212e-05
JU1400	-8.2831e-05
JU1409	-4.4661e-05
JU1440	-0.0001035
JU1491	-8.2049e-05
JU1530	-4.0923e-05
JU1543	-0.00011822
JU1568	-7.2169e-05
JU1580	-7.6782e-05
JU1581	-9.1503e-05
JU1586	-9.8073e-05
JU1652	-0.00018879
JU1793	-0.00012096
JU1808	-7.6971e-05
JU1896	-0.00014873
JU2001	-8.1442e-05
JU2007	-6.157e-05
JU2131	-7.2598e-05
JU2141	-8.7524e-05
JU2234	-7.9217e-05
JU2464	-8.2512e-05
JU2466	-7.516e-05
JU2513	-6.7107e-05
JU2519	-9.47e-05
JU2522	-9.0615e-05
JU2526	-8.8178e-05
JU2534	-8.0906e-05
JU2565	-0.00010143
JU2566	-7.2492e-05
JU2578	-7.1494e-05
JU258	-6.9796e-05
JU2587	-6.4397e-05
JU2593	-8.4871e-05
JU2600	-8.3406e-05
JU2800	-7.0533e-05
JU2862	-7.6778e-05
JU2866	-0.00013889
JU2878	-0.00012657
JU2879	-0.00012975
JU2906	-9.5452e-05
JU310	-7.9564e-05
JU311	-4.7872e-05
JU3125	-9.7729e-05
JU3127	-8.6361e-05
JU3134	-5.1344e-05
JU3135	-8.3306e-05
JU3137	-9.7147e-05
JU3140	-7.7104e-05
JU323	-0.00010611
JU346	-5.3006e-05
JU360	-0.00012574
JU367	-6.0923e-05
JU393	-0.00010853
JU394	-7.239e-05
JU397	-5.5931e-05
JU406	-5.5005e-05
JU440	-8.6182e-05
JU561	-0.00010466
JU642	-9.309e-05
JU751	-4.6147e-05
JU774	-6.2603e-05
JU775	-6.4475e-05
JU778	-6.5597e-05
JU782	-0.00013966
JU792	-4.9891e-05
JU830	-4.7739e-05
JU847	-8.6518e-05
KR314	-8.0441e-05
LKC34	-5.6587e-05
LSJ1	-0.00015686
MY1	-9.9837e-05
MY10	-0.00012138
MY16	-9.7573e-05
MY18	-0.00013518
MY2212	-5.6882e-05
MY23	-8.59e-05
MY2453	-4.2838e-05
MY2530	-7.8335e-05
MY2535	-5.4215e-05
MY2573	-8.305e-05
MY2693	-5.6816e-05
MY2741	-7.1605e-05
MY679	-9.9787e-05
MY920	-8.6349e-05
N2	-0.00025784
NIC1	-7.6017e-05
NIC1107	-0.00010999
NIC166	-5.2103e-05
NIC195	-2.9443e-06
NIC199	-0.00011765
NIC2	-7.7118e-05
NIC207	-4.6389e-05
NIC231	-0.00017253
NIC236	-6.2318e-05
NIC242	-8.4818e-05
NIC251	-8.6155e-05
NIC252	-5.1017e-05
NIC255	-8.5537e-05
NIC256	-9.8028e-05
NIC258	-0.00016978
NIC259	-8.2015e-05
NIC260	-5.2017e-05
NIC261	-4.8543e-05
NIC262	-0.00011892
NIC265	-9.922e-05
NIC266	-7.6056e-05
NIC267	-0.00011343
NIC268	-0.00010761
NIC269	-7.2956e-05
NIC271	-9.1e-05
NIC272	-6.4697e-05
NIC274	-7.6186e-05
NIC275	-8.38e-05
NIC276	-7.7672e-05
NIC277	-7.7315e-05
NIC3	-0.00013635
NIC513	-9.5715e-05
NIC514	-8.5812e-05
NIC522	-4.7836e-05
NIC523	-8.2677e-05
PB303	-4.6087e-05
PS2025	-7.7214e-05
PX179	-9.1193e-05
QG2075	-9.7616e-05
QG536	-0.00010853
QG556	-0.00014164
QG557	-7.8474e-05
QW947	-6.7293e-05
QX1212	-8.1301e-05
QX1233	-0.00012821
QX1791	-9.4639e-05
QX1792	-4.7979e-05
QX1793	-7.3639e-05
QX1794	-6.235e-05
RC301	-0.00011216
WN2001	-8.1516e-05
WN2002	-7.3301e-05
WN2033	-7.0544e-05
XZ1513	-7.2406e-05
XZ1514	-4.9104e-05
XZ1516	-0.00012343
