strain	median
AB1	-0.00084717
BRC20067	-0.0012594
CB4852	-0.0016947
CB4854	-0.00086164
CB4856	-0.00062246
CB4932	-0.00063749
CX11254	-0.001214
CX11262	-0.00050643
CX11264	-0.00066407
CX11271	-0.00096622
CX11276	-0.00080126
CX11285	-0.00054537
CX11292	-0.00064864
CX11307	-0.00089566
CX11314	-0.0007982
CX11315	-0.0010973
DL200	-0.00042365
DL226	-0.00040514
DL238	-0.00048729
ECA246	-0.00096457
ECA248	-0.0018082
ECA250	-0.00095584
ECA251	-0.0017202
ECA252	-0.0071294
ECA259	-0.00036917
ECA348	-0.0010795
ECA349	-0.0011003
ECA36	-0.00034398
ECA363	-0.00033062
ECA372	-0.0008769
ECA396	-0.00048533
ED3005	-0.00055807
ED3011	-0.0010508
ED3012	-0.00066206
ED3017	-0.00070978
ED3040	-0.00041286
ED3046	-0.00093139
ED3048	-0.00066449
ED3049	-0.00078852
ED3052	-0.00097393
ED3073	-0.00081787
ED3077	-0.00032955
EG4347	-0.0012224
EG4349	-0.00086926
EG4724	-0.00087064
EG4725	-0.00098563
EG4946	-0.00062232
GXW1	-0.00068812
JT11398	-0.0006843
JU1088	-0.0005526
JU1172	-0.00044905
JU1200	-0.00077989
JU1212	-0.0012266
JU1213	-0.0006755
JU1242	-0.00073066
JU1246	-0.00079463
JU1395	-0.00087684
JU1400	-0.00074935
JU1409	-0.00070871
JU1440	-0.00061931
JU1491	-0.0010419
JU1530	-0.00091451
JU1543	-0.00073411
JU1568	-0.00055332
JU1580	-0.00050772
JU1581	-0.00039159
JU1586	-0.00094929
JU1652	-0.00075777
JU1793	-0.00096538
JU1808	-0.00042899
JU1896	-0.00064388
JU2001	-0.0010805
JU2007	-0.00089826
JU2131	-0.00099269
JU2141	-0.0013611
JU2234	-0.00083643
JU2464	-0.0017898
JU2466	-0.00073387
JU2513	-0.00082271
JU2519	-0.00049769
JU2522	-0.00075163
JU2526	-0.00068313
JU2534	-0.00069203
JU2565	-0.00054079
JU2566	-0.00062761
JU2578	-0.0007322
JU258	-0.00058557
JU2587	-0.0013292
JU2593	-0.00080494
JU2600	-0.0004628
JU2800	-0.00052842
JU2862	-0.00036449
JU2866	-0.00059833
JU2878	-0.001148
JU2879	-0.00066018
JU2906	-0.00094021
JU310	-0.00089347
JU311	-0.0009109
JU3125	-0.00037865
JU3127	-0.0011131
JU3134	-0.00057193
JU3135	-0.00040102
JU3137	-0.00052393
JU3140	-0.0004115
JU323	-0.001061
JU346	-0.0014452
JU360	-0.00063769
JU367	-0.0010735
JU393	-0.00063929
JU394	-0.001892
JU397	-0.00029548
JU406	-0.00090993
JU440	-0.00064637
JU561	-0.00060279
JU642	-0.00066337
JU751	-0.00034512
JU774	-0.00058636
JU775	-0.00097118
JU778	-0.000509
JU782	-0.0011353
JU792	-0.00078876
JU830	-0.00057521
JU847	-0.00049363
KR314	-0.00091406
LKC34	-0.00089713
LSJ1	-0.0007497
MY1	-0.0022355
MY10	-0.0007508
MY16	-0.00050804
MY18	-0.00096125
MY2212	-0.0010054
MY23	-0.00042334
MY2453	-0.00057367
MY2530	-0.00061592
MY2535	-0.00060573
MY2573	-0.00096266
MY2693	-0.00042823
MY2741	-0.00053106
MY679	-0.00076919
MY920	-0.00086571
N2	-0.0054101
NIC1	-0.00045393
NIC1107	-0.00032123
NIC166	-0.00057501
NIC195	-0.00053973
NIC199	-0.00076886
NIC2	-0.00083225
NIC207	-0.00044706
NIC231	-0.0014513
NIC236	-0.0004622
NIC242	-0.00087606
NIC251	-0.00051315
NIC252	-0.00025882
NIC255	-0.00085436
NIC256	-0.00076391
NIC258	-0.0010545
NIC259	-0.00063189
NIC260	-0.00076717
NIC261	-0.00084472
NIC262	-0.0003435
NIC265	-0.00092533
NIC266	-0.0005663
NIC267	-0.0018009
NIC268	-0.00022603
NIC269	-0.00044773
NIC271	-0.001553
NIC272	-0.0010758
NIC274	-0.00054667
NIC275	-0.00069846
NIC276	-0.00063591
NIC277	-0.00053919
NIC3	-0.0010415
NIC513	-0.00085325
NIC514	-0.00064776
NIC522	-0.00094963
NIC523	-0.0007258
PB303	-0.00052797
PS2025	-0.00081009
PX179	-0.00056976
QG2075	-0.0010779
QG536	-0.00064884
QG556	-0.00077867
QG557	-0.0004562
QW947	-0.00079196
QX1212	-0.00074985
QX1233	-0.00062395
QX1791	-0.0010406
QX1792	-0.00039719
QX1793	-0.00091973
QX1794	-0.00072437
RC301	-0.00043953
WN2001	-0.00035762
WN2002	-0.0010054
WN2033	-0.00042634
XZ1513	-0.00040864
XZ1514	-0.00063428
XZ1516	-0.00048095
