strain	median
AB1	-0.00046708
BRC20067	-0.00080951
CB4852	-0.0013536
CB4854	-0.00068433
CB4856	-0.00050986
CB4932	-0.00039031
CX11254	-0.00082096
CX11262	-0.00040379
CX11264	-0.0005453
CX11271	-0.00079664
CX11276	-0.00070359
CX11285	-0.00041181
CX11292	-0.00054228
CX11307	-0.0006251
CX11314	-0.00060261
CX11315	-0.00076339
DL200	-0.00033191
DL226	-0.00033407
DL238	-0.00041083
ECA246	-0.00059784
ECA248	-0.0015437
ECA250	-0.0005878
ECA251	-0.0010696
ECA252	-0.0051705
ECA259	-0.00036665
ECA348	-0.00070833
ECA349	-0.0007058
ECA36	-0.00034763
ECA363	-0.00032044
ECA372	-0.00070985
ECA396	-0.00035267
ED3005	-0.00041504
ED3011	-0.00067325
ED3012	-0.00055683
ED3017	-0.00050337
ED3040	-0.00026391
ED3046	-0.0008328
ED3048	-0.00064386
ED3049	-0.00056934
ED3052	-0.0005877
ED3073	-0.00066278
ED3077	-0.00025431
EG4347	-0.00066553
EG4349	-0.0006803
EG4724	-0.00072053
EG4725	-0.00085516
EG4946	-0.00045461
GXW1	-0.00055524
JT11398	-0.0006968
JU1088	-0.00054311
JU1172	-0.00020156
JU1200	-0.00070353
JU1212	-0.00093016
JU1213	-0.00053943
JU1242	-0.00060889
JU1246	-0.00067515
JU1395	-0.00056058
JU1400	-0.00050153
JU1409	-0.00046329
JU1440	-0.00050774
JU1491	-0.00092077
JU1530	-0.00055313
JU1543	-0.00048964
JU1568	-0.00060405
JU1580	-0.0005753
JU1581	-0.0003051
JU1586	-0.00067007
JU1652	-0.00075328
JU1793	-0.00080432
JU1808	-0.00034281
JU1896	-0.00073861
JU2001	-0.00068204
JU2007	-0.00037404
JU2131	-0.00059842
JU2141	-0.00085457
JU2234	-0.00050889
JU2464	-0.0011554
JU2466	-0.00078123
JU2513	-0.00065661
JU2519	-0.00049943
JU2522	-0.00055668
JU2526	-0.00056167
JU2534	-0.00047221
JU2565	-0.00040027
JU2566	-0.00038276
JU2578	-0.00074413
JU258	-0.00033228
JU2587	-0.0010852
JU2593	-0.00070822
JU2600	-0.00025471
JU2800	-0.00040136
JU2862	-0.00034605
JU2866	-0.00046055
JU2878	-0.00068488
JU2879	-0.00042174
JU2906	-0.00081316
JU310	-0.0007759
JU311	-0.00045076
JU3125	-0.00023423
JU3127	-0.00076664
JU3134	-0.00057928
JU3135	-0.00032045
JU3137	-0.00045336
JU3140	-0.00034042
JU323	-0.00073759
JU346	-0.001264
JU360	-0.00048011
JU367	-0.00075362
JU393	-0.00052818
JU394	-0.0014297
JU397	-0.00026288
JU406	-0.00064253
JU440	-0.00044257
JU561	-0.00066234
JU642	-0.00053334
JU751	-0.00015088
JU774	-0.00035491
JU775	-0.00058426
JU778	-0.00018739
JU782	-0.0012214
JU792	-0.000623
JU830	-0.0004814
JU847	-0.00040149
KR314	-0.00075748
LKC34	-0.00073315
LSJ1	-0.00069962
MY1	-0.0019421
MY10	-0.00067728
MY16	-0.00066983
MY18	-0.00038287
MY2212	-0.00079258
MY23	-0.00039253
MY2453	-0.00040492
MY2530	-0.00069062
MY2535	-0.00047638
MY2573	-0.00082645
MY2693	-0.00025143
MY2741	-0.00040129
MY679	-0.0006854
MY920	-0.00082842
N2	-0.0050582
NIC1	-0.00033021
NIC1107	-0.00018597
NIC166	-0.00032946
NIC195	-0.00036112
NIC199	-0.00068579
NIC2	-0.0005797
NIC207	-0.00027311
NIC231	-0.0012677
NIC236	-0.00030777
NIC242	-0.00074327
NIC251	-0.00051284
NIC252	-0.00026727
NIC255	-0.00059925
NIC256	-0.00056886
NIC258	-0.00092843
NIC259	-0.00049612
NIC260	-0.00052962
NIC261	-0.00071111
NIC262	-0.00024303
NIC265	-0.00079524
NIC266	-0.00060555
NIC267	-0.0014744
NIC268	-0.00022023
NIC269	-0.00021086
NIC271	-0.00081733
NIC272	-0.00083697
NIC274	-0.00030214
NIC275	-0.00047367
NIC276	-0.00047459
NIC277	-0.00037392
NIC3	-0.00087882
NIC513	-0.00065577
NIC514	-0.00044206
NIC522	-0.00068357
NIC523	-0.00059054
PB303	-0.0004083
PS2025	-0.00057254
PX179	-0.0005157
QG2075	-0.00096918
QG536	-0.00040899
QG556	-0.00056499
QG557	-0.00029024
QW947	-0.00065023
QX1212	-0.00063524
QX1233	-0.0005779
QX1791	-0.00071502
QX1792	-0.00021606
QX1793	-0.00081735
QX1794	-0.00055043
RC301	-0.00043475
WN2001	-0.00037749
WN2002	-0.0006208
WN2033	-0.00044928
XZ1513	-0.00029326
XZ1514	-0.00048383
XZ1516	-0.00037677
