strain	median
AB1	-0.00033888
BRC20067	-0.00061376
CB4852	-0.0011163
CB4854	-0.00051932
CB4856	-0.0004251
CB4932	-0.00036045
CX11254	-0.00050034
CX11262	-0.00034575
CX11264	-0.00042812
CX11271	-0.00069693
CX11276	-0.00049806
CX11285	-0.00036576
CX11292	-0.00046786
CX11307	-0.00051988
CX11314	-0.00054221
CX11315	-0.00062129
DL200	-0.00037505
DL226	-0.00025578
DL238	-0.00032831
ECA246	-0.00047483
ECA248	-0.00097805
ECA250	-0.00043251
ECA251	-0.00080138
ECA252	-0.0029646
ECA259	-0.00024978
ECA348	-0.0010091
ECA349	-0.00059079
ECA36	-0.00023094
ECA363	-0.0002475
ECA372	-0.000553
ECA396	-0.00027605
ED3005	-0.00052099
ED3011	-0.00052317
ED3012	-0.00048289
ED3017	-0.00035745
ED3040	-0.00018339
ED3046	-0.00063318
ED3048	-0.00054424
ED3049	-0.00043707
ED3052	-0.00045093
ED3073	-0.00057118
ED3077	-0.00035147
EG4347	-0.00046884
EG4349	-0.00047771
EG4724	-0.00056481
EG4725	-0.00069123
EG4946	-0.00039951
GXW1	-0.00045585
JT11398	-0.00049459
JU1088	-0.00046618
JU1172	-0.00021314
JU1200	-0.00056707
JU1212	-0.00066961
JU1213	-0.00036573
JU1242	-0.00057482
JU1246	-0.00061889
JU1395	-0.00037277
JU1400	-0.00035697
JU1409	-0.00035897
JU1440	-0.0005293
JU1491	-0.00074331
JU1530	-0.0004851
JU1543	-0.0003742
JU1568	-0.00058054
JU1580	-0.00045869
JU1581	-0.0002531
JU1586	-0.00051567
JU1652	-0.00061069
JU1793	-0.00067458
JU1808	-0.00025194
JU1896	-0.00062725
JU2001	-0.00054982
JU2007	-0.00030311
JU2131	-0.00062647
JU2141	-0.00060302
JU2234	-0.00043306
JU2464	-0.00066669
JU2466	-0.00075701
JU2513	-0.00057501
JU2519	-0.00045978
JU2522	-0.00047237
JU2526	-0.00041636
JU2534	-0.00037642
JU2565	-0.0003469
JU2566	-0.00031336
JU2578	-0.00050867
JU258	-0.00028609
JU2587	-0.00089599
JU2593	-0.00063839
JU2600	-0.00021318
JU2800	-0.00033057
JU2862	-0.00026522
JU2866	-0.00050607
JU2878	-0.0005357
JU2879	-0.00032228
JU2906	-0.00067497
JU310	-0.00065954
JU311	-0.0003944
JU3125	-0.00017798
JU3127	-0.00058545
JU3134	-0.00047366
JU3135	-0.0002222
JU3137	-0.00037429
JU3140	-0.00031327
JU323	-0.00058634
JU346	-0.0010618
JU360	-0.00038426
JU367	-0.00055953
JU393	-0.00039573
JU394	-0.00097601
JU397	-0.00022457
JU406	-0.00049112
JU440	-0.0002978
JU561	-0.00050351
JU642	-0.00044682
JU751	-0.00010134
JU774	-0.00028424
JU775	-0.00057315
JU778	-0.00014438
JU782	-0.00075763
JU792	-0.00052773
JU830	-0.00031389
JU847	-0.00031101
KR314	-0.00066082
LKC34	-0.00049046
LSJ1	-0.00067022
MY1	-0.001405
MY10	-0.00052907
MY16	-0.00061721
MY18	-0.00024945
MY2212	-0.00067096
MY23	-0.00029703
MY2453	-0.000374
MY2530	-0.00054756
MY2535	-0.00041838
MY2573	-0.0006589
MY2693	-0.00022488
MY2741	-0.00035457
MY679	-0.0005947
MY920	-0.00072975
N2	-0.0032136
NIC1	-0.00036311
NIC1107	-0.000182
NIC166	-0.00032245
NIC195	-0.00031187
NIC199	-0.00057088
NIC2	-0.00041875
NIC207	-0.0002133
NIC231	-0.0010283
NIC236	-0.0003039
NIC242	-0.00053987
NIC251	-0.00033255
NIC252	-0.00020692
NIC255	-0.00045264
NIC256	-0.0004312
NIC258	-0.00080032
NIC259	-0.00033199
NIC260	-0.00035997
NIC261	-0.00059626
NIC262	-0.00012588
NIC265	-0.00055391
NIC266	-0.00042788
NIC267	-0.00097142
NIC268	-0.00016301
NIC269	-0.00016697
NIC271	-0.00064205
NIC272	-0.00060329
NIC274	-0.00024113
NIC275	-0.00039592
NIC276	-0.00043073
NIC277	-0.00028606
NIC3	-0.00067785
NIC513	-0.00060112
NIC514	-0.00044011
NIC522	-0.00058233
NIC523	-0.00041328
PB303	-0.00040251
PS2025	-0.00045106
PX179	-0.00042436
QG2075	-0.00073791
QG536	-0.0003354
QG556	-0.00046726
QG557	-0.00021638
QW947	-0.0004752
QX1212	-0.00052656
QX1233	-0.00045897
QX1791	-0.00055919
QX1792	-0.00014242
QX1793	-0.00066147
QX1794	-0.00044648
RC301	-0.00035455
WN2001	-0.00037456
WN2002	-0.00052155
WN2033	-0.00036805
XZ1513	-0.00022315
XZ1514	-0.00042502
XZ1516	-0.0003425
