strain	median
AB1	-0.00085711
BRC20067	-0.0012727
CB4852	-0.0016243
CB4854	-0.0008613
CB4856	-0.00058949
CB4932	-0.00056988
CX11254	-0.0011252
CX11262	-0.00047069
CX11264	-0.00063811
CX11271	-0.000895
CX11276	-0.0008005
CX11285	-0.00054394
CX11292	-0.00062765
CX11307	-0.00079273
CX11314	-0.00081055
CX11315	-0.001081
DL200	-0.00040244
DL226	-0.00038097
DL238	-0.00046112
ECA246	-0.00091014
ECA248	-0.0016649
ECA250	-0.00092544
ECA251	-0.0015215
ECA252	-0.0069643
ECA259	-0.00034679
ECA348	-0.0010854
ECA349	-0.0010696
ECA36	-0.00033975
ECA363	-0.00030717
ECA372	-0.00085567
ECA396	-0.00047393
ED3005	-0.00048001
ED3011	-0.0010003
ED3012	-0.00066615
ED3017	-0.00071312
ED3040	-0.00037661
ED3046	-0.00088038
ED3048	-0.00066527
ED3049	-0.00086052
ED3052	-0.00095116
ED3073	-0.00075004
ED3077	-0.00032053
EG4347	-0.0011748
EG4349	-0.00088394
EG4724	-0.0009179
EG4725	-0.00096218
EG4946	-0.0006131
GXW1	-0.00071366
JT11398	-0.000735
JU1088	-0.00065032
JU1172	-0.00041346
JU1200	-0.0007549
JU1212	-0.0011548
JU1213	-0.00065274
JU1242	-0.00069324
JU1246	-0.00076276
JU1395	-0.00092383
JU1400	-0.00074063
JU1409	-0.00074957
JU1440	-0.00063013
JU1491	-0.00098519
JU1530	-0.00097027
JU1543	-0.00069018
JU1568	-0.0005785
JU1580	-0.00044376
JU1581	-0.00039258
JU1586	-0.00086279
JU1652	-0.00070285
JU1793	-0.00094551
JU1808	-0.00039458
JU1896	-0.00061197
JU2001	-0.00097039
JU2007	-0.00088974
JU2131	-0.00092811
JU2141	-0.0014777
JU2234	-0.00079098
JU2464	-0.0016727
JU2466	-0.00074867
JU2513	-0.00079797
JU2519	-0.00052968
JU2522	-0.00068973
JU2526	-0.00066299
JU2534	-0.00070374
JU2565	-0.00052682
JU2566	-0.00063685
JU2578	-0.00069173
JU258	-0.00057846
JU2587	-0.0012092
JU2593	-0.00075411
JU2600	-0.00045356
JU2800	-0.00050701
JU2862	-0.00034239
JU2866	-0.00056856
JU2878	-0.0011016
JU2879	-0.00068812
JU2906	-0.00091198
JU310	-0.00086439
JU311	-0.00085183
JU3125	-0.00034702
JU3127	-0.0010668
JU3134	-0.00057946
JU3135	-0.00035384
JU3137	-0.00051285
JU3140	-0.00040569
JU323	-0.0010166
JU346	-0.0014324
JU360	-0.00058505
JU367	-0.0010525
JU393	-0.00062572
JU394	-0.0019251
JU397	-0.00031392
JU406	-0.00091381
JU440	-0.00064489
JU561	-0.00063976
JU642	-0.00060938
JU751	-0.0003439
JU774	-0.00055682
JU775	-0.00091004
JU778	-0.00051456
JU782	-0.0010806
JU792	-0.00081787
JU830	-0.00059198
JU847	-0.00046897
KR314	-0.00081078
LKC34	-0.00088804
LSJ1	-0.0007813
MY1	-0.0024838
MY10	-0.0007242
MY16	-0.00049482
MY18	-0.0009231
MY2212	-0.0009723
MY23	-0.00042754
MY2453	-0.00045661
MY2530	-0.00063471
MY2535	-0.00054996
MY2573	-0.00094968
MY2693	-0.00040681
MY2741	-0.00052374
MY679	-0.00068673
MY920	-0.00089758
N2	-0.0054655
NIC1	-0.00049769
NIC1107	-0.00029702
NIC166	-0.00056579
NIC195	-0.00049019
NIC199	-0.00072015
NIC2	-0.00079969
NIC207	-0.00044102
NIC231	-0.0013328
NIC236	-0.00046508
NIC242	-0.00083714
NIC251	-0.00049599
NIC252	-0.00027329
NIC255	-0.0008805
NIC256	-0.000758
NIC258	-0.0010323
NIC259	-0.00056523
NIC260	-0.00072687
NIC261	-0.00080132
NIC262	-0.0003483
NIC265	-0.00090388
NIC266	-0.00058667
NIC267	-0.0015387
NIC268	-0.00023786
NIC269	-0.00045391
NIC271	-0.0014911
NIC272	-0.0010423
NIC274	-0.00051253
NIC275	-0.00071824
NIC276	-0.00057157
NIC277	-0.0005292
NIC3	-0.0009671
NIC513	-0.00086784
NIC514	-0.00060962
NIC522	-0.00089675
NIC523	-0.00072255
PB303	-0.00055158
PS2025	-0.0008173
PX179	-0.00053649
QG2075	-0.001055
QG536	-0.00056572
QG556	-0.00072157
QG557	-0.0004376
QW947	-0.0008151
QX1212	-0.00073382
QX1233	-0.00060834
QX1791	-0.0009552
QX1792	-0.00036117
QX1793	-0.00084758
QX1794	-0.00071876
RC301	-0.00045212
WN2001	-0.00036031
WN2002	-0.0010141
WN2033	-0.00043679
XZ1513	-0.00037793
XZ1514	-0.00055823
XZ1516	-0.00042309
