strain	median
AB1	-0.00050358
BRC20067	-0.00078407
CB4852	-0.0013143
CB4854	-0.00066599
CB4856	-0.00049873
CB4932	-0.00034701
CX11254	-0.00078826
CX11262	-0.00042175
CX11264	-0.00047765
CX11271	-0.00080979
CX11276	-0.0006779
CX11285	-0.00040794
CX11292	-0.00048322
CX11307	-0.00059905
CX11314	-0.00058883
CX11315	-0.00074917
DL200	-0.00035018
DL226	-0.00031408
DL238	-0.00036287
ECA246	-0.00056245
ECA248	-0.0015125
ECA250	-0.00055171
ECA251	-0.00099315
ECA252	-0.0051135
ECA259	-0.00031815
ECA348	-0.0007457
ECA349	-0.0006761
ECA36	-0.00029584
ECA363	-0.00032638
ECA372	-0.00070817
ECA396	-0.00033802
ED3005	-0.00047966
ED3011	-0.00064535
ED3012	-0.00056483
ED3017	-0.00044816
ED3040	-0.00023985
ED3046	-0.00080123
ED3048	-0.00062529
ED3049	-0.00054066
ED3052	-0.0005516
ED3073	-0.00064565
ED3077	-0.00027846
EG4347	-0.00063518
EG4349	-0.00066479
EG4724	-0.00073962
EG4725	-0.00082111
EG4946	-0.00044432
GXW1	-0.00052026
JT11398	-0.00062135
JU1088	-0.00054569
JU1172	-0.00022724
JU1200	-0.00068885
JU1212	-0.00093202
JU1213	-0.00044635
JU1242	-0.0006031
JU1246	-0.00069879
JU1395	-0.00057164
JU1400	-0.00045918
JU1409	-0.0004316
JU1440	-0.00049717
JU1491	-0.00091112
JU1530	-0.00056567
JU1543	-0.0004553
JU1568	-0.00063303
JU1580	-0.00054224
JU1581	-0.00030343
JU1586	-0.00065691
JU1652	-0.00071484
JU1793	-0.00078716
JU1808	-0.00029788
JU1896	-0.00075409
JU2001	-0.00063216
JU2007	-0.00037992
JU2131	-0.00060939
JU2141	-0.00078099
JU2234	-0.00046145
JU2464	-0.001066
JU2466	-0.00084128
JU2513	-0.00065829
JU2519	-0.00053991
JU2522	-0.00054003
JU2526	-0.00049321
JU2534	-0.00047553
JU2565	-0.00037507
JU2566	-0.00039383
JU2578	-0.00070072
JU258	-0.00032289
JU2587	-0.0010098
JU2593	-0.00067578
JU2600	-0.00025447
JU2800	-0.0003597
JU2862	-0.00030508
JU2866	-0.00045767
JU2878	-0.0007107
JU2879	-0.0003916
JU2906	-0.00078856
JU310	-0.00072815
JU311	-0.00043452
JU3125	-0.00022726
JU3127	-0.00075213
JU3134	-0.00053291
JU3135	-0.00032976
JU3137	-0.00045632
JU3140	-0.00035054
JU323	-0.00069537
JU346	-0.0012657
JU360	-0.00046764
JU367	-0.00078882
JU393	-0.00047231
JU394	-0.0012588
JU397	-0.00025756
JU406	-0.00061777
JU440	-0.00041995
JU561	-0.00065022
JU642	-0.00052833
JU751	-0.0001209
JU774	-0.00033828
JU775	-0.00056515
JU778	-0.00014177
JU782	-0.0011828
JU792	-0.0005847
JU830	-0.00041958
JU847	-0.00037467
KR314	-0.00077401
LKC34	-0.00075557
LSJ1	-0.00074251
MY1	-0.0018519
MY10	-0.00068896
MY16	-0.000638
MY18	-0.0003592
MY2212	-0.00080468
MY23	-0.00033844
MY2453	-0.00036187
MY2530	-0.00061972
MY2535	-0.000456
MY2573	-0.0007868
MY2693	-0.00025812
MY2741	-0.00041597
MY679	-0.00068737
MY920	-0.00085175
N2	-0.004705
NIC1	-0.00028991
NIC1107	-0.00016429
NIC166	-0.00032066
NIC195	-0.00034642
NIC199	-0.00063793
NIC2	-0.00057899
NIC207	-0.00025677
NIC231	-0.0012503
NIC236	-0.00029363
NIC242	-0.00073469
NIC251	-0.00050569
NIC252	-0.00025708
NIC255	-0.00053519
NIC256	-0.0005537
NIC258	-0.00099912
NIC259	-0.00049036
NIC260	-0.00049479
NIC261	-0.00077382
NIC262	-0.00020534
NIC265	-0.00078
NIC266	-0.00061348
NIC267	-0.0014516
NIC268	-0.00022191
NIC269	-0.00021183
NIC271	-0.00084016
NIC272	-0.00078061
NIC274	-0.00026634
NIC275	-0.00048175
NIC276	-0.00050208
NIC277	-0.00033383
NIC3	-0.000881
NIC513	-0.00066172
NIC514	-0.00044142
NIC522	-0.00066805
NIC523	-0.00055606
PB303	-0.00039694
PS2025	-0.0005292
PX179	-0.0004866
QG2075	-0.00092649
QG536	-0.00038533
QG556	-0.00055918
QG557	-0.00025103
QW947	-0.0006353
QX1212	-0.00058451
QX1233	-0.00060273
QX1791	-0.0007019
QX1792	-0.00016958
QX1793	-0.00073451
QX1794	-0.00056459
RC301	-0.00045884
WN2001	-0.0003776
WN2002	-0.00054663
WN2033	-0.00038809
XZ1513	-0.00028595
XZ1514	-0.0004303
XZ1516	-0.00036728
