strain	median
AB1	-0.00098761
BRC20067	-0.0012027
CB4852	-0.0012464
CB4854	-0.0008075
CB4856	-0.00057951
CB4932	-0.00059861
CX11254	-0.0010871
CX11262	-0.0005111
CX11264	-0.000516
CX11271	-0.00078824
CX11276	-0.00087007
CX11285	-0.00052267
CX11292	-0.00061612
CX11307	-0.000839
CX11314	-0.00078924
CX11315	-0.0008998
DL200	-0.00039373
DL226	-0.00033924
DL238	-0.00041637
ECA246	-0.00085488
ECA248	-0.0017209
ECA250	-0.00099616
ECA251	-0.0013468
ECA252	-0.0062497
ECA259	-0.00034372
ECA348	-0.0010336
ECA349	-0.0010509
ECA36	-0.0003132
ECA363	-0.00030586
ECA372	-0.00084972
ECA396	-0.00044173
ED3005	-0.00056922
ED3011	-0.0011076
ED3012	-0.00070994
ED3017	-0.00061491
ED3040	-0.00046869
ED3046	-0.0010575
ED3048	-0.00071313
ED3049	-0.00072053
ED3052	-0.00094833
ED3073	-0.00088985
ED3077	-0.0003741
EG4347	-0.0010118
EG4349	-0.00091443
EG4724	-0.00084447
EG4725	-0.0008405
EG4946	-0.00072616
GXW1	-0.00064338
JT11398	-0.00065333
JU1088	-0.00058778
JU1172	-0.00039508
JU1200	-0.000806
JU1212	-0.0010739
JU1213	-0.00064334
JU1242	-0.0007143
JU1246	-0.00076272
JU1395	-0.00080184
JU1400	-0.00067425
JU1409	-0.00069369
JU1440	-0.00066249
JU1491	-0.0010114
JU1530	-0.00095645
JU1543	-0.00062922
JU1568	-0.00056722
JU1580	-0.00043463
JU1581	-0.00035747
JU1586	-0.00088696
JU1652	-0.00068591
JU1793	-0.0009139
JU1808	-0.00038388
JU1896	-0.00064371
JU2001	-0.00068823
JU2007	-0.0007008
JU2131	-0.000904
JU2141	-0.0015008
JU2234	-0.00081293
JU2464	-0.0016461
JU2466	-0.00075485
JU2513	-0.0006998
JU2519	-0.00072559
JU2522	-0.00066567
JU2526	-0.00066843
JU2534	-0.0005232
JU2565	-0.00045922
JU2566	-0.00066574
JU2578	-0.00075966
JU258	-0.00056582
JU2587	-0.00095594
JU2593	-0.00088533
JU2600	-0.00042553
JU2800	-0.00053573
JU2862	-0.00037388
JU2866	-0.00065072
JU2878	-0.0010387
JU2879	-0.00062595
JU2906	-0.0010227
JU310	-0.00088588
JU311	-0.0009018
JU3125	-0.0003295
JU3127	-0.0010356
JU3134	-0.00055934
JU3135	-0.00035767
JU3137	-0.00051942
JU3140	-0.00033672
JU323	-0.00082951
JU346	-0.0014238
JU360	-0.00060162
JU367	-0.00090524
JU393	-0.00053334
JU394	-0.0017716
JU397	-0.0002589
JU406	-0.00077459
JU440	-0.00065169
JU561	-0.00064042
JU642	-0.00072881
JU751	-0.00039935
JU774	-0.00049277
JU775	-0.00084872
JU778	-0.00054788
JU782	-0.00094028
JU792	-0.00074565
JU830	-0.00060508
JU847	-0.00049681
KR314	-0.00082004
LKC34	-0.00085586
LSJ1	-0.00073349
MY1	-0.0018661
MY10	-0.00071982
MY16	-0.00044948
MY18	-0.00091753
MY2212	-0.00097424
MY23	-0.00039154
MY2453	-0.00061681
MY2530	-0.00064587
MY2535	-0.00061141
MY2573	-0.00088072
MY2693	-0.0004372
MY2741	-0.00055524
MY679	-0.00070071
MY920	-0.00095343
N2	-0.0059658
NIC1	-0.00050007
NIC1107	-0.00039816
NIC166	-0.00058125
NIC195	-0.00045988
NIC199	-0.00067987
NIC2	-0.00078583
NIC207	-0.00043648
NIC231	-0.0013359
NIC236	-0.00049509
NIC242	-0.00083108
NIC251	-0.00042016
NIC252	-0.00038954
NIC255	-0.00089391
NIC256	-0.00070671
NIC258	-0.00084425
NIC259	-0.00065646
NIC260	-0.00068482
NIC261	-0.00079506
NIC262	-0.00031618
NIC265	-0.00076567
NIC266	-0.00062417
NIC267	-0.0014325
NIC268	-0.00025208
NIC269	-0.00045458
NIC271	-0.001507
NIC272	-0.0010395
NIC274	-0.00056733
NIC275	-0.00074375
NIC276	-0.00073684
NIC277	-0.00058417
NIC3	-0.0009498
NIC513	-0.00076229
NIC514	-0.00060179
NIC522	-0.00090067
NIC523	-0.00076701
PB303	-0.00050985
PS2025	-0.00073752
PX179	-0.00056985
QG2075	-0.00096426
QG536	-0.0005733
QG556	-0.00081025
QG557	-0.00038395
QW947	-0.00079962
QX1212	-0.00067067
QX1233	-0.00065255
QX1791	-0.00087937
QX1792	-0.00035021
QX1793	-0.00089448
QX1794	-0.00077451
RC301	-0.00037846
WN2001	-0.00036136
WN2002	-0.00094926
WN2033	-0.00043399
XZ1513	-0.00036959
XZ1514	-0.00049988
XZ1516	-0.00043603
