strain	median
AB1	-0.00040841
BRC20067	-0.00073027
CB4852	-0.0011796
CB4854	-0.00066857
CB4856	-0.00047949
CB4932	-0.00042586
CX11254	-0.0007384
CX11262	-0.00039924
CX11264	-0.00048349
CX11271	-0.00075277
CX11276	-0.00069745
CX11285	-0.00042313
CX11292	-0.00055181
CX11307	-0.00057852
CX11314	-0.00052891
CX11315	-0.00067413
DL200	-0.00033398
DL226	-0.00031068
DL238	-0.00038006
ECA246	-0.00056622
ECA248	-0.0014049
ECA250	-0.0005571
ECA251	-0.00084706
ECA252	-0.0047805
ECA259	-0.00030068
ECA348	-0.00077553
ECA349	-0.00070796
ECA36	-0.00023883
ECA363	-0.00032153
ECA372	-0.00066792
ECA396	-0.00030679
ED3005	-0.0004126
ED3011	-0.00061247
ED3012	-0.000549
ED3017	-0.00042887
ED3040	-0.00026153
ED3046	-0.00073778
ED3048	-0.00060202
ED3049	-0.00045241
ED3052	-0.00045998
ED3073	-0.00066494
ED3077	-0.00028534
EG4347	-0.00061147
EG4349	-0.00058353
EG4724	-0.00075466
EG4725	-0.00079235
EG4946	-0.00047337
GXW1	-0.00047847
JT11398	-0.00059822
JU1088	-0.00049125
JU1172	-0.00022434
JU1200	-0.00065604
JU1212	-0.00082802
JU1213	-0.00045925
JU1242	-0.00066168
JU1246	-0.00072479
JU1395	-0.00057381
JU1400	-0.00043159
JU1409	-0.0004258
JU1440	-0.00047213
JU1491	-0.0008628
JU1530	-0.00057588
JU1543	-0.00044559
JU1568	-0.0005376
JU1580	-0.00054306
JU1581	-0.00030145
JU1586	-0.00062538
JU1652	-0.00072503
JU1793	-0.00082246
JU1808	-0.00034252
JU1896	-0.00068028
JU2001	-0.00057682
JU2007	-0.0003545
JU2131	-0.00056133
JU2141	-0.00075822
JU2234	-0.00044285
JU2464	-0.0010071
JU2466	-0.00080563
JU2513	-0.00062576
JU2519	-0.00062909
JU2522	-0.00057261
JU2526	-0.00056109
JU2534	-0.00043679
JU2565	-0.00039347
JU2566	-0.00042979
JU2578	-0.00063728
JU258	-0.00030412
JU2587	-0.00092536
JU2593	-0.00068051
JU2600	-0.00024007
JU2800	-0.00035636
JU2862	-0.00031354
JU2866	-0.00043851
JU2878	-0.00063846
JU2879	-0.00041138
JU2906	-0.00074465
JU310	-0.00071322
JU311	-0.00044869
JU3125	-0.00021149
JU3127	-0.00069146
JU3134	-0.00055268
JU3135	-0.00030302
JU3137	-0.00043345
JU3140	-0.00026952
JU323	-0.00072588
JU346	-0.0011467
JU360	-0.00042507
JU367	-0.0006893
JU393	-0.00043018
JU394	-0.0010722
JU397	-0.00026388
JU406	-0.00056402
JU440	-0.00042692
JU561	-0.00060575
JU642	-0.00057694
JU751	-0.00013574
JU774	-0.00035622
JU775	-0.0005819
JU778	-0.00021749
JU782	-0.00092152
JU792	-0.00058314
JU830	-0.0004123
JU847	-0.00039135
KR314	-0.00070336
LKC34	-0.00060681
LSJ1	-0.00076759
MY1	-0.0015786
MY10	-0.00064894
MY16	-0.00052312
MY18	-0.00028249
MY2212	-0.00074939
MY23	-0.00030567
MY2453	-0.00039743
MY2530	-0.00064487
MY2535	-0.00050035
MY2573	-0.00078904
MY2693	-0.00027965
MY2741	-0.00041304
MY679	-0.0006605
MY920	-0.00085062
N2	-0.0052106
NIC1	-0.00037714
NIC1107	-0.00016807
NIC166	-0.00034229
NIC195	-0.00033818
NIC199	-0.00060972
NIC2	-0.00051543
NIC207	-0.00023965
NIC231	-0.0012084
NIC236	-0.0003251
NIC242	-0.00063074
NIC251	-0.0004307
NIC252	-0.00026083
NIC255	-0.00050463
NIC256	-0.00055023
NIC258	-0.00088699
NIC259	-0.00042258
NIC260	-0.00046741
NIC261	-0.00061794
NIC262	-0.00020114
NIC265	-0.00073191
NIC266	-0.00061537
NIC267	-0.0012819
NIC268	-0.00024193
NIC269	-0.00022179
NIC271	-0.00075977
NIC272	-0.00070902
NIC274	-0.00029733
NIC275	-0.00050263
NIC276	-0.00050254
NIC277	-0.00033049
NIC3	-0.0008336
NIC513	-0.00063324
NIC514	-0.00046012
NIC522	-0.0006798
NIC523	-0.00060238
PB303	-0.00041662
PS2025	-0.00047229
PX179	-0.00049857
QG2075	-0.00085847
QG536	-0.00046662
QG556	-0.0005387
QG557	-0.00026151
QW947	-0.00063222
QX1212	-0.00057068
QX1233	-0.00055112
QX1791	-0.00063379
QX1792	-0.00021504
QX1793	-0.00071465
QX1794	-0.00055112
RC301	-0.0003902
WN2001	-0.00038123
WN2002	-0.00057592
WN2033	-0.00040365
XZ1513	-0.00023648
XZ1514	-0.0004017
XZ1516	-0.00033253
