strain	median
AB1	0.62968
BRC20067	0.17
CB4852	0.56322
CB4854	0.34372
CB4856	0.54507
CB4932	0.54688
CX11254	0.54464
CX11262	-0.26211
CX11264	0.20064
CX11271	0.62269
CX11276	0.30839
CX11285	-0.28599
CX11292	0.37733
CX11307	0.30021
CX11314	1.0361
CX11315	0.50195
DL200	0.19579
DL226	0.47788
DL238	0.72223
ECA246	0.86601
ECA248	0.3112
ECA250	-0.21665
ECA251	0.4059
ECA252	0.14799
ECA259	0.90617
ECA348	-0.10443
ECA349	0.25129
ECA36	0.98423
ECA363	0.54431
ECA372	0.55845
ECA396	0.35271
ED3005	0.29088
ED3011	0.65612
ED3012	0.24377
ED3017	0.88106
ED3040	0.46267
ED3046	0.084188
ED3048	0.70889
ED3049	0.30452
ED3052	0.90746
ED3073	0.5338
ED3077	0.50123
EG4347	0.42035
EG4349	0.59921
EG4724	0.18322
EG4725	0.63552
EG4946	0.42827
GXW1	0.74754
JT11398	0.42566
JU1088	0.4783
JU1172	0.77919
JU1200	0.49485
JU1212	0.47039
JU1213	0.68596
JU1242	0.7464
JU1246	-0.093973
JU1395	0.26409
JU1400	0.69737
JU1409	0.14266
JU1440	0.30408
JU1491	0.64698
JU1530	0.66886
JU1543	0.46894
JU1568	0.52809
JU1580	0.1585
JU1581	0.43674
JU1586	0.77237
JU1652	0.12657
JU1793	0.53191
JU1808	0.21383
JU1896	0.5489
JU2001	0.23517
JU2007	0.34135
JU2131	0.66839
JU2141	0.80631
JU2234	0.66414
JU2464	0.45504
JU2466	0.49341
JU2513	0.82612
JU2519	0.16085
JU2522	0.40116
JU2526	0.98331
JU2534	0.32089
JU2565	0.20799
JU2566	0.87725
JU2578	0.34254
JU258	0.51333
JU2587	0.52526
JU2593	0.76614
JU2600	1.1293
JU2800	0.30723
JU2862	0.22344
JU2866	0.93902
JU2878	0.35171
JU2879	1.2626
JU2906	-0.2097
JU310	0.71557
JU311	0.89051
JU3125	0.58272
JU3127	0.63111
JU3134	0.67971
JU3135	0.41397
JU3137	-0.011487
JU3140	0.34217
JU323	0.51822
JU346	0.12458
JU360	2.5237
JU367	0.41327
JU393	0.48294
JU394	0.60463
JU397	1.1094
JU406	0.74963
JU440	0.7535
JU561	0.69025
JU642	0.63652
JU751	0.70041
JU774	0.57431
JU775	0.55107
JU778	0.43845
JU782	0.54863
JU792	0.52841
JU830	0.46136
JU847	0.607
KR314	0.34326
LKC34	0.47945
LSJ1	-0.086776
MY1	0.65539
MY10	0.7047
MY16	0.70977
MY18	0.36108
MY2212	0.59204
MY23	0.84415
MY2453	0.65376
MY2530	0.13504
MY2535	0.68037
MY2573	0.27633
MY2693	0.28866
MY2741	0.62279
MY679	0.20223
MY920	0.36587
N2	0.12855
NIC1	0.41984
NIC1107	-0.036762
NIC166	0.23491
NIC195	0.57557
NIC199	0.68334
NIC2	0.75688
NIC207	0.51019
NIC231	-0.059868
NIC236	0.6238
NIC242	0.65866
NIC251	0.9595
NIC252	0.26808
NIC255	0.23204
NIC256	0.23072
NIC258	0.12462
NIC259	-0.078491
NIC260	0.54709
NIC261	0.70469
NIC262	0.32397
NIC265	0.73179
NIC266	0.41274
NIC267	0.36984
NIC268	0.80964
NIC269	0.80863
NIC271	1.1904
NIC272	0.43205
NIC274	0.41688
NIC275	0.38543
NIC276	0.66948
NIC277	0.65583
NIC3	0.4677
NIC513	0.34521
NIC514	0.30992
NIC522	0.33267
NIC523	0.16573
PB303	0.66423
PS2025	0.30168
PX179	0.69581
QG2075	0.47766
QG536	0.77217
QG556	0.30798
QG557	0.1452
QW947	0.49917
QX1212	0.43747
QX1233	0.43877
QX1791	0.27903
QX1792	0.43056
QX1793	0.80774
QX1794	0.18404
RC301	0.7312
WN2001	0.88339
WN2002	0.5693
WN2033	0.30396
XZ1513	0.13272
XZ1514	0.1975
XZ1516	0.52099
