strain	median
AB1	0.36388
BRC20067	0.2271
CB4852	0.56172
CB4854	0.099098
CB4856	0.25009
CB4932	0.33032
CX11254	0.41067
CX11262	0.1039
CX11264	-0.054892
CX11271	0.37089
CX11276	-0.048353
CX11285	-0.0021091
CX11292	0.44047
CX11307	0.26838
CX11314	0.43754
CX11315	0.36096
DL200	0.0089602
DL226	0.13355
DL238	0.37518
ECA246	0.41083
ECA248	0.52904
ECA250	0.38001
ECA251	0.52171
ECA252	0.090213
ECA259	0.27742
ECA348	0.18917
ECA349	0.14998
ECA36	0.30719
ECA363	-0.25441
ECA372	0.33869
ECA396	-0.080199
ED3005	0.20722
ED3011	0.37289
ED3012	0.27723
ED3017	0.006242
ED3040	0.23892
ED3046	0.28146
ED3048	0.097717
ED3049	0.16868
ED3052	0.41666
ED3073	0.24258
ED3077	-0.015737
EG4347	0.39891
EG4349	0.41449
EG4724	0.21336
EG4725	0.21589
EG4946	0.3682
GXW1	0.37752
JT11398	0.35199
JU1088	0.19643
JU1172	0.28113
JU1200	0.15931
JU1212	0.45428
JU1213	0.35878
JU1242	0.41927
JU1246	0.13857
JU1395	0.31159
JU1400	-0.086688
JU1409	0.35861
JU1440	0.10627
JU1491	0.37865
JU1530	0.48412
JU1543	0.099247
JU1568	0.15362
JU1580	0.16507
JU1581	0.38261
JU1586	0.16336
JU1652	0.4456
JU1793	-0.10932
JU1808	-0.040736
JU1896	0.46745
JU2001	-0.0016683
JU2007	0.45626
JU2131	0.53393
JU2141	0.27368
JU2234	0.32839
JU2464	0.16891
JU2466	0.27649
JU2513	0.39717
JU2519	0.14799
JU2522	0.11108
JU2526	0.49221
JU2534	0.15302
JU2565	0.033676
JU2566	0.20564
JU2578	0.21673
JU258	0.15659
JU2587	0.40041
JU2593	0.51596
JU2600	0.011835
JU2800	0.036297
JU2862	0.24502
JU2866	0.047872
JU2878	0.32775
JU2879	0.31607
JU2906	0.21254
JU310	0.30891
JU311	0.28359
JU3125	0.28923
JU3127	0.73688
JU3134	0.26397
JU3135	-0.079452
JU3137	0.15084
JU3140	0.25316
JU323	0.33758
JU346	0.47259
JU360	0.35912
JU367	0.37416
JU393	0.084912
JU394	0.24039
JU397	0.08681
JU406	0.18022
JU440	0.28065
JU561	0.14172
JU642	0.011601
JU751	-0.0026529
JU774	0.011865
JU775	0.50181
JU778	0.12881
JU782	0.36713
JU792	0.52601
JU830	0.33589
JU847	0.093942
KR314	0.40183
LKC34	0.31564
LSJ1	0.22499
MY1	0.40655
MY10	0.12484
MY16	0.16509
MY18	0.049122
MY2212	0.57457
MY23	0.41584
MY2453	-0.022441
MY2530	0.37959
MY2535	0.27875
MY2573	0.49352
MY2693	0.10072
MY2741	0.20212
MY679	0.12878
MY920	0.1463
N2	0.075524
NIC1	0.070699
NIC1107	0.092194
NIC166	0.28392
NIC195	0.23681
NIC199	0.28682
NIC2	0.053062
NIC207	0.25719
NIC231	0.12671
NIC236	0.2812
NIC242	0.47273
NIC251	-0.12494
NIC252	0.33845
NIC255	0.14831
NIC256	0.14335
NIC258	-0.0016895
NIC259	0.10333
NIC260	0.29563
NIC261	0.72559
NIC262	0.00045967
NIC265	0.40502
NIC266	0.3916
NIC267	0.19766
NIC268	0.2126
NIC269	0.084018
NIC271	0.60153
NIC272	0.38018
NIC274	0.22102
NIC275	0.35841
NIC276	0.17196
NIC277	0.28597
NIC3	0.25962
NIC513	0.29742
NIC514	0.32979
NIC522	0.14196
NIC523	0.264
PB303	0.34141
PS2025	0.33963
PX179	0.38356
QG2075	0.26186
QG536	0.18976
QG556	0.36095
QG557	0.46358
QW947	0.20276
QX1212	0.39142
QX1233	0.23342
QX1791	0.21295
QX1792	0.0622
QX1793	0.35655
QX1794	0.44888
RC301	0.037751
WN2001	0.49469
WN2002	0.46528
WN2033	0.10896
XZ1513	0.64537
XZ1514	0.17288
XZ1516	0.29316
