strain	median
AB1	-0.047955
BRC20067	-0.2608
CB4852	-0.58178
CB4854	-0.97781
CB4856	-1.025
CB4932	-0.99124
CX11254	-0.41514
CX11262	-1.9791
CX11264	-0.23423
CX11271	-0.74118
CX11276	-0.020771
CX11285	-1.6181
CX11292	-0.82075
CX11307	-0.01782
CX11314	-1.4439
CX11315	-0.8578
DL200	-0.53146
DL226	-0.64581
DL238	-0.40557
ECA246	-0.40775
ECA248	-0.99421
ECA250	-0.22048
ECA251	-1.2638
ECA252	0.33397
ECA259	-1.4302
ECA348	-0.06047
ECA349	-0.28698
ECA36	-0.75142
ECA363	0.48657
ECA372	-0.55744
ECA396	-1.8527
ED3005	-0.2131
ED3011	-0.15067
ED3012	-1.1186
ED3017	-0.82716
ED3040	-1.175
ED3046	-0.74814
ED3048	-0.89832
ED3049	-1.1065
ED3052	-0.99735
ED3073	-0.55301
ED3077	-0.91445
EG4347	-0.99077
EG4349	-0.8064
EG4724	-0.076132
EG4725	-0.76813
EG4946	-1.2925
GXW1	-0.44576
JT11398	-0.95218
JU1088	-0.21256
JU1172	-1.7287
JU1200	0.040457
JU1212	-0.69654
JU1213	-1.3002
JU1242	-1.094
JU1246	-1.397
JU1395	-0.36625
JU1400	-0.31773
JU1409	-1.7577
JU1440	-0.85715
JU1491	-1.3629
JU1530	-1.4557
JU1543	0.63867
JU1568	-0.07963
JU1580	-0.30966
JU1581	-0.80675
JU1586	-0.74457
JU1652	-0.9446
JU1793	-1.4154
JU1808	0.08889
JU1896	-1.0955
JU2001	-0.3588
JU2007	-1.846
JU2131	-0.88045
JU2141	-0.9636
JU2234	-0.5324
JU2464	0.01699
JU2466	-0.44908
JU2513	-2.0751
JU2519	0.00095558
JU2522	-0.009263
JU2526	-1.2447
JU2534	-1.1383
JU2565	0.28944
JU2566	-0.87808
JU2578	0.063575
JU258	-0.5992
JU2587	-0.52208
JU2593	-1.6722
JU2600	-0.54349
JU2800	-1.3594
JU2862	-0.53308
JU2866	-0.94931
JU2878	-0.7039
JU2879	-0.27707
JU2906	0.10036
JU310	0.022439
JU311	-0.84186
JU3125	0.078418
JU3127	-1.1451
JU3134	-1.2745
JU3135	-0.27329
JU3137	-0.52715
JU3140	-0.34654
JU323	-0.43205
JU346	-0.33649
JU360	-1.6785
JU367	-0.87018
JU393	-0.60616
JU394	-1.2228
JU397	0.21007
JU406	-0.32538
JU440	-1.025
JU561	-0.41805
JU642	-0.6452
JU751	-0.018971
JU774	-0.45146
JU775	-2.0207
JU778	-0.21543
JU782	-0.63275
JU792	-0.47745
JU830	0.29755
JU847	-0.99262
KR314	-0.90576
LKC34	-0.98979
LSJ1	-0.59728
MY1	-0.66682
MY10	-1.2468
MY16	-0.38835
MY18	-0.93571
MY2212	-1.8288
MY23	-1.4036
MY2453	-0.87715
MY2530	-0.86511
MY2535	-0.86503
MY2573	-1.6315
MY2693	-0.25342
MY2741	-1.2995
MY679	-0.92065
MY920	-0.62425
N2	0.072458
NIC1	-0.75406
NIC1107	-0.459
NIC166	-0.75239
NIC195	-0.45885
NIC199	-1.2928
NIC2	0.11907
NIC207	-0.71286
NIC231	-0.32738
NIC236	-1.2943
NIC242	-1.2245
NIC251	0.45491
NIC252	-0.5397
NIC255	-0.25021
NIC256	-0.52301
NIC258	0.30974
NIC259	-1.0736
NIC260	-0.0042858
NIC261	-1.6531
NIC262	-1.0568
NIC265	-1.4477
NIC266	-1.4052
NIC267	-1.2522
NIC268	-0.27141
NIC269	-0.48925
NIC271	-1.8592
NIC272	-0.91185
NIC274	-0.42569
NIC275	-0.53426
NIC276	-1.859
NIC277	-1.4491
NIC3	-0.40489
NIC513	-1.1399
NIC514	-0.53913
NIC522	-1.7098
NIC523	-0.34908
PB303	0.23707
PS2025	-1.3143
PX179	-0.83551
QG2075	-1.0299
QG536	-1.4044
QG556	-0.86191
QG557	-0.94682
QW947	-0.65933
QX1212	-0.4766
QX1233	0.29007
QX1791	-0.63148
QX1792	0.38691
QX1793	-2.4245
QX1794	-0.47468
RC301	-0.35214
WN2001	-1.4791
WN2002	-0.35399
WN2033	-0.13534
XZ1513	-0.69773
XZ1514	0.44101
XZ1516	-1.7947
