strain	median
AB1	0.015518
BRC20067	0.024719
CB4852	0.03926
CB4854	0.02824
CB4856	0.026115
CB4932	0.018473
CX11254	0.021023
CX11262	0.016845
CX11264	0.016785
CX11271	0.039148
CX11276	0.032173
CX11285	0.026521
CX11292	0.015275
CX11307	0.01747
CX11314	0.029189
CX11315	0.023542
DL200	0.021695
DL226	0.027094
DL238	0.030643
ECA246	0.027251
ECA248	0.022027
ECA250	0.023833
ECA251	0.025362
ECA252	0.029904
ECA259	0.045375
ECA348	0.0091244
ECA349	0.013346
ECA36	0.043936
ECA363	0.02175
ECA372	0.038024
ECA396	0.024249
ED3005	0.027173
ED3011	0.03537
ED3012	0.028426
ED3017	0.033697
ED3040	0.026094
ED3046	0.024235
ED3048	0.040878
ED3049	0.034141
ED3052	0.040112
ED3073	0.022735
ED3077	0.023117
EG4347	0.025764
EG4349	0.022744
EG4724	0.024578
EG4725	0.020926
EG4946	0.019616
GXW1	0.021257
JT11398	0.021282
JU1088	0.036228
JU1172	0.028599
JU1200	0.02079
JU1212	0.019912
JU1213	0.026064
JU1242	0.025275
JU1246	0.029799
JU1395	0.025539
JU1400	0.01865
JU1409	0.0416
JU1440	0.019916
JU1491	0.028272
JU1530	0.027168
JU1543	0.012997
JU1568	0.022647
JU1580	0.022577
JU1581	0.049779
JU1586	0.027139
JU1652	0.020886
JU1793	0.015915
JU1808	0.014029
JU1896	0.02494
JU2001	0.014229
JU2007	0.023437
JU2131	0.020739
JU2141	0.023861
JU2234	0.024985
JU2464	0.011259
JU2466	0.020569
JU2513	0.033338
JU2519	0.02401
JU2522	0.018376
JU2526	0.028453
JU2534	0.032496
JU2565	0.015514
JU2566	0.027224
JU2578	0.0092976
JU258	0.03906
JU2587	0.01446
JU2593	0.02886
JU2600	0.039894
JU2800	0.025607
JU2862	0.027893
JU2866	0.029603
JU2878	0.029557
JU2879	0.040157
JU2906	0.022027
JU310	0.007102
JU311	0.034117
JU3125	0.028954
JU3127	0.027493
JU3134	0.01833
JU3135	0.026678
JU3137	0.021064
JU3140	0.0171
JU323	0.036996
JU346	0.023806
JU360	0.035764
JU367	0.026331
JU393	0.018862
JU394	0.019261
JU397	0.047083
JU406	0.033064
JU440	0.030946
JU561	0.027512
JU642	0.033978
JU751	0.023576
JU774	0.041786
JU775	0.030159
JU778	0.036142
JU782	0.028817
JU792	0.027694
JU830	0.023805
JU847	0.027668
KR314	0.018915
LKC34	0.03306
LSJ1	0.030779
MY1	0.025142
MY10	0.010108
MY16	0.037523
MY18	0.019042
MY2212	0.022445
MY23	0.048589
MY2453	0.025524
MY2530	0.018749
MY2535	0.02893
MY2573	0.023649
MY2693	0.02201
MY2741	0.018528
MY679	0.022209
MY920	0.021488
N2	0.029146
NIC1	0.02293
NIC1107	0.013967
NIC166	0.036686
NIC195	0.05631
NIC199	0.037471
NIC2	0.043
NIC207	0.026439
NIC231	0.018871
NIC236	0.044098
NIC242	0.030351
NIC251	0.016722
NIC252	0.040352
NIC255	0.01631
NIC256	0.029071
NIC258	0.016026
NIC259	0.027646
NIC260	0.037006
NIC261	0.024947
NIC262	0.010635
NIC265	0.016283
NIC266	0.030362
NIC267	0.03394
NIC268	0.043591
NIC269	0.032919
NIC271	0.033635
NIC272	0.015574
NIC274	0.034781
NIC275	0.023872
NIC276	0.031617
NIC277	0.04277
NIC3	0.02788
NIC513	0.024274
NIC514	0.025703
NIC522	0.031664
NIC523	0.033019
PB303	0.033331
PS2025	0.015552
PX179	0.019797
QG2075	0.014031
QG536	0.036957
QG556	0.024781
QG557	0.033103
QW947	0.033827
QX1212	0.019521
QX1233	0.025009
QX1791	0.035905
QX1792	0.013479
QX1793	0.017824
QX1794	0.033994
RC301	0.019333
WN2001	0.026538
WN2002	0.029278
WN2033	0.023264
XZ1513	0.01249
XZ1514	0.013983
XZ1516	0.024164
