strain	median
AB1	-21.0523
BRC20067	-6.8538
CB4852	-12.0271
CB4854	-10.4304
CB4856	-9.7483
CB4932	-9.2848
CX11254	-33.3309
CX11262	-1.867
CX11264	-16.0137
CX11271	-10.6919
CX11276	-11.8928
CX11285	-8.6436
CX11292	-11.6882
CX11307	-18.3712
CX11314	-17.3209
CX11315	-28.9201
DL200	-4.0852
DL226	-18.9785
DL238	-12.9089
ECA246	-8.114
ECA248	-23.6096
ECA250	-9.5734
ECA251	-18.8404
ECA252	-20.8979
ECA259	-16.4273
ECA348	-25.7644
ECA349	-16.5563
ECA36	-3.0142
ECA363	-3.2276
ECA372	-13.4259
ECA396	3.6031
ED3005	-18.6422
ED3011	-7.6388
ED3012	-9.0804
ED3017	-6.9673
ED3040	-15.5912
ED3046	-14.8011
ED3048	-10.4468
ED3049	-15.1386
ED3052	-20.5304
ED3073	-13.3883
ED3077	-7.1241
EG4347	-17.7571
EG4349	-24.4761
EG4724	1.636
EG4725	-12.8836
EG4946	-5.2333
GXW1	-20.4939
JT11398	-9.002
JU1088	-6.431
JU1172	-17.0656
JU1200	-8.4669
JU1212	-13.7167
JU1213	-17.7208
JU1242	-17.278
JU1246	-8.8368
JU1395	-17.7413
JU1400	-16.2124
JU1409	-17.0461
JU1440	-1.2638
JU1491	-33.3108
JU1530	-19.5167
JU1543	-2.5855
JU1568	-12.7388
JU1580	-18.4224
JU1581	-4.311
JU1586	-19.871
JU1652	-15.9586
JU1793	-1.3858
JU1808	-7.7006
JU1896	-26.3504
JU2001	-16.2672
JU2007	-13.7357
JU2131	-13.4136
JU2141	-23.7236
JU2234	-9.2995
JU2464	-10.9924
JU2466	-18.9826
JU2513	-10.767
JU2519	-12.9397
JU2522	-12.5007
JU2526	-10.9847
JU2534	-8.8799
JU2565	-10.3886
JU2566	-15.2881
JU2578	-14.7014
JU258	-14.8299
JU2587	-38.0486
JU2593	-21.8118
JU2600	-14.5078
JU2800	-15.0814
JU2862	-2.1335
JU2866	-12.5224
JU2878	-7.9435
JU2879	-9.6769
JU2906	6.362
JU310	-12.7366
JU311	-13.717
JU3125	-17.6306
JU3127	-22.2192
JU3134	-18.2202
JU3135	-8.5725
JU3137	-8.6978
JU3140	-26.5391
JU323	-11.7528
JU346	-26.052
JU360	-13.9287
JU367	-21.3145
JU393	-8.7699
JU394	-17.1119
JU397	-11.345
JU406	-12.9831
JU440	-2.7488
JU561	-28.0422
JU642	-13.748
JU751	-22.5963
JU774	-20.6569
JU775	-24.9963
JU778	-13.7508
JU782	-13.5927
JU792	-19.83
JU830	-8.7379
JU847	-12.9366
KR314	-12.924
LKC34	-16.2475
LSJ1	-17.4668
MY1	-36.5147
MY10	-0.69139
MY16	-7.6786
MY18	3.2097
MY2212	-17.0995
MY23	-10.1742
MY2453	-17.5508
MY2530	-6.5337
MY2535	-21.0427
MY2573	-18.2006
MY2693	-1.9935
MY2741	-8.0306
MY679	-7.7074
MY920	-23.666
N2	-12.4722
NIC1	-20.7822
NIC1107	-18.8819
NIC166	-11.0102
NIC195	-6.9912
NIC199	-9.08
NIC2	-6.2219
NIC207	-8.9505
NIC231	-16.6234
NIC236	-10.0328
NIC242	-10.5846
NIC251	0.47334
NIC252	-2.0076
NIC255	-16.8794
NIC256	-8.9881
NIC258	-1.3012
NIC259	-3.0739
NIC260	-7.7151
NIC261	-21.3868
NIC262	-16.8951
NIC265	-24.4373
NIC266	-14.5627
NIC267	-2.5288
NIC268	-3.0756
NIC269	-0.63058
NIC271	-24.6466
NIC272	-4.258
NIC274	-14.9811
NIC275	-12.953
NIC276	-11.4489
NIC277	-9.2183
NIC3	-18.1544
NIC513	-20.4606
NIC514	-7.5923
NIC522	-18.9319
NIC523	-18.0981
PB303	-10.1502
PS2025	-15.2116
PX179	-16.6292
QG2075	-16.0457
QG536	-8.8292
QG556	-13.1515
QG557	-8.4717
QW947	-9.8695
QX1212	-20.5033
QX1233	-10.0257
QX1791	-16.2626
QX1792	-3.8839
QX1793	-27.0415
QX1794	-23.5786
RC301	-5.3609
WN2001	-9.2424
WN2002	-7.2726
WN2033	3.1079
XZ1513	-16.5514
XZ1514	-3.5353
XZ1516	-1.6158
