strain	median
AB1	-0.0017217
BRC20067	-0.038587
CB4852	0.0079729
CB4854	-0.057326
CB4856	-0.081461
CB4932	-0.023625
CX11254	-0.023185
CX11262	-0.13211
CX11264	-0.0033275
CX11271	-0.015535
CX11276	-0.067085
CX11285	-0.15227
CX11292	-0.055493
CX11307	0.022458
CX11314	-0.00343
CX11315	0.0084593
DL200	-0.024016
DL226	-0.068371
DL238	0.031528
ECA246	0.01618
ECA248	-0.10832
ECA250	-0.072877
ECA251	-0.05486
ECA252	0.00092009
ECA259	-0.045223
ECA348	0.072777
ECA349	-0.053686
ECA36	-0.12494
ECA363	-0.077883
ECA372	-0.045269
ECA396	-0.21801
ED3005	0.0015104
ED3011	-0.060265
ED3012	-0.03508
ED3017	-0.061948
ED3040	-0.055947
ED3046	-0.027932
ED3048	-0.031547
ED3049	-0.032003
ED3052	-0.044076
ED3073	-0.0057658
ED3077	-0.079586
EG4347	-0.06081
EG4349	0.014247
EG4724	-0.028023
EG4725	-0.019312
EG4946	-0.026344
GXW1	-0.037896
JT11398	-0.032367
JU1088	-0.050166
JU1172	-0.11716
JU1200	-0.029102
JU1212	-0.065672
JU1213	-0.10699
JU1242	0.0090641
JU1246	-0.072711
JU1395	-0.0044698
JU1400	-0.015083
JU1409	-0.1001
JU1440	-0.038166
JU1491	-0.021568
JU1530	-0.064134
JU1543	-0.0082445
JU1568	0.011499
JU1580	-0.050006
JU1581	-0.12251
JU1586	-0.044824
JU1652	-0.070158
JU1793	-0.021413
JU1808	-0.024878
JU1896	-0.063823
JU2001	-0.043323
JU2007	-0.036642
JU2131	-0.020897
JU2141	-0.032126
JU2234	-0.064216
JU2464	-0.0043337
JU2466	-0.002718
JU2513	-0.063167
JU2519	-0.035735
JU2522	-0.068144
JU2526	-0.11152
JU2534	-0.047851
JU2565	-0.020447
JU2566	-0.083967
JU2578	-0.042351
JU258	-0.055497
JU2587	-0.00025976
JU2593	-0.050142
JU2600	-0.066104
JU2800	-0.049085
JU2862	-0.094513
JU2866	-0.055555
JU2878	-0.050488
JU2879	-0.084781
JU2906	0.011517
JU310	0.0052993
JU311	-0.050978
JU3125	-0.002949
JU3127	-0.013534
JU3134	-0.058041
JU3135	-0.086294
JU3137	-0.048887
JU3140	-0.076268
JU323	-0.02665
JU346	0.0048687
JU360	-0.12526
JU367	-0.042754
JU393	-0.051033
JU394	0.0017533
JU397	-0.036881
JU406	-0.0033258
JU440	-0.079108
JU561	-0.062953
JU642	-0.063571
JU751	-0.043517
JU774	-0.066976
JU775	-0.025321
JU778	-0.055484
JU782	-0.017818
JU792	-0.050463
JU830	-0.041718
JU847	-0.055006
KR314	-0.0010065
LKC34	-0.048987
LSJ1	-0.029535
MY1	-0.0046003
MY10	-0.033641
MY16	-0.060888
MY18	-0.1308
MY2212	-0.036988
MY23	-0.066424
MY2453	-0.036403
MY2530	-0.026786
MY2535	-0.046903
MY2573	-0.038252
MY2693	0.011123
MY2741	-0.061316
MY679	0.026083
MY920	-0.038066
N2	0.018773
NIC1	-0.070723
NIC1107	-0.067098
NIC166	-0.06544
NIC195	-0.10351
NIC199	-0.048986
NIC2	-0.056833
NIC207	-0.081252
NIC231	-0.069951
NIC236	-0.022152
NIC242	-0.053764
NIC251	-0.050458
NIC252	-0.13182
NIC255	-0.080743
NIC256	-0.080221
NIC258	-0.012642
NIC259	-0.1285
NIC260	0.029633
NIC261	-0.069706
NIC262	-0.064039
NIC265	-0.037251
NIC266	-0.0011957
NIC267	-0.056008
NIC268	-0.12039
NIC269	-0.071119
NIC271	-0.027586
NIC272	0.016768
NIC274	-0.070732
NIC275	-0.018561
NIC276	0.0052657
NIC277	-0.098417
NIC3	-0.052648
NIC513	-0.079338
NIC514	-0.045111
NIC522	-0.041497
NIC523	-0.020346
PB303	-0.003456
PS2025	-0.038488
PX179	-0.04383
QG2075	-0.03366
QG536	-0.10469
QG556	-0.021979
QG557	-0.091452
QW947	-0.067763
QX1212	0.012479
QX1233	-0.026111
QX1791	-0.043926
QX1792	-0.060248
QX1793	-0.061236
QX1794	0.0019969
RC301	-0.033396
WN2001	-0.081015
WN2002	-0.081979
WN2033	-0.031005
XZ1513	0.029542
XZ1514	0.034665
XZ1516	-0.020927
