strain	median
AB1	-0.065846
BRC20067	-0.10875
CB4852	0.033668
CB4854	-0.18353
CB4856	-0.20294
CB4932	-0.034832
CX11254	-0.077215
CX11262	-0.36027
CX11264	-0.085924
CX11271	0.012011
CX11276	-0.2136
CX11285	-0.44817
CX11292	-0.14894
CX11307	0.027735
CX11314	-0.019434
CX11315	-0.057655
DL200	-0.07157
DL226	-0.20594
DL238	0.12953
ECA246	0.064987
ECA248	-0.26311
ECA250	-0.18212
ECA251	-0.077109
ECA252	-0.0037148
ECA259	-0.13106
ECA348	0.15936
ECA349	-0.12061
ECA36	-0.25594
ECA363	-0.29147
ECA372	-0.080322
ECA396	-0.6018
ED3005	0.057023
ED3011	-0.15828
ED3012	-0.055985
ED3017	-0.13483
ED3040	-0.14912
ED3046	-0.030536
ED3048	-0.10402
ED3049	-0.066867
ED3052	-0.069737
ED3073	-0.096527
ED3077	-0.1653
EG4347	-0.17345
EG4349	-0.0041364
EG4724	-0.10451
EG4725	-0.10028
EG4946	-0.060765
GXW1	-0.066937
JT11398	-0.028583
JU1088	-0.12668
JU1172	-0.29277
JU1200	-0.032578
JU1212	-0.077228
JU1213	-0.23562
JU1242	-0.021138
JU1246	-0.19091
JU1395	-0.042836
JU1400	-0.11514
JU1409	-0.33736
JU1440	-0.083949
JU1491	-0.019056
JU1530	-0.016243
JU1543	-0.11559
JU1568	0.051084
JU1580	-0.16738
JU1581	-0.29644
JU1586	-0.13638
JU1652	-0.2031
JU1793	-0.07863
JU1808	-0.15367
JU1896	-0.16775
JU2001	-0.17283
JU2007	-0.066081
JU2131	-0.06165
JU2141	-0.10021
JU2234	-0.23365
JU2464	-0.0017362
JU2466	-0.0050375
JU2513	-0.1595
JU2519	-0.11907
JU2522	-0.16729
JU2526	-0.3148
JU2534	-0.085622
JU2565	-0.075184
JU2566	-0.12487
JU2578	-0.18755
JU258	-0.12809
JU2587	-0.051407
JU2593	-0.06117
JU2600	-0.1633
JU2800	-0.164
JU2862	-0.29341
JU2866	-0.14344
JU2878	-0.21943
JU2879	-0.18347
JU2906	-0.10317
JU310	-0.017281
JU311	-0.10557
JU3125	-0.019648
JU3127	-0.036176
JU3134	-0.11923
JU3135	-0.27579
JU3137	-0.18982
JU3140	-0.16765
JU323	-0.10516
JU346	0.043071
JU360	-0.38621
JU367	-0.047627
JU393	-0.21939
JU394	-0.031852
JU397	-0.26498
JU406	0.0092255
JU440	-0.17461
JU561	-0.083648
JU642	-0.23546
JU751	-0.3319
JU774	-0.19824
JU775	-0.0092815
JU778	-0.084604
JU782	-0.057047
JU792	-0.16953
JU830	-0.036742
JU847	-0.13827
KR314	-0.02637
LKC34	-0.14419
LSJ1	-0.08609
MY1	0.036975
MY10	-0.054187
MY16	-0.1627
MY18	-0.33319
MY2212	-0.079236
MY23	-0.21084
MY2453	-0.0023147
MY2530	-0.092752
MY2535	-0.11437
MY2573	-0.12295
MY2693	-0.096977
MY2741	-0.11062
MY679	0.034592
MY920	-0.15129
N2	0.035699
NIC1	-0.16332
NIC1107	-0.15919
NIC166	-0.13506
NIC195	-0.26858
NIC199	-0.13209
NIC2	-0.19905
NIC207	-0.20214
NIC231	-0.21657
NIC236	-0.087122
NIC242	-0.14753
NIC251	-0.16692
NIC252	-0.37986
NIC255	-0.20349
NIC256	-0.18875
NIC258	-0.012569
NIC259	-0.32854
NIC260	0.03745
NIC261	-0.1818
NIC262	-0.15686
NIC265	-0.019608
NIC266	-0.024633
NIC267	-0.11433
NIC268	-0.30838
NIC269	-0.1576
NIC271	-0.031603
NIC272	0.069516
NIC274	-0.24141
NIC275	-0.045348
NIC276	0.0046648
NIC277	-0.23858
NIC3	-0.11761
NIC513	-0.16128
NIC514	-0.096988
NIC522	-0.033598
NIC523	-0.038797
PB303	-0.049664
PS2025	-0.11069
PX179	-0.0928
QG2075	-0.056629
QG536	-0.23482
QG556	-0.13095
QG557	-0.19792
QW947	-0.18084
QX1212	0.016716
QX1233	-0.06203
QX1791	-0.085139
QX1792	-0.17025
QX1793	0.016622
QX1794	0.0034528
RC301	-0.13742
WN2001	-0.17982
WN2002	-0.21973
WN2033	-0.12311
XZ1513	0.074409
XZ1514	0.060666
XZ1516	-0.067272
