strain	median
AB1	-0.024538
BRC20067	-0.060291
CB4852	-0.15648
CB4854	-0.19003
CB4856	-0.10399
CB4932	-0.12246
CX11254	-0.051703
CX11262	-0.02424
CX11264	-0.029586
CX11271	-0.21901
CX11276	-0.0096104
CX11285	-0.11038
CX11292	-0.095704
CX11307	-0.12865
CX11314	-0.080082
CX11315	-0.036986
DL200	-0.03541
DL226	-0.048096
DL238	-0.081858
ECA246	-0.082101
ECA248	-0.19823
ECA250	-0.057721
ECA251	-0.10329
ECA252	-0.043514
ECA259	-0.095524
ECA348	0.022385
ECA349	-0.010417
ECA36	-0.27451
ECA363	0.015731
ECA372	-0.075133
ECA396	-0.16673
ED3005	-0.1097
ED3011	-0.12263
ED3012	-0.12494
ED3017	-0.18092
ED3040	-0.084328
ED3046	-0.014112
ED3048	-0.088468
ED3049	-0.06688
ED3052	-0.11942
ED3073	-0.015196
ED3077	-0.14633
EG4347	-0.069462
EG4349	0.0013957
EG4724	-0.00047627
EG4725	-0.027414
EG4946	-0.16542
GXW1	-0.16995
JT11398	-0.086698
JU1088	-0.055342
JU1172	-0.10105
JU1200	-0.065454
JU1212	-0.14262
JU1213	-0.10344
JU1242	-0.066495
JU1246	-0.13341
JU1395	-0.046207
JU1400	-0.063197
JU1409	-0.19513
JU1440	-0.090894
JU1491	-0.089871
JU1530	-0.12317
JU1543	-0.031719
JU1568	-0.0087234
JU1580	-0.070919
JU1581	-0.11812
JU1586	-0.17248
JU1652	-0.061822
JU1793	-0.064834
JU1808	-0.086698
JU1896	-0.099416
JU2001	-0.069911
JU2007	-0.20853
JU2131	-0.1206
JU2141	-0.038637
JU2234	-0.048152
JU2464	-0.1428
JU2466	-0.12441
JU2513	-0.14647
JU2519	-0.11769
JU2522	-0.041948
JU2526	-0.18463
JU2534	-0.047223
JU2565	-0.022262
JU2566	-0.074663
JU2578	-0.14685
JU258	-0.13589
JU2587	-0.0686
JU2593	-0.09371
JU2600	-0.028358
JU2800	-0.1678
JU2862	-0.095443
JU2866	-0.046346
JU2878	-0.16895
JU2879	-0.11009
JU2906	-0.038465
JU310	-0.0089113
JU311	-0.051358
JU3125	-0.11264
JU3127	-0.12377
JU3134	-0.17281
JU3135	-0.067698
JU3137	-0.064275
JU3140	-0.081762
JU323	-0.040458
JU346	-0.091397
JU360	-0.067831
JU367	-0.13694
JU393	-0.063991
JU394	-0.23417
JU397	-0.07819
JU406	-0.095469
JU440	-0.13722
JU561	-0.068698
JU642	-0.098021
JU751	-0.045251
JU774	-0.13168
JU775	-0.083417
JU778	-0.088166
JU782	-0.094306
JU792	-0.049193
JU830	-0.052446
JU847	-0.06643
KR314	-0.060193
LKC34	-0.12618
LSJ1	-0.076435
MY1	-0.094032
MY10	-0.011718
MY16	-0.060184
MY18	-0.15002
MY2212	-0.31246
MY23	-0.097869
MY2453	-0.075535
MY2530	-0.15356
MY2535	-0.13142
MY2573	-0.043573
MY2693	-0.1011
MY2741	-0.084595
MY679	-0.075753
MY920	-0.05804
N2	-0.021796
NIC1	-0.027943
NIC1107	-0.038796
NIC166	-0.14977
NIC195	-0.15498
NIC199	-0.15006
NIC2	-0.11429
NIC207	-0.13875
NIC231	-0.14801
NIC236	-0.16631
NIC242	-0.14633
NIC251	-0.080572
NIC252	-0.17533
NIC255	-0.040347
NIC256	-0.08629
NIC258	-0.033959
NIC259	-0.099866
NIC260	-0.20222
NIC261	-0.10832
NIC262	-0.066366
NIC265	-0.16206
NIC266	-0.14613
NIC267	-0.16462
NIC268	-0.22425
NIC269	-0.078327
NIC271	-0.19918
NIC272	-0.21209
NIC274	-0.006621
NIC275	-0.1069
NIC276	-0.20923
NIC277	-0.13221
NIC3	-0.063838
NIC513	-0.27328
NIC514	-0.12568
NIC522	-0.080838
NIC523	-0.070282
PB303	-0.044331
PS2025	-0.088663
PX179	-0.079356
QG2075	-0.059287
QG536	-0.098273
QG556	-0.070905
QG557	-0.1574
QW947	-0.12308
QX1212	-0.0044328
QX1233	-0.035352
QX1791	-0.070904
QX1792	-0.07696
QX1793	-0.14149
QX1794	-0.10584
RC301	-0.055686
WN2001	-0.024765
WN2002	-0.071065
WN2033	-0.060591
XZ1513	-0.12023
XZ1514	-0.0024259
XZ1516	0.0048199
