strain	median
AB1	-0.0033909
BRC20067	-0.0094209
CB4852	-0.024011
CB4854	-0.01743
CB4856	-0.0094207
CB4932	-0.023428
CX11254	-0.0071432
CX11262	-0.0010035
CX11264	-0.0059556
CX11271	-0.025535
CX11276	-0.0059865
CX11285	-0.011438
CX11292	-0.011346
CX11307	-0.013704
CX11314	-0.01186
CX11315	-0.007647
DL200	-0.0035598
DL226	-0.0066999
DL238	-0.0090638
ECA246	-0.009339
ECA248	-0.031002
ECA250	-0.0088357
ECA251	-0.01499
ECA252	-0.005614
ECA259	-0.013903
ECA348	0.00083917
ECA349	-0.004054
ECA36	-0.024427
ECA363	0.00053132
ECA372	-0.016045
ECA396	-0.0078923
ED3005	-0.019761
ED3011	-0.012989
ED3012	-0.014291
ED3017	-0.025627
ED3040	-0.01388
ED3046	-0.0045045
ED3048	-0.012571
ED3049	-0.010935
ED3052	-0.020626
ED3073	-0.011169
ED3077	-0.015059
EG4347	-0.011208
EG4349	-0.0051588
EG4724	-0.0029604
EG4725	-0.0048402
EG4946	-0.022317
GXW1	-0.017801
JT11398	-0.013877
JU1088	-0.0071594
JU1172	-0.013658
JU1200	-0.0088091
JU1212	-0.019436
JU1213	-0.012344
JU1242	-0.011416
JU1246	-0.015477
JU1395	-0.0066511
JU1400	-0.0069077
JU1409	-0.017987
JU1440	-0.012152
JU1491	-0.019391
JU1530	-0.017032
JU1543	-0.0013665
JU1568	-0.0017654
JU1580	-0.011848
JU1581	-0.011845
JU1586	-0.022684
JU1652	-0.0063001
JU1793	-0.0073409
JU1808	-0.0092117
JU1896	-0.019287
JU2001	-0.010718
JU2007	-0.020512
JU2131	-0.024619
JU2141	-0.012273
JU2234	-0.0034955
JU2464	-0.02198
JU2466	-0.015744
JU2513	-0.012865
JU2519	-0.012245
JU2522	-0.0096956
JU2526	-0.012964
JU2534	-0.0095037
JU2565	-0.0058723
JU2566	-0.0084653
JU2578	-0.011248
JU258	-0.011149
JU2587	-0.011912
JU2593	-0.022438
JU2600	-0.00051091
JU2800	-0.014869
JU2862	-0.0052516
JU2866	-0.0075189
JU2878	-0.017541
JU2879	-0.0037867
JU2906	-0.00082278
JU310	-0.0045626
JU311	-0.010075
JU3125	-0.010324
JU3127	-0.017766
JU3134	-0.025401
JU3135	-0.011807
JU3137	-0.0090432
JU3140	-0.0089919
JU323	-0.010408
JU346	-0.017322
JU360	-0.0062317
JU367	-0.022054
JU393	-0.0053111
JU394	-0.023035
JU397	-0.0036507
JU406	-0.014961
JU440	-0.01684
JU561	-0.0077311
JU642	-0.0068889
JU751	-0.005818
JU774	-0.011125
JU775	-0.016922
JU778	-0.013816
JU782	-0.013495
JU792	-0.019929
JU830	-0.0014509
JU847	-0.0093388
KR314	-0.012922
LKC34	-0.019687
LSJ1	-0.0062263
MY1	-0.018141
MY10	-0.0046255
MY16	-0.0088787
MY18	-0.003499
MY2212	-0.021528
MY23	-0.0095826
MY2453	-0.011162
MY2530	-0.013976
MY2535	-0.018763
MY2573	-0.0077908
MY2693	-0.01156
MY2741	-0.0079042
MY679	-0.0087489
MY920	-0.01173
N2	-0.0024344
NIC1	-0.0059964
NIC1107	-0.0076925
NIC166	-0.012159
NIC195	-0.014956
NIC199	-0.016998
NIC2	-0.011493
NIC207	-0.014915
NIC231	-0.022353
NIC236	-0.018784
NIC242	-0.014891
NIC251	-0.0035994
NIC252	-0.0072787
NIC255	-0.0032791
NIC256	-0.010006
NIC258	-0.0045723
NIC259	-0.0091238
NIC260	-0.029316
NIC261	-0.018846
NIC262	-0.0041477
NIC265	-0.022966
NIC266	-0.021637
NIC267	-0.016505
NIC268	-0.0086328
NIC269	-0.0085667
NIC271	-0.031268
NIC272	-0.02147
NIC274	-0.0018974
NIC275	-0.011367
NIC276	-0.029302
NIC277	-0.02048
NIC3	-0.0090573
NIC513	-0.033985
NIC514	-0.0065595
NIC522	-0.01584
NIC523	-0.011559
PB303	-0.0057372
PS2025	-0.014042
PX179	-0.017317
QG2075	-0.0093534
QG536	-0.012664
QG556	-0.0066814
QG557	-0.0099904
QW947	-0.018733
QX1212	-0.0068621
QX1233	-0.0067343
QX1791	-0.0053369
QX1792	-0.010607
QX1793	-0.02036
QX1794	-0.013801
RC301	-0.0072393
WN2001	-0.0041477
WN2002	-0.0097388
WN2033	-0.015248
XZ1513	-0.010464
XZ1514	0.0011995
XZ1516	-9.8963e-05
