strain	median
AB1	1093.75
BRC20067	546.875
CB4852	312.5
CB4854	625
CB4856	312.5
CB4932	625
CX11254	468.75
CX11262	-156.25
CX11264	312.5
CX11271	312.5
CX11276	625
CX11285	156.25
CX11292	312.5
CX11307	312.5
CX11314	468.75
CX11315	312.5
DL200	312.5
DL226	937.5
DL238	312.5
ECA246	156.25
ECA248	468.75
ECA250	312.5
ECA251	312.5
ECA252	156.25
ECA259	468.75
ECA348	312.5
ECA349	625
ECA36	312.5
ECA363	156.25
ECA372	546.875
ECA396	0
ED3005	781.25
ED3011	625
ED3012	625
ED3017	468.75
ED3040	390.625
ED3046	937.5
ED3048	468.75
ED3049	0
ED3052	312.5
ED3073	625
ED3077	625
EG4347	625
EG4349	625
EG4724	625
EG4725	312.5
EG4946	312.5
GXW1	1250
JT11398	625
JU1088	468.75
JU1172	-156.25
JU1200	312.5
JU1212	156.25
JU1213	312.5
JU1242	625
JU1246	312.5
JU1395	468.75
JU1400	312.5
JU1409	312.5
JU1440	312.5
JU1491	312.5
JU1530	312.5
JU1543	312.5
JU1568	937.5
JU1580	0
JU1581	625
JU1586	468.75
JU1652	781.25
JU1793	156.25
JU1808	1093.75
JU1896	312.5
JU2001	0
JU2007	312.5
JU2131	468.75
JU2141	0
JU2234	312.5
JU2464	468.75
JU2466	312.5
JU2513	312.5
JU2519	625
JU2522	312.5
JU2526	312.5
JU2534	468.75
JU2565	312.5
JU2566	312.5
JU2578	781.25
JU258	156.25
JU2587	625
JU2593	781.25
JU2600	312.5
JU2800	625
JU2862	468.75
JU2866	312.5
JU2878	312.5
JU2879	625
JU2906	0
JU310	781.25
JU311	312.5
JU3125	468.75
JU3127	312.5
JU3134	625
JU3135	625
JU3137	312.5
JU3140	0
JU323	468.75
JU346	625
JU360	468.75
JU367	312.5
JU393	625
JU394	312.5
JU397	312.5
JU406	312.5
JU440	0
JU561	781.25
JU642	312.5
JU751	937.5
JU774	312.5
JU775	468.75
JU778	937.5
JU782	625
JU792	468.75
JU830	625
JU847	625
KR314	312.5
LKC34	625
LSJ1	312.5
MY1	312.5
MY10	-312.5
MY16	625
MY18	312.5
MY2212	0
MY23	625
MY2453	468.75
MY2530	468.75
MY2535	156.25
MY2573	312.5
MY2693	312.5
MY2741	312.5
MY679	625
MY920	0
N2	390.625
NIC1	625
NIC1107	312.5
NIC166	312.5
NIC195	625
NIC199	312.5
NIC2	468.75
NIC207	625
NIC231	625
NIC236	468.75
NIC242	468.75
NIC251	937.5
NIC252	546.875
NIC255	625
NIC256	390.625
NIC258	312.5
NIC259	625
NIC260	625
NIC261	0
NIC262	312.5
NIC265	312.5
NIC266	312.5
NIC267	312.5
NIC268	781.25
NIC269	468.75
NIC271	-156.25
NIC272	468.75
NIC274	312.5
NIC275	312.5
NIC276	312.5
NIC277	468.75
NIC3	468.75
NIC513	312.5
NIC514	312.5
NIC522	468.75
NIC523	312.5
PB303	625
PS2025	0
PX179	312.5
QG2075	-156.25
QG536	312.5
QG556	312.5
QG557	312.5
QW947	156.25
QX1212	625
QX1233	625
QX1791	156.25
QX1792	937.5
QX1793	312.5
QX1794	312.5
RC301	625
WN2001	625
WN2002	312.5
WN2033	781.25
XZ1513	468.75
XZ1514	156.25
XZ1516	0
