strain	median
AB1	7343.75
BRC20067	4765.625
CB4852	3437.5
CB4854	2968.75
CB4856	4921.875
CB4932	5625
CX11254	3203.125
CX11262	-2656.25
CX11264	4375
CX11271	3750
CX11276	5000
CX11285	2031.25
CX11292	3750
CX11307	1718.75
CX11314	4765.625
CX11315	7968.75
DL200	4687.5
DL226	7812.5
DL238	5234.375
ECA246	2031.25
ECA248	4843.75
ECA250	6406.25
ECA251	3750
ECA252	1093.75
ECA259	6250
ECA348	3906.25
ECA349	7656.25
ECA36	2656.25
ECA363	-312.5
ECA372	3359.375
ECA396	-2078.125
ED3005	4843.75
ED3011	7500
ED3012	7343.75
ED3017	4843.75
ED3040	4296.875
ED3046	7812.5
ED3048	6328.125
ED3049	-8750
ED3052	3750
ED3073	5781.25
ED3077	9218.75
EG4347	5000
EG4349	5468.75
EG4724	4531.25
EG4725	2343.75
EG4946	4218.75
GXW1	6718.75
JT11398	5859.375
JU1088	6406.25
JU1172	2968.75
JU1200	5156.25
JU1212	2343.75
JU1213	6875
JU1242	4687.5
JU1246	5781.25
JU1395	5312.5
JU1400	3125
JU1409	4531.25
JU1440	6250
JU1491	5937.5
JU1530	5218.75
JU1543	6578.125
JU1568	5312.5
JU1580	3437.5
JU1581	6093.75
JU1586	1562.5
JU1652	5312.5
JU1793	2968.75
JU1808	11093.75
JU1896	4062.5
JU2001	937.5
JU2007	5000
JU2131	4687.5
JU2141	3281.25
JU2234	5000
JU2464	3593.75
JU2466	3750
JU2513	4375
JU2519	4687.5
JU2522	2812.5
JU2526	5406.25
JU2534	7031.25
JU2565	4218.75
JU2566	5625
JU2578	6718.75
JU258	4843.75
JU2587	3593.75
JU2593	8281.25
JU2600	5312.5
JU2800	8593.75
JU2862	6093.75
JU2866	6875
JU2878	3046.875
JU2879	5156.25
JU2906	4218.75
JU310	3750
JU311	3984.375
JU3125	7500
JU3127	6093.75
JU3134	6718.75
JU3135	8750
JU3137	5625
JU3140	5937.5
JU323	4687.5
JU346	4062.5
JU360	5937.5
JU367	2343.75
JU393	5625
JU394	2656.25
JU397	5781.25
JU406	5000
JU440	4531.25
JU561	5312.5
JU642	3593.75
JU751	5000
JU774	6250
JU775	4765.625
JU778	6328.125
JU782	4531.25
JU792	5734.375
JU830	5156.25
JU847	4375
KR314	3750
LKC34	3906.25
LSJ1	4062.5
MY1	4218.75
MY10	-3125
MY16	6718.75
MY18	5312.5
MY2212	4843.75
MY23	9062.5
MY2453	7343.75
MY2530	6250
MY2535	4531.25
MY2573	4375
MY2693	6406.25
MY2741	6406.25
MY679	3281.25
MY920	1875
N2	937.5
NIC1	2812.5
NIC1107	-4218.75
NIC166	4531.25
NIC195	6718.75
NIC199	4218.75
NIC2	5468.75
NIC207	3281.25
NIC231	3437.5
NIC236	5000
NIC242	3593.75
NIC251	4531.25
NIC252	7343.75
NIC255	3437.5
NIC256	2343.75
NIC258	781.25
NIC259	2968.75
NIC260	5937.5
NIC261	1562.5
NIC262	468.75
NIC265	3750
NIC266	5156.25
NIC267	5859.375
NIC268	7343.75
NIC269	5000
NIC271	3875
NIC272	7187.5
NIC274	3125
NIC275	6484.375
NIC276	7812.5
NIC277	3828.125
NIC3	3125
NIC513	1875
NIC514	6093.75
NIC522	5390.625
NIC523	3906.25
PB303	7062.5
PS2025	3437.5
PX179	5781.25
QG2075	1328.125
QG536	2968.75
QG556	5781.25
QG557	546.875
QW947	3046.875
QX1212	4687.5
QX1233	5136.7188
QX1791	2343.75
QX1792	5781.25
QX1793	5781.25
QX1794	4843.75
RC301	6406.25
WN2001	2031.25
WN2002	4062.5
WN2033	5156.25
XZ1513	8125
XZ1514	4218.75
XZ1516	3906.25
