strain	median
AB1	2.8088
BRC20067	3.3181
CB4852	10.3342
CB4854	2.4607
CB4856	7.6897
CB4932	4.9861
CX11254	2.0814
CX11262	4.1376
CX11264	3.1637
CX11271	16.4448
CX11276	-3.09
CX11285	11.0371
CX11292	9.776
CX11307	3.1393
CX11314	18.5848
CX11315	4.8141
DL200	3.1831
DL226	2.0277
DL238	5.3861
ECA246	7.2054
ECA248	15.2196
ECA250	11.6063
ECA251	21.2002
ECA252	6.1777
ECA259	3.6124
ECA348	-1.6468
ECA349	0.68119
ECA36	3.9082
ECA363	4.7254
ECA372	5.6405
ECA396	9.3159
ED3005	5.4455
ED3011	5.8011
ED3012	10.5178
ED3017	7.2194
ED3040	12.7397
ED3046	3.005
ED3048	8.5851
ED3049	9.6149
ED3052	5.69
ED3073	4.9113
ED3077	3.6536
EG4347	9.9576
EG4349	5.3585
EG4724	1.2812
EG4725	7.2839
EG4946	19.1365
GXW1	11.7565
JT11398	13.5743
JU1088	5.4273
JU1172	22.366
JU1200	1.986
JU1212	13.2684
JU1213	13.3254
JU1242	19.7128
JU1246	3.9576
JU1395	6.3964
JU1400	7.0742
JU1409	10.393
JU1440	4.7559
JU1491	6.6621
JU1530	17.1387
JU1543	-2.3559
JU1568	7.4176
JU1580	1.9772
JU1581	7.1218
JU1586	8.3448
JU1652	3.3049
JU1793	2.812
JU1808	-0.87998
JU1896	9.1672
JU2001	7.8716
JU2007	12.2076
JU2131	5.182
JU2141	10.9577
JU2234	6.9499
JU2464	6.5692
JU2466	11.5604
JU2513	20.8078
JU2519	2.3188
JU2522	-0.73828
JU2526	13.5714
JU2534	8.1526
JU2565	1.4323
JU2566	5.2546
JU2578	0.44695
JU258	7.606
JU2587	2.6508
JU2593	7.8161
JU2600	2.4426
JU2800	9.5573
JU2862	5.0286
JU2866	-6.3711
JU2878	7.4153
JU2879	8.3352
JU2906	2.6978
JU310	5.1214
JU311	12.8494
JU3125	4.4605
JU3127	4.7116
JU3134	9.2617
JU3135	-0.25449
JU3137	6.2197
JU3140	8.7798
JU323	2.4104
JU346	6.4234
JU360	17.0724
JU367	9.1974
JU393	11.1714
JU394	3.6725
JU397	3.5503
JU406	6.0788
JU440	19.1524
JU561	5.82
JU642	7.0836
JU751	7.1762
JU774	10.7539
JU775	21.9408
JU778	5.3428
JU782	2.9356
JU792	1.4698
JU830	5.0032
JU847	3.7008
KR314	4.1797
LKC34	8.4944
LSJ1	6.5386
MY1	9.7717
MY10	2.5916
MY16	0.26711
MY18	8.2711
MY2212	14.0947
MY23	11.5024
MY2453	9.8255
MY2530	8.3826
MY2535	4.7766
MY2573	7.9712
MY2693	2.4182
MY2741	4.9179
MY679	5.1736
MY920	0.078259
N2	0.94299
NIC1	7.2302
NIC1107	3.1849
NIC166	8.5348
NIC195	-2.3419
NIC199	8.681
NIC2	4.8907
NIC207	5.294
NIC231	1.8941
NIC236	7.5691
NIC242	6.8729
NIC251	-0.81393
NIC252	2.9015
NIC255	1.9479
NIC256	3.5735
NIC258	1.1971
NIC259	2.4984
NIC260	-2.5795
NIC261	13.7656
NIC262	10.5808
NIC265	13.5279
NIC266	14.2395
NIC267	7.6364
NIC268	1.8345
NIC269	0.68895
NIC271	22.8068
NIC272	11.3939
NIC274	4.878
NIC275	5.4213
NIC276	8.7413
NIC277	9.5354
NIC3	5.6911
NIC513	7.092
NIC514	7.6928
NIC522	13.0873
NIC523	4.6673
PB303	0.40694
PS2025	14.3633
PX179	9.0924
QG2075	8.0663
QG536	8.8303
QG556	5.776
QG557	4.1213
QW947	5.0418
QX1212	-0.049099
QX1233	1.2031
QX1791	5.3362
QX1792	1.2572
QX1793	14.8316
QX1794	10.7211
RC301	3.0696
WN2001	5.3863
WN2002	6.721
WN2033	-0.13922
XZ1513	4.948
XZ1514	-0.37725
XZ1516	12.0954
