strain	median
AB1	-0.43433
BRC20067	-1.0085
CB4852	-0.81325
CB4854	-2.1598
CB4856	-2.0547
CB4932	-1.608
CX11254	-0.26007
CX11262	-0.23642
CX11264	-0.5869
CX11271	-2.6511
CX11276	-0.73738
CX11285	-1.833
CX11292	-2.1141
CX11307	-0.98094
CX11314	-0.96292
CX11315	-0.36611
DL200	-0.3174
DL226	-1.0838
DL238	-0.6453
ECA246	-0.48985
ECA248	-2.8669
ECA250	-2.2472
ECA251	-1.721
ECA252	-0.13994
ECA259	-1.4237
ECA348	0.65918
ECA349	-0.84551
ECA36	-5.8519
ECA363	-2.1921
ECA372	-1.2308
ECA396	-2.0049
ED3005	-1.4132
ED3011	-1.3684
ED3012	-2.3991
ED3017	-0.83588
ED3040	-2.4691
ED3046	-0.76641
ED3048	-2.116
ED3049	-1.5691
ED3052	-1.7379
ED3073	-0.29566
ED3077	-1.5066
EG4347	-1.4388
EG4349	-0.36385
EG4724	-1.6015
EG4725	-0.85246
EG4946	-1.1432
GXW1	-2.797
JT11398	-1.111
JU1088	-0.93287
JU1172	-1.8049
JU1200	-1.239
JU1212	-1.3782
JU1213	-2.3012
JU1242	-2.2088
JU1246	-3.1292
JU1395	-1.3776
JU1400	-0.0042284
JU1409	-2.0833
JU1440	-1.0804
JU1491	-0.45398
JU1530	-0.82796
JU1543	-0.42058
JU1568	-0.06083
JU1580	-1.2003
JU1581	-1.4029
JU1586	-1.8959
JU1652	-1.3305
JU1793	-0.7792
JU1808	-0.74236
JU1896	-1.716
JU2001	-1.6985
JU2007	-0.73259
JU2131	-0.89825
JU2141	0.41995
JU2234	0.35998
JU2464	-1.4111
JU2466	-1.2336
JU2513	-1.827
JU2519	-0.95983
JU2522	-0.45374
JU2526	-1.89
JU2534	-0.85511
JU2565	-0.75296
JU2566	-0.81897
JU2578	-2.8633
JU258	-1.2512
JU2587	-1.2958
JU2593	-2.2782
JU2600	-0.51497
JU2800	-2.48
JU2862	-2.5443
JU2866	-0.41058
JU2878	-3.941
JU2879	-1.7814
JU2906	-0.74687
JU310	-1.4586
JU311	-0.39621
JU3125	0.17719
JU3127	-0.8892
JU3134	-1.8552
JU3135	-1.1256
JU3137	-0.2312
JU3140	-0.37858
JU323	-1.1203
JU346	-0.81332
JU360	-2.495
JU367	-0.2489
JU393	-0.36506
JU394	-2.6303
JU397	-0.81597
JU406	-1.0455
JU440	-1.1037
JU561	-1.0781
JU642	-2.0906
JU751	-0.05406
JU774	-1.8825
JU775	-0.80224
JU778	-2.9068
JU782	-0.62599
JU792	0.28209
JU830	-0.38474
JU847	-1.2176
KR314	0.0967
LKC34	-1.983
LSJ1	0.097796
MY1	-0.93575
MY10	-1.5447
MY16	-0.79721
MY18	-1.7096
MY2212	-3.0487
MY23	-1.4906
MY2453	0.014318
MY2530	-2.3509
MY2535	-1.4852
MY2573	-1.417
MY2693	-0.71544
MY2741	-1.2228
MY679	-1.2401
MY920	-2.4706
N2	-0.17227
NIC1	-1.4596
NIC1107	-0.091965
NIC166	-1.1064
NIC195	-1.9694
NIC199	-1.7969
NIC2	-1.0406
NIC207	-1.733
NIC231	-2.9995
NIC236	-1.6801
NIC242	-1.0841
NIC251	-0.73617
NIC252	-1.9871
NIC255	-1.6879
NIC256	-1.7133
NIC258	-1.2714
NIC259	-1.4735
NIC260	-1.2528
NIC261	-2.2883
NIC262	-1.2716
NIC265	-1.8277
NIC266	-1.2566
NIC267	-2.2896
NIC268	-2.7122
NIC269	-0.86322
NIC271	-0.51535
NIC272	-1.9318
NIC274	-1.1738
NIC275	-1.1319
NIC276	-1.6938
NIC277	-2.3574
NIC3	-1.0032
NIC513	-3.1288
NIC514	-1.4916
NIC522	-1.0985
NIC523	-1.1476
PB303	-0.66414
PS2025	-1.5887
PX179	-1.7731
QG2075	-1.7254
QG536	-2.3944
QG556	-1.476
QG557	-1.7998
QW947	-1.8277
QX1212	-0.26252
QX1233	-1.6439
QX1791	-1.3414
QX1792	-1.0542
QX1793	-1.0354
QX1794	-1.4576
RC301	-1.2461
WN2001	-1.6536
WN2002	-1.1895
WN2033	-1.5045
XZ1513	-0.88359
XZ1514	0.0088878
XZ1516	0.0060322
