strain	median
AB1	0.014119
BRC20067	0.013255
CB4852	0.045766
CB4854	0.032987
CB4856	0.020025
CB4932	0.040899
CX11254	0.013417
CX11262	0.0060279
CX11264	0.0076712
CX11271	0.041586
CX11276	0.0068427
CX11285	0.015223
CX11292	0.016539
CX11307	0.035086
CX11314	0.026316
CX11315	0.016465
DL200	0.0056166
DL226	0.019963
DL238	0.014893
ECA246	0.019265
ECA248	0.048913
ECA250	0.021965
ECA251	0.024779
ECA252	0.012732
ECA259	0.025446
ECA348	-0.004871
ECA349	0.0085175
ECA36	0.053863
ECA363	-0.00068298
ECA372	0.023286
ECA396	0.01737
ED3005	0.037117
ED3011	0.026882
ED3012	0.02799
ED3017	0.049046
ED3040	0.022678
ED3046	0.0092071
ED3048	0.020449
ED3049	0.022821
ED3052	0.034295
ED3073	0.014833
ED3077	0.03274
EG4347	0.022739
EG4349	0.012809
EG4724	0.0056679
EG4725	0.013444
EG4946	0.03771
GXW1	0.045913
JT11398	0.021025
JU1088	0.0049528
JU1172	0.028422
JU1200	0.01671
JU1212	0.039107
JU1213	0.02877
JU1242	0.023659
JU1246	0.021865
JU1395	0.0056027
JU1400	0.018459
JU1409	0.031299
JU1440	0.022469
JU1491	0.02936
JU1530	0.032437
JU1543	0.0034166
JU1568	0.0047761
JU1580	0.019691
JU1581	0.02932
JU1586	0.040007
JU1652	0.017555
JU1793	0.020334
JU1808	0.010756
JU1896	0.03927
JU2001	0.023452
JU2007	0.032901
JU2131	0.040416
JU2141	0.022117
JU2234	0.0035201
JU2464	0.033811
JU2466	0.030168
JU2513	0.033949
JU2519	0.018703
JU2522	0.015039
JU2526	0.036459
JU2534	0.018607
JU2565	0.013195
JU2566	0.016452
JU2578	0.023318
JU258	0.021074
JU2587	0.022348
JU2593	0.038441
JU2600	0.0012355
JU2800	0.03419
JU2862	0.022496
JU2866	0.017329
JU2878	0.040156
JU2879	0.0083865
JU2906	0.001203
JU310	0.0070967
JU311	0.014614
JU3125	0.027012
JU3127	0.03851
JU3134	0.044786
JU3135	0.018675
JU3137	0.014516
JU3140	0.018308
JU323	0.011316
JU346	0.031904
JU360	0.01099
JU367	0.034954
JU393	0.0083039
JU394	0.044935
JU397	0.0065414
JU406	0.024996
JU440	0.032766
JU561	0.016833
JU642	0.022208
JU751	0.014061
JU774	0.020906
JU775	0.02726
JU778	0.032811
JU782	0.02156
JU792	0.033099
JU830	0.0054588
JU847	0.022014
KR314	0.018919
LKC34	0.046102
LSJ1	0.015419
MY1	0.043005
MY10	0.0039963
MY16	0.01478
MY18	0.0036745
MY2212	0.051284
MY23	0.02788
MY2453	0.023543
MY2530	0.02294
MY2535	0.030275
MY2573	0.010032
MY2693	0.013906
MY2741	0.013953
MY679	0.014263
MY920	0.025497
N2	0.0043384
NIC1	0.011596
NIC1107	0.011716
NIC166	0.018372
NIC195	0.023499
NIC199	0.035312
NIC2	0.027848
NIC207	0.028073
NIC231	0.038592
NIC236	0.03338
NIC242	0.033849
NIC251	0.011353
NIC252	0.012967
NIC255	0.0032766
NIC256	0.020432
NIC258	0.0077074
NIC259	0.022672
NIC260	0.041573
NIC261	0.026732
NIC262	0.010942
NIC265	0.03587
NIC266	0.033801
NIC267	0.04779
NIC268	0.020521
NIC269	0.028353
NIC271	0.049749
NIC272	0.037054
NIC274	0.0064816
NIC275	0.023891
NIC276	0.047593
NIC277	0.037526
NIC3	0.016792
NIC513	0.057033
NIC514	0.0096994
NIC522	0.027855
NIC523	0.022981
PB303	0.0070458
PS2025	0.025057
PX179	0.030797
QG2075	0.016985
QG536	0.026994
QG556	0.016389
QG557	0.022718
QW947	0.029582
QX1212	0.014917
QX1233	0.015295
QX1791	0.018118
QX1792	0.027311
QX1793	0.040238
QX1794	0.025802
RC301	0.019038
WN2001	0.0064082
WN2002	0.016449
WN2033	0.019926
XZ1513	0.027442
XZ1514	0.00036591
XZ1516	0.00020865
