strain	median
AB1	0.17084
BRC20067	0.39863
CB4852	0.25079
CB4854	0.70744
CB4856	0.53017
CB4932	0.33423
CX11254	0.12678
CX11262	0.090545
CX11264	0.044476
CX11271	0.58224
CX11276	0.28572
CX11285	0.49779
CX11292	0.82944
CX11307	0.48921
CX11314	0.29652
CX11315	0.15985
DL200	0.22388
DL226	0.38001
DL238	0.21445
ECA246	0.10495
ECA248	0.81162
ECA250	0.7194
ECA251	0.60746
ECA252	0.024416
ECA259	0.18542
ECA348	-0.081875
ECA349	0.36331
ECA36	1.3901
ECA363	0.29702
ECA372	0.45767
ECA396	0.26039
ED3005	0.27744
ED3011	0.88074
ED3012	0.49323
ED3017	0.42503
ED3040	0.75993
ED3046	0.17046
ED3048	0.67785
ED3049	0.48895
ED3052	0.77969
ED3073	0.17128
ED3077	0.4647
EG4347	0.46813
EG4349	0.22667
EG4724	0.31644
EG4725	0.22312
EG4946	0.54498
GXW1	0.64461
JT11398	0.27847
JU1088	0.28015
JU1172	0.85133
JU1200	0.29175
JU1212	0.57515
JU1213	0.87463
JU1242	0.68521
JU1246	1.4415
JU1395	0.63853
JU1400	0.078067
JU1409	0.56898
JU1440	0.25645
JU1491	0.18226
JU1530	0.12773
JU1543	0.29123
JU1568	-0.0006019
JU1580	0.38981
JU1581	0.58265
JU1586	0.47925
JU1652	0.21976
JU1793	0.1583
JU1808	0.22506
JU1896	0.42404
JU2001	0.19076
JU2007	0.36097
JU2131	0.24153
JU2141	0.14954
JU2234	0.10281
JU2464	0.34989
JU2466	0.15063
JU2513	0.79035
JU2519	0.2434
JU2522	0.27947
JU2526	0.55656
JU2534	0.063324
JU2565	0.13093
JU2566	0.1778
JU2578	1.354
JU258	0.41329
JU2587	0.37685
JU2593	0.35083
JU2600	0.057092
JU2800	0.79039
JU2862	0.81329
JU2866	0.16766
JU2878	2.3789
JU2879	0.17095
JU2906	0.071477
JU310	0.36556
JU311	0.15851
JU3125	0.26763
JU3127	0.47692
JU3134	0.57186
JU3135	0.59133
JU3137	0.16974
JU3140	0.11433
JU323	0.27529
JU346	0.34167
JU360	0.32369
JU367	0.26592
JU393	0.32908
JU394	0.84597
JU397	0.18755
JU406	0.32844
JU440	0.69813
JU561	0.44768
JU642	0.37066
JU751	-6.0275e-05
JU774	0.56532
JU775	0.27183
JU778	0.65093
JU782	0.14024
JU792	0.23764
JU830	0.045559
JU847	0.29488
KR314	0.1034
LKC34	0.80353
LSJ1	0.038645
MY1	0.28495
MY10	0.33155
MY16	0.20152
MY18	0.64592
MY2212	0.89105
MY23	0.53877
MY2453	0.053514
MY2530	0.68768
MY2535	0.26707
MY2573	0.38551
MY2693	0.29045
MY2741	0.48432
MY679	0.52825
MY920	0.61545
N2	0.0057591
NIC1	0.39652
NIC1107	0.33699
NIC166	0.35049
NIC195	0.85637
NIC199	0.47073
NIC2	0.67016
NIC207	0.53755
NIC231	0.55351
NIC236	0.72081
NIC242	0.378
NIC251	0.35731
NIC252	0.16503
NIC255	0.32343
NIC256	0.42714
NIC258	0.20591
NIC259	0.78997
NIC260	0.2861
NIC261	0.74939
NIC262	0.33537
NIC265	0.5434
NIC266	0.27487
NIC267	0.96023
NIC268	0.84145
NIC269	0.2953
NIC271	0.74926
NIC272	0.74794
NIC274	0.27561
NIC275	0.31284
NIC276	1.0575
NIC277	0.89287
NIC3	0.12697
NIC513	1.0431
NIC514	0.80054
NIC522	0.28176
NIC523	0.32638
PB303	0.37052
PS2025	0.589
PX179	0.42605
QG2075	0.28101
QG536	0.81785
QG556	0.38162
QG557	0.67723
QW947	0.88449
QX1212	0.10243
QX1233	0.44134
QX1791	0.22944
QX1792	0.46217
QX1793	0.16631
QX1794	0.37065
RC301	0.61404
WN2001	0.48345
WN2002	0.26063
WN2033	0.36048
XZ1513	0.16066
XZ1514	0.0017624
XZ1516	0.029162
