strain	median
AB1	-0.0015475
BRC20067	-0.0053879
CB4852	-0.0034796
CB4854	-0.0040667
CB4856	-0.0030286
CB4932	-0.002093
CX11254	-0.0030694
CX11262	-0.0039765
CX11264	-0.0020137
CX11271	-0.0042928
CX11276	-0.00070404
CX11285	-0.0034755
CX11292	-0.0036434
CX11307	-0.0036971
CX11314	-0.0031269
CX11315	-0.0020107
DL200	-0.002635
DL226	-0.0034121
DL238	-0.0023836
ECA246	-0.0016325
ECA248	-0.0065595
ECA250	-0.0027209
ECA251	-0.0034003
ECA252	-0.001618
ECA259	-0.0032294
ECA348	-0.00017578
ECA349	-0.0025119
ECA36	-0.007119
ECA363	-0.0034239
ECA372	-0.0028692
ECA396	-0.004719
ED3005	-0.0021123
ED3011	-0.0048255
ED3012	-0.0034551
ED3017	-0.0057999
ED3040	-0.0039465
ED3046	-0.0006789
ED3048	-0.0041486
ED3049	-0.002611
ED3052	-0.0033823
ED3073	-0.0016174
ED3077	-0.0045881
EG4347	-0.002318
EG4349	-0.0015607
EG4724	-0.0025332
EG4725	-0.0017776
EG4946	-0.0033189
GXW1	-0.0031473
JT11398	-0.002228
JU1088	-0.0018796
JU1172	-0.0038727
JU1200	-0.00271
JU1212	-0.0042098
JU1213	-0.0034045
JU1242	-0.0040583
JU1246	-0.003329
JU1395	-0.0037255
JU1400	-0.0018384
JU1409	-0.0038774
JU1440	-0.0025586
JU1491	-0.0021457
JU1530	-0.0019822
JU1543	-0.0024245
JU1568	2.7244e-05
JU1580	-0.0029965
JU1581	-0.0053336
JU1586	-0.0025045
JU1652	-0.0033464
JU1793	-0.0033254
JU1808	-0.0032662
JU1896	-0.0030783
JU2001	-0.0025944
JU2007	-0.0035354
JU2131	-0.00068885
JU2141	-0.0017802
JU2234	-0.003401
JU2464	-0.0028456
JU2466	-0.0023495
JU2513	-0.0042762
JU2519	-0.0032736
JU2522	-0.0015748
JU2526	-0.0039012
JU2534	-0.0031621
JU2565	-0.0018651
JU2566	-0.002001
JU2578	-0.0090341
JU258	-0.002932
JU2587	-0.0023497
JU2593	-0.00225
JU2600	-0.00086272
JU2800	-0.0043973
JU2862	-0.005162
JU2866	-0.0025748
JU2878	-0.014616
JU2879	-0.0034126
JU2906	-0.0010054
JU310	-0.00087883
JU311	-0.00252
JU3125	-0.0033999
JU3127	-0.0030524
JU3134	-0.0028167
JU3135	-0.0038103
JU3137	-0.0021516
JU3140	-0.0026244
JU323	-0.0018964
JU346	-0.0019789
JU360	-0.0035152
JU367	-0.0032772
JU393	-0.0051233
JU394	-0.0042237
JU397	-0.0022075
JU406	-0.0033779
JU440	-0.0031546
JU561	-0.0033856
JU642	-0.0038479
JU751	-0.0025517
JU774	-0.0065565
JU775	-0.0014557
JU778	-0.0033618
JU782	-0.0020541
JU792	-0.0025311
JU830	-0.0017892
JU847	-0.0031802
KR314	-0.0020132
LKC34	-0.0045174
LSJ1	-0.0013124
MY1	-0.001915
MY10	-0.0025302
MY16	-0.0018326
MY18	-0.004074
MY2212	-0.0036114
MY23	-0.0037338
MY2453	-0.0012365
MY2530	-0.0041184
MY2535	-0.0027307
MY2573	-0.0016082
MY2693	-0.0035984
MY2741	-0.0040565
MY679	-0.0011808
MY920	-0.003918
N2	-0.00027613
NIC1	-0.0026875
NIC1107	-0.0031176
NIC166	-0.0027482
NIC195	-0.0067926
NIC199	-0.0030842
NIC2	-0.0036583
NIC207	-0.0045547
NIC231	-0.0058933
NIC236	-0.004277
NIC242	-0.0027762
NIC251	-0.0035648
NIC252	-0.0026536
NIC255	-0.0015625
NIC256	-0.0028357
NIC258	-0.0015577
NIC259	-0.004199
NIC260	-0.0031399
NIC261	-0.0051843
NIC262	-0.003656
NIC265	-0.0031522
NIC266	-0.0023126
NIC267	-0.0040697
NIC268	-0.0041026
NIC269	-0.0029624
NIC271	-0.0039229
NIC272	-0.0025749
NIC274	-0.001667
NIC275	-0.0025079
NIC276	-0.0043485
NIC277	-0.0061602
NIC3	-0.0028302
NIC513	-0.0065561
NIC514	-0.0027077
NIC522	-0.0029322
NIC523	-0.0022774
PB303	-0.0032387
PS2025	-0.0037028
PX179	-0.0031028
QG2075	-0.0023695
QG536	-0.0056953
QG556	-0.001708
QG557	-0.0032931
QW947	-0.0057825
QX1212	-0.0014423
QX1233	-0.0010168
QX1791	-0.0037205
QX1792	-0.0030055
QX1793	-0.0013169
QX1794	-0.0034971
RC301	-0.003281
WN2001	-0.0013406
WN2002	-0.0020841
WN2033	-0.0026622
XZ1513	-0.0018116
XZ1514	-0.00099371
XZ1516	-0.0015574
