strain	median
AB1	-0.31353
BRC20067	-0.21604
CB4852	-0.5301
CB4854	-0.36155
CB4856	-0.5892
CB4932	0.043558
CX11254	-0.56852
CX11262	-1.1384
CX11264	-0.40925
CX11271	-0.70574
CX11276	-0.24217
CX11285	-1.1456
CX11292	-0.41606
CX11307	-0.13728
CX11314	0.073852
CX11315	-0.45799
DL200	-0.053176
DL226	-0.56985
DL238	-0.055094
ECA246	-0.41471
ECA248	-0.94512
ECA250	-0.67073
ECA251	-0.57116
ECA252	-0.057244
ECA259	-0.83382
ECA348	0.4087
ECA349	-0.43966
ECA36	-0.84851
ECA363	-0.48769
ECA372	-0.54389
ECA396	-1.7081
ED3005	-0.075861
ED3011	-0.62711
ED3012	-0.4364
ED3017	-0.58885
ED3040	-0.53622
ED3046	-0.25862
ED3048	-0.47714
ED3049	-0.28226
ED3052	-0.67649
ED3073	-0.2121
ED3077	-0.41679
EG4347	-0.45026
EG4349	-0.15584
EG4724	0.16131
EG4725	-0.050385
EG4946	-0.31617
GXW1	-0.61758
JT11398	-0.18613
JU1088	-0.42378
JU1172	-0.86818
JU1200	-0.1423
JU1212	-0.74194
JU1213	-0.68016
JU1242	-0.29876
JU1246	-0.31691
JU1395	0.18998
JU1400	-0.32008
JU1409	-0.84891
JU1440	-0.7622
JU1491	-0.46514
JU1530	-0.68174
JU1543	0.085526
JU1568	-0.03228
JU1580	-0.47933
JU1581	-0.81496
JU1586	-0.66902
JU1652	-0.46751
JU1793	-0.51056
JU1808	-0.18267
JU1896	-0.4586
JU2001	-0.31983
JU2007	-0.48874
JU2131	0.27141
JU2141	-0.67062
JU2234	-0.43606
JU2464	-0.2334
JU2466	-0.3642
JU2513	-0.63104
JU2519	-0.14887
JU2522	-0.51312
JU2526	-0.96211
JU2534	-0.50805
JU2565	-0.3374
JU2566	-0.9471
JU2578	-0.26236
JU258	-0.57371
JU2587	0.091764
JU2593	-0.090518
JU2600	-0.48669
JU2800	-0.44284
JU2862	-0.42976
JU2866	-0.64877
JU2878	-0.22302
JU2879	-0.69224
JU2906	0.25316
JU310	-0.069684
JU311	-0.4835
JU3125	-0.20252
JU3127	-0.47476
JU3134	-0.62533
JU3135	-0.50939
JU3137	-0.37465
JU3140	-0.74507
JU323	-0.21494
JU346	-0.15697
JU360	-0.91085
JU367	-0.50352
JU393	-0.53928
JU394	-0.52435
JU397	-0.31466
JU406	-0.28775
JU440	-0.51927
JU561	-0.18428
JU642	-0.56332
JU751	-0.69577
JU774	-0.51858
JU775	-0.54572
JU778	-0.35709
JU782	-0.25814
JU792	-0.70065
JU830	0.04403
JU847	-0.55707
KR314	0.051637
LKC34	-0.3529
LSJ1	-0.21871
MY1	-0.2571
MY10	-0.0086813
MY16	-0.395
MY18	-0.39549
MY2212	-0.47564
MY23	-0.64305
MY2453	-0.50175
MY2530	-0.19168
MY2535	-0.49489
MY2573	-0.40754
MY2693	-0.14786
MY2741	-0.37644
MY679	0.18579
MY920	-0.43976
N2	0.23228
NIC1	-0.66084
NIC1107	-0.46687
NIC166	-0.45022
NIC195	-0.47677
NIC199	-0.46423
NIC2	-0.37087
NIC207	-0.44189
NIC231	-0.37543
NIC236	-0.46087
NIC242	-0.47701
NIC251	-0.12463
NIC252	-1.3755
NIC255	-0.36921
NIC256	-0.61491
NIC258	-0.0081568
NIC259	-0.737
NIC260	0.0040426
NIC261	-0.39823
NIC262	-0.78
NIC265	-0.37878
NIC266	-0.17788
NIC267	-0.13251
NIC268	-0.58149
NIC269	-0.37524
NIC271	-0.42956
NIC272	-0.10227
NIC274	-0.50181
NIC275	-0.34041
NIC276	-0.19639
NIC277	-0.55542
NIC3	-0.40576
NIC513	-0.50894
NIC514	-0.16992
NIC522	-0.45915
NIC523	-0.11281
PB303	-0.24666
PS2025	-0.14463
PX179	-0.4578
QG2075	-0.31758
QG536	-0.63609
QG556	-0.10676
QG557	-0.60012
QW947	-0.62958
QX1212	-0.050116
QX1233	-0.056522
QX1791	-0.61539
QX1792	-0.64467
QX1793	-0.79785
QX1794	-0.23631
RC301	-0.28711
WN2001	-0.77366
WN2002	-0.56368
WN2033	-0.29443
XZ1513	-0.14603
XZ1514	0.49603
XZ1516	-0.30581
