strain	median
AB1	2.5579
BRC20067	3.9004
CB4852	-0.53119
CB4854	8.11
CB4856	7.4533
CB4932	1.6106
CX11254	0.5512
CX11262	14.5041
CX11264	1.9526
CX11271	2.685
CX11276	5.6314
CX11285	10.9204
CX11292	6.3876
CX11307	-1.6319
CX11314	2.3652
CX11315	3.1656
DL200	4.2471
DL226	3.809
DL238	-2.085
ECA246	0.82743
ECA248	5.293
ECA250	3.1846
ECA251	3.3245
ECA252	0.7197
ECA259	2.8407
ECA348	-7.6744
ECA349	0.066978
ECA36	16.1703
ECA363	13.163
ECA372	2.7602
ECA396	17.0145
ED3005	-1.6227
ED3011	6.3143
ED3012	3.8235
ED3017	6.511
ED3040	4.8719
ED3046	1.9902
ED3048	3.3333
ED3049	3.2143
ED3052	3.9864
ED3073	1.671
ED3077	3.8354
EG4347	4.5624
EG4349	-2.7033
EG4724	4.0236
EG4725	2.3802
EG4946	1.6321
GXW1	-0.091261
JT11398	3.3826
JU1088	4.7432
JU1172	4.1191
JU1200	2.539
JU1212	5.156
JU1213	5.3062
JU1242	-0.13185
JU1246	10.2736
JU1395	2.8579
JU1400	1.239
JU1409	9.7974
JU1440	3.6145
JU1491	0.52615
JU1530	1.5833
JU1543	5.4227
JU1568	-1.8112
JU1580	7.1556
JU1581	9.5514
JU1586	6.9655
JU1652	6.8209
JU1793	2.1965
JU1808	5.5473
JU1896	6.398
JU2001	6.5042
JU2007	0.44673
JU2131	0.19041
JU2141	0.83318
JU2234	1.5971
JU2464	1.5811
JU2466	-0.204
JU2513	6.3211
JU2519	2.2008
JU2522	5.1271
JU2526	7.8988
JU2534	3.0636
JU2565	4.819
JU2566	1.6739
JU2578	7.829
JU258	7.5665
JU2587	1.3135
JU2593	2.1167
JU2600	1.8484
JU2800	8.4023
JU2862	10.7046
JU2866	4.1946
JU2878	12.5196
JU2879	6.4659
JU2906	6.683
JU310	0.57143
JU311	2.4465
JU3125	-1.1003
JU3127	0.81177
JU3134	3.8115
JU3135	9.688
JU3137	3.4488
JU3140	5.169
JU323	3.7318
JU346	0.46588
JU360	11.9581
JU367	-1.4336
JU393	6.564
JU394	2.8481
JU397	7.192
JU406	0.50257
JU440	4.0118
JU561	5.1083
JU642	7.4287
JU751	5.5048
JU774	8.1594
JU775	-1.0985
JU778	4.3384
JU782	-0.21588
JU792	0.78327
JU830	4.2846
JU847	6.5596
KR314	-0.19775
LKC34	4.1504
LSJ1	2.756
MY1	-2.3228
MY10	3.3676
MY16	4.9417
MY18	19.8502
MY2212	1.8409
MY23	5.6974
MY2453	-1.4933
MY2530	2.4959
MY2535	5.2527
MY2573	0.044464
MY2693	3.7184
MY2741	7.6768
MY679	-2.3096
MY920	2.1769
N2	-1.0585
NIC1	3.6084
NIC1107	0.11588
NIC166	3.7137
NIC195	9.3702
NIC199	4.8575
NIC2	6.891
NIC207	7.1016
NIC231	11.386
NIC236	1.3905
NIC242	4.3074
NIC251	7.1352
NIC252	9.7308
NIC255	6.782
NIC256	4.6012
NIC258	2.541
NIC259	6.7702
NIC260	-4.4152
NIC261	6.3954
NIC262	2.6336
NIC265	0.64284
NIC266	0.26244
NIC267	11.3776
NIC268	12.0529
NIC269	6.229
NIC271	0.70201
NIC272	0.83784
NIC274	4.907
NIC275	0.076019
NIC276	-0.25838
NIC277	9.6881
NIC3	2.7611
NIC513	6.9517
NIC514	3.9831
NIC522	0.78307
NIC523	2.3334
PB303	-1.5073
PS2025	2.0268
PX179	5.5093
QG2075	5.186
QG536	13.0333
QG556	4.2193
QG557	9.1728
QW947	7.0543
QX1212	-1.8052
QX1233	4.9555
QX1791	1.2187
QX1792	5.5247
QX1793	0.81725
QX1794	0.91793
RC301	3.0924
WN2001	6.7655
WN2002	3.9099
WN2033	3.3183
XZ1513	-3.7106
XZ1514	-0.37312
XZ1516	4.5219
