strain	median
AB1	22.9696
BRC20067	-1.5949
CB4852	1.0916
CB4854	51.6651
CB4856	65.5074
CB4932	11.9482
CX11254	20.797
CX11262	75.8496
CX11264	-3.3061
CX11271	107.5482
CX11276	49.0889
CX11285	132.9147
CX11292	80.1877
CX11307	26.4768
CX11314	33.7803
CX11315	22.3435
DL200	36.6703
DL226	20.7115
DL238	-11.8643
ECA246	5.0555
ECA248	68.8988
ECA250	47.3095
ECA251	68.4793
ECA252	9.9984
ECA259	66.4962
ECA348	-89.9201
ECA349	-7.0856
ECA36	178.2977
ECA363	76.998
ECA372	-6.4152
ECA396	107.5617
ED3005	-6.2338
ED3011	31.9751
ED3012	81.0617
ED3017	78.9837
ED3040	51.6689
ED3046	5.9084
ED3048	52.4219
ED3049	85.4548
ED3052	70.2547
ED3073	22.9231
ED3077	59.5209
EG4347	34.5432
EG4349	-11.6007
EG4724	42.2705
EG4725	31.1505
EG4946	-2.9388
GXW1	58.5835
JT11398	54.2227
JU1088	47.3454
JU1172	107.7074
JU1200	28.5171
JU1212	88.4355
JU1213	49.8058
JU1242	31.0093
JU1246	98.9252
JU1395	22.4458
JU1400	0.90041
JU1409	128.4303
JU1440	-3.8741
JU1491	7.4601
JU1530	26.4497
JU1543	-10.6116
JU1568	-35.0593
JU1580	35.1462
JU1581	102.7306
JU1586	88.2364
JU1652	16.9545
JU1793	31.4798
JU1808	28.0133
JU1896	83.2776
JU2001	83.6099
JU2007	-30.5491
JU2131	21.9312
JU2141	27.5048
JU2234	-23.1865
JU2464	30.2144
JU2466	34.9817
JU2513	65.786
JU2519	33.68
JU2522	64.5123
JU2526	69.0395
JU2534	44.1954
JU2565	33.6068
JU2566	54.4181
JU2578	97.8844
JU258	7.8315
JU2587	-17.1615
JU2593	14.7868
JU2600	15.4129
JU2800	130.7361
JU2862	92.6067
JU2866	14.3247
JU2878	150.2841
JU2879	89.7069
JU2906	9.2816
JU310	28.3933
JU311	46.4812
JU3125	-32.7458
JU3127	72.3005
JU3134	80.5355
JU3135	101.9229
JU3137	29.0267
JU3140	84.0474
JU323	10.3201
JU346	2.1772
JU360	93.7079
JU367	18.8243
JU393	90.2025
JU394	45.3131
JU397	109.756
JU406	-0.55267
JU440	44.4247
JU561	44.5134
JU642	67.8032
JU751	50.8657
JU774	62.4535
JU775	12.996
JU778	57.663
JU782	8.3849
JU792	-38.3809
JU830	23.4422
JU847	56.2451
KR314	-13.9533
LKC34	92.9042
LSJ1	36.0595
MY1	-31.2039
MY10	3.4333
MY16	2.8026
MY18	115.3282
MY2212	88.3785
MY23	46.0322
MY2453	-42.2058
MY2530	43.5715
MY2535	65.0524
MY2573	3.5656
MY2693	26.1283
MY2741	25.7528
MY679	-26.2903
MY920	66.5818
N2	-5.1414
NIC1	37.2079
NIC1107	-35.7442
NIC166	44.5553
NIC195	52.191
NIC199	68.8245
NIC2	35.382
NIC207	15.1313
NIC231	115.7595
NIC236	45.9376
NIC242	41.1954
NIC251	71.896
NIC252	145.1013
NIC255	59.0135
NIC256	66.0423
NIC258	22.2455
NIC259	104.7134
NIC260	-65.5987
NIC261	106.9884
NIC262	56.0068
NIC265	40.148
NIC266	46.7964
NIC267	88.4281
NIC268	153.9316
NIC269	6.2307
NIC271	57.1253
NIC272	55.1093
NIC274	43.4801
NIC275	40.7109
NIC276	42.8969
NIC277	76.3395
NIC3	20.4966
NIC513	85.6425
NIC514	67.6436
NIC522	40.8311
NIC523	40.3903
PB303	-20.3022
PS2025	12.4901
PX179	64.8851
QG2075	53.8665
QG536	84.5893
QG556	30.9343
QG557	73.0677
QW947	19.8932
QX1212	-31.1011
QX1233	71.9596
QX1791	51.5225
QX1792	39.8951
QX1793	49.9375
QX1794	25.958
RC301	37.9377
WN2001	59.8291
WN2002	5.5636
WN2033	15.8823
XZ1513	-24.4112
XZ1514	-19.0504
XZ1516	64.5892
