strain	median
AB1	-5.8849
BRC20067	-8.1446
CB4852	-10.1415
CB4854	-16.6669
CB4856	-10.885
CB4932	-8.7076
CX11254	-5.9367
CX11262	-15.5846
CX11264	-1.3329
CX11271	-17.9102
CX11276	-13.5216
CX11285	-12.9413
CX11292	-15.0315
CX11307	-10.2498
CX11314	-6.7606
CX11315	-7.1928
DL200	-8.4278
DL226	-2.8295
DL238	-5.1766
ECA246	-8.4583
ECA248	-17.1567
ECA250	-10.6604
ECA251	-21.8441
ECA252	-0.10792
ECA259	-14.7296
ECA348	5.0562
ECA349	-6.3027
ECA36	-22.305
ECA363	-11.1903
ECA372	-7.2714
ECA396	-20.5722
ED3005	-10.8392
ED3011	-17.1455
ED3012	-15.8261
ED3017	-23.048
ED3040	-12.943
ED3046	-2.757
ED3048	-11.4798
ED3049	-8.3957
ED3052	-12.1985
ED3073	-8.4265
ED3077	-12.5776
EG4347	-13.0616
EG4349	-6.9585
EG4724	-2.3026
EG4725	-6.1985
EG4946	-4.1269
GXW1	-15.958
JT11398	-13.3945
JU1088	-4.1318
JU1172	-17.4566
JU1200	-10.9345
JU1212	-14.2501
JU1213	-17.7356
JU1242	-6.6299
JU1246	-11.3094
JU1395	-15.6817
JU1400	-1.6361
JU1409	-16.1507
JU1440	-4.6756
JU1491	-6.0855
JU1530	-11.018
JU1543	-6.6156
JU1568	-3.9546
JU1580	-10.5159
JU1581	-20.9316
JU1586	-20.4289
JU1652	-6.0398
JU1793	-14.2007
JU1808	-11.893
JU1896	-18.5964
JU2001	-10.4044
JU2007	-5.9398
JU2131	0.090185
JU2141	-5.4984
JU2234	-3.8851
JU2464	-7.2022
JU2466	-5.0165
JU2513	-22.1236
JU2519	-5.925
JU2522	-10.4108
JU2526	-10.3954
JU2534	-1.8034
JU2565	-7.3716
JU2566	-9.5727
JU2578	-22.4669
JU258	-13.9139
JU2587	-4.9664
JU2593	-10.4434
JU2600	-8.5688
JU2800	-20.7805
JU2862	-21.4719
JU2866	-8.7496
JU2878	-33.034
JU2879	-11.2411
JU2906	-14.5449
JU310	-8.4259
JU311	-9.5803
JU3125	-3.6954
JU3127	-10.6089
JU3134	-21.2041
JU3135	-20.7177
JU3137	-10.5987
JU3140	-13.2117
JU323	-12.4073
JU346	-6.3906
JU360	-17.0077
JU367	-4.2704
JU393	-9.3006
JU394	-16.3278
JU397	-15.3508
JU406	-5.777
JU440	-8.2493
JU561	-13.1296
JU642	-17.0192
JU751	0.23977
JU774	-15.3811
JU775	-3.9196
JU778	-12.4445
JU782	1.801
JU792	-3.8682
JU830	1.7079
JU847	-14.0512
KR314	-6.8877
LKC34	-17.9017
LSJ1	-7.4776
MY1	-7.204
MY10	-12.9126
MY16	-4.7527
MY18	-5.4566
MY2212	-25.3682
MY23	-7.203
MY2453	-0.7808
MY2530	-15.3916
MY2535	-14.7104
MY2573	-13.6176
MY2693	-11.0595
MY2741	-12.3556
MY679	-8.5259
MY920	-17.5672
N2	0.93651
NIC1	-14.6517
NIC1107	-1.1556
NIC166	-13.0574
NIC195	-18.1653
NIC199	-9.5468
NIC2	-14.9699
NIC207	-15.5655
NIC231	-16.5608
NIC236	-16.7766
NIC242	-17.9835
NIC251	-9.1148
NIC252	-7.4607
NIC255	-11.5328
NIC256	-17.0664
NIC258	-3.7522
NIC259	-16.8566
NIC260	-5.8235
NIC261	-17.0554
NIC262	-7.6007
NIC265	-11.9228
NIC266	-10.0066
NIC267	-22.8778
NIC268	-18.6827
NIC269	-1.4729
NIC271	-18.9788
NIC272	-14.5623
NIC274	-9.7468
NIC275	-9.1722
NIC276	-12.4379
NIC277	-24.8106
NIC3	-5.3713
NIC513	-14.5997
NIC514	-14.7721
NIC522	-8.6548
NIC523	-4.2021
PB303	-2.817
PS2025	-6.5725
PX179	-18.069
QG2075	-7.0235
QG536	-15.1107
QG556	-11.9882
QG557	-20.8225
QW947	-19.3204
QX1212	-1.106
QX1233	-10.5565
QX1791	-5.3292
QX1792	-14.6181
QX1793	-10.03
QX1794	-5.3033
RC301	-10.336
WN2001	-9.1787
WN2002	-7.7855
WN2033	-7.0945
XZ1513	-5.5905
XZ1514	-0.15102
XZ1516	-6.7537
