strain	median
AB1	455.9424
BRC20067	922.1799
CB4852	1061.9178
CB4854	525.6805
CB4856	727.4411
CB4932	2141.8872
CX11254	572.5259
CX11262	-936.0776
CX11264	822.7954
CX11271	1205.6704
CX11276	-12.3341
CX11285	201.5453
CX11292	401.3526
CX11307	403.5724
CX11314	376.4569
CX11315	1515.917
DL200	444.2223
DL226	690.4243
DL238	716.2819
ECA246	1224.5075
ECA248	748.6465
ECA250	838.7348
ECA251	1227.7761
ECA252	253.3485
ECA259	673.6303
ECA348	532.8438
ECA349	879.7375
ECA36	1187.5466
ECA363	-1053.9384
ECA372	1713.106
ECA396	657.0726
ED3005	475.0849
ED3011	1210.6908
ED3012	1210.6457
ED3017	1422.1823
ED3040	1172.6003
ED3046	513.7653
ED3048	1583.0244
ED3049	910.2798
ED3052	494.8665
ED3073	127.9216
ED3077	906.4372
EG4347	807.0334
EG4349	425.2395
EG4724	742.7492
EG4725	414.2223
EG4946	858.801
GXW1	1726.4784
JT11398	1359.2167
JU1088	1096.7211
JU1172	1483.6217
JU1200	262.5412
JU1212	693.5564
JU1213	911.2993
JU1242	528.9909
JU1246	832.0402
JU1395	569.9296
JU1400	678.6587
JU1409	675.7513
JU1440	349.7972
JU1491	864.9472
JU1530	709.5803
JU1543	152.2273
JU1568	1349.6375
JU1580	1778.6911
JU1581	1665.7866
JU1586	921.4708
JU1652	627.5083
JU1793	922.1721
JU1808	1461.9054
JU1896	566.307
JU2001	680.539
JU2007	551.262
JU2131	340.2904
JU2141	761.9021
JU2234	65.2206
JU2464	259.3741
JU2466	956.2765
JU2513	1414.1926
JU2519	367.8674
JU2522	-145.2092
JU2526	890.9008
JU2534	697.1167
JU2565	606.569
JU2566	317.8567
JU2578	471.2099
JU258	1033.4975
JU2587	880.2764
JU2593	165.0004
JU2600	326.0737
JU2800	587.2497
JU2862	243.6998
JU2866	899.1235
JU2878	449.3555
JU2879	-512.0479
JU2906	427.1339
JU310	643.1705
JU311	1239.4361
JU3125	438.7421
JU3127	1430.688
JU3134	1031.1401
JU3135	148.9913
JU3137	350.8818
JU3140	484.4403
JU323	379.7457
JU346	524.8234
JU360	1122.9837
JU367	742.5828
JU393	592.6904
JU394	1088.3318
JU397	-707.7675
JU406	777.4527
JU440	1324.9647
JU561	1340.3649
JU642	938.2964
JU751	-518.3594
JU774	1322.2647
JU775	1087.4708
JU778	1004.3813
JU782	780.9508
JU792	1421.9065
JU830	1320.8075
JU847	-486.6602
KR314	697.8947
LKC34	997.0014
LSJ1	648.6718
MY1	444.2067
MY10	816.691
MY16	931.0474
MY18	-97.1943
MY2212	1039.2239
MY23	831.2508
MY2453	1411.5171
MY2530	750.6212
MY2535	833.2072
MY2573	1269.6882
MY2693	427.172
MY2741	1253.3279
MY679	1189.7035
MY920	1048.4135
N2	770.8505
NIC1	1130.5685
NIC1107	732.1515
NIC166	846.6893
NIC195	968.6145
NIC199	568.5699
NIC2	783.3212
NIC207	1104.5034
NIC231	430.4015
NIC236	1122.0191
NIC242	490.9184
NIC251	212.6398
NIC252	608.9539
NIC255	962.2747
NIC256	1070.122
NIC258	735.5137
NIC259	1008.5252
NIC260	381.9601
NIC261	1327.4526
NIC262	-309.927
NIC265	1112.5889
NIC266	726.3818
NIC267	489.1978
NIC268	345.5256
NIC269	315.5551
NIC271	1158.7778
NIC272	712.0969
NIC274	138.4878
NIC275	958.3748
NIC276	811.6532
NIC277	1177.2218
NIC3	1173.1188
NIC513	307.7923
NIC514	240.7437
NIC522	1498.2191
NIC523	859.8391
PB303	-358.5038
PS2025	675.0517
PX179	1387.0399
QG2075	1819.3618
QG536	1071.0286
QG556	970.1229
QG557	99.7868
QW947	-15.1163
QX1212	875.3632
QX1233	678.6854
QX1791	684.225
QX1792	563.5658
QX1793	608.0445
QX1794	-113.1112
RC301	774.8075
WN2001	1454.3884
WN2002	826.3972
WN2033	509.1525
XZ1513	630.4193
XZ1514	-525.7036
XZ1516	348.4544
