strain	median
AB1	-0.00084965
BRC20067	-0.0022084
CB4852	-0.0015187
CB4854	-0.0012822
CB4856	-0.00093168
CB4932	-0.0015431
CX11254	-0.00060989
CX11262	-0.0008888
CX11264	-0.0019476
CX11271	-0.00048511
CX11276	-0.0017618
CX11285	-0.00085239
CX11292	-0.00056031
CX11307	-0.0015883
CX11314	-0.00084085
CX11315	-0.0016336
DL200	-0.0013067
DL226	-0.0013717
DL238	-0.0016325
ECA246	-0.0028685
ECA248	-0.001602
ECA250	-0.00060956
ECA251	-0.0021844
ECA252	-0.0010315
ECA259	-0.0014073
ECA348	-0.0017181
ECA349	-0.0019988
ECA36	-0.002292
ECA363	-0.0010345
ECA372	-0.0019742
ECA396	-0.0018502
ED3005	-0.00063526
ED3011	-0.003393
ED3012	-0.00042498
ED3017	-0.0022118
ED3040	-0.0011667
ED3046	-0.001338
ED3048	-0.0012888
ED3049	-0.00043202
ED3052	-0.0014103
ED3073	-0.00096248
ED3077	-0.00032012
EG4347	-0.00084088
EG4349	-0.00094359
EG4724	-0.00077775
EG4725	-0.00087539
EG4946	-0.0011358
GXW1	-0.00060299
JT11398	-0.00083809
JU1088	-0.0011428
JU1172	-0.001928
JU1200	-0.0011349
JU1212	-0.00081031
JU1213	-0.00071429
JU1242	-0.0012044
JU1246	-0.0004912
JU1395	-0.0011279
JU1400	-0.00081047
JU1409	-0.0012303
JU1440	-0.0012894
JU1491	-0.0012348
JU1530	-0.00066599
JU1543	-0.00095698
JU1568	0.00022487
JU1580	-0.00041565
JU1581	-0.0011781
JU1586	-0.00063599
JU1652	-0.0015119
JU1793	-0.0017256
JU1808	-0.00081597
JU1896	-0.0014282
JU2001	-0.00074403
JU2007	-0.0015787
JU2131	-0.00070707
JU2141	-0.002056
JU2234	-0.0027581
JU2464	-0.0023794
JU2466	-0.0006407
JU2513	-0.0011979
JU2519	-0.00064181
JU2522	-0.00099725
JU2526	-0.00088521
JU2534	-0.0015173
JU2565	-0.00077781
JU2566	-0.0014021
JU2578	-0.00092744
JU258	-0.0019684
JU2587	-0.00063138
JU2593	-0.0012267
JU2600	-0.0014392
JU2800	-0.0010988
JU2862	-0.0035483
JU2866	-0.0026538
JU2878	-0.0023485
JU2879	-0.0014439
JU2906	-0.0030081
JU310	-0.00050706
JU311	-0.0010656
JU3125	-0.002683
JU3127	-0.00070639
JU3134	-0.00082218
JU3135	-0.00094582
JU3137	-0.0012654
JU3140	-0.0021443
JU323	-0.00066137
JU346	-0.00093169
JU360	-0.0015112
JU367	-0.00063994
JU393	-0.0012534
JU394	-0.00051273
JU397	-0.0016581
JU406	-0.0010937
JU440	-0.00092073
JU561	-0.00072493
JU642	-0.0010861
JU751	-0.0019418
JU774	-0.001671
JU775	-0.00059389
JU778	-0.0012838
JU782	-0.00067313
JU792	-0.0024194
JU830	-0.00093816
JU847	-0.0016826
KR314	-0.0013915
LKC34	-0.00090519
LSJ1	-0.00064881
MY1	-0.0010504
MY10	-0.00041904
MY16	-0.00059975
MY18	-0.00096203
MY2212	-0.00060958
MY23	-0.0012646
MY2453	-0.0021983
MY2530	-0.0011915
MY2535	-0.0014832
MY2573	-0.00038082
MY2693	-0.0009261
MY2741	-0.0013228
MY679	-0.0019108
MY920	-0.0010153
N2	-0.0001522
NIC1	-0.00080329
NIC1107	-0.0020643
NIC166	-0.001277
NIC195	-0.0014493
NIC199	-0.0017007
NIC2	-0.0014034
NIC207	-0.001239
NIC231	-0.0017746
NIC236	-0.0011566
NIC242	-0.0014545
NIC251	-0.00088599
NIC252	-0.00086554
NIC255	-0.00017061
NIC256	-0.0010325
NIC258	-0.00040265
NIC259	-0.00061143
NIC260	-0.001034
NIC261	-0.00055229
NIC262	-0.00090297
NIC265	-0.00031626
NIC266	-0.00080142
NIC267	-0.0014054
NIC268	-0.00032624
NIC269	-0.00079023
NIC271	-0.001231
NIC272	-0.0016042
NIC274	-0.0010425
NIC275	-0.0017687
NIC276	-0.0011062
NIC277	-0.0021096
NIC3	-0.0012512
NIC513	-0.0015863
NIC514	-0.00053277
NIC522	-0.0010046
NIC523	-0.00053908
PB303	-0.0025566
PS2025	-0.0014731
PX179	-0.0014306
QG2075	-0.00032482
QG536	-0.0010679
QG556	-0.00061899
QG557	-0.0010006
QW947	-0.0012041
QX1212	-0.0014801
QX1233	-0.0001033
QX1791	3.3358e-05
QX1792	-0.00088641
QX1793	-0.00084771
QX1794	-0.00083714
RC301	-0.00048996
WN2001	-0.00010242
WN2002	-0.0014102
WN2033	-0.00088093
XZ1513	-0.0032389
XZ1514	0.00018849
XZ1516	-0.0012221
