strain	median
AB1	0.00050683
BRC20067	0.0059057
CB4852	0.0075752
CB4854	0.0031299
CB4856	0.0036963
CB4932	0.0086244
CX11254	0.0037411
CX11262	-0.0023722
CX11264	0.0011788
CX11271	0.0074976
CX11276	-0.0010112
CX11285	0.0025407
CX11292	0.0023885
CX11307	0.0047619
CX11314	0.0047001
CX11315	0.0074267
DL200	0.0035285
DL226	0.0043472
DL238	0.0062965
ECA246	0.006513
ECA248	0.010171
ECA250	0.0011581
ECA251	0.0058808
ECA252	0.00095143
ECA259	0.0077827
ECA348	0.0024689
ECA349	0.0054449
ECA36	0.0065909
ECA363	-0.0015367
ECA372	0.0063003
ECA396	0.00095358
ED3005	0.0036893
ED3011	0.0044466
ED3012	0.0040596
ED3017	0.0057492
ED3040	0.0034464
ED3046	0.0045118
ED3048	0.0065388
ED3049	0.0048656
ED3052	0.0066262
ED3073	0.0031098
ED3077	0.0036734
EG4347	0.0040868
EG4349	0.0031914
EG4724	0.0038286
EG4725	0.003736
EG4946	0.0078741
GXW1	0.0061658
JT11398	0.0053031
JU1088	0.0025549
JU1172	0.0047011
JU1200	0.0047857
JU1212	0.0047654
JU1213	0.0048827
JU1242	0.0054074
JU1246	0.0083358
JU1395	0.0095363
JU1400	0.0028574
JU1409	0.0076369
JU1440	0.0043245
JU1491	0.010743
JU1530	0.0051809
JU1543	-0.00065832
JU1568	0.0018259
JU1580	0.0030095
JU1581	0.0030813
JU1586	0.0057474
JU1652	0.0025476
JU1793	0.0063097
JU1808	0.0033407
JU1896	0.0077142
JU2001	-0.00030351
JU2007	0.0039744
JU2131	0.0096382
JU2141	0.0023702
JU2234	0.0027962
JU2464	0.0070261
JU2466	0.006527
JU2513	0.0028434
JU2519	0.0060487
JU2522	0.0038335
JU2526	0.0050964
JU2534	0.0054706
JU2565	0.0026356
JU2566	0.0048136
JU2578	0.0031893
JU258	0.0025042
JU2587	0.0031494
JU2593	0.0073935
JU2600	0.0021021
JU2800	0.0043669
JU2862	0.0048614
JU2866	0.0060517
JU2878	0.0029296
JU2879	0.00053339
JU2906	0.0029753
JU310	0.0033487
JU311	0.0026996
JU3125	0.0071859
JU3127	0.0095059
JU3134	0.011226
JU3135	0.0036697
JU3137	0.0052073
JU3140	0.0053947
JU323	0.0027328
JU346	0.0049556
JU360	0.0032445
JU367	0.0052745
JU393	-0.0005111
JU394	0.0089314
JU397	0.00023806
JU406	0.0036141
JU440	0.0050481
JU561	0.0038933
JU642	0.0031706
JU751	0.0030191
JU774	0.0042881
JU775	0.0068404
JU778	0.0012616
JU782	0.0039649
JU792	0.0063706
JU830	0.0021215
JU847	0.0071637
KR314	0.010092
LKC34	0.0068443
LSJ1	0.0026979
MY1	0.0065747
MY10	0.0043434
MY16	0.004204
MY18	0.00085204
MY2212	0.0078131
MY23	0.0051251
MY2453	0.0054892
MY2530	0.0054044
MY2535	0.0067823
MY2573	0.0048341
MY2693	0.0046202
MY2741	0.0068086
MY679	0.0033525
MY920	0.0046627
N2	0.0015012
NIC1	0.0021039
NIC1107	0.0035024
NIC166	0.0042803
NIC195	0.006541
NIC199	0.009475
NIC2	0.0052473
NIC207	0.0046177
NIC231	0.0078333
NIC236	0.0038075
NIC242	0.0054786
NIC251	0.0012524
NIC252	0.0016658
NIC255	0.0040682
NIC256	0.0015524
NIC258	-0.00074343
NIC259	0.001739
NIC260	0.010851
NIC261	0.0048432
NIC262	0.00037191
NIC265	0.0069157
NIC266	0.0068846
NIC267	0.0022807
NIC268	0.0048118
NIC269	0.0024015
NIC271	0.006842
NIC272	0.0074848
NIC274	0.0021083
NIC275	0.0052991
NIC276	0.012114
NIC277	0.0058729
NIC3	0.004123
NIC513	0.010697
NIC514	0.0017966
NIC522	0.0073785
NIC523	0.0042705
PB303	0.0061775
PS2025	0.0050473
PX179	0.0049633
QG2075	0.0030491
QG536	0.0056757
QG556	0.0034622
QG557	0.0070533
QW947	0.0039688
QX1212	0.00049422
QX1233	0.0042233
QX1791	0.0020382
QX1792	0.0044075
QX1793	0.006063
QX1794	0.0060457
RC301	0.0011599
WN2001	0.0015582
WN2002	0.0038438
WN2033	0.0060897
XZ1513	0.014669
XZ1514	0.0017541
XZ1516	-0.00098896
